Fitness,Migration Rate,Normal Allele - Persistence
0.78,0.07,0.114789
0.78,0.075,0.10872199
0.78,0.08,0.10861984
0.78,0.085,0.10344435
0.78,0.09,0.09874186
0.78,0.095,0.09646453
0.78,0.1,0.09411222
0.8,0,1
0.8,0.005,0.6980786
0.8,0.01,0.5452564
0.8,0.015,0.4234594
0.8,0.02,0.3486693
0.8,0.025,0.3072891
0.8,0.03,0.2502384
0.8,0.035,0.2333135
0.8,0.04,0.2026789
0.8,0.045,0.1845162
0.8,0.05,0.1730941
0.8,0.055,0.1555325
0.8,0.06,0.1553602
0.8,0.065,0.1415611
0.8,0.07,0.1420726
0.8,0.075,0.1361239
0.8,0.08,0.1277211
0.8,0.085,0.1240828
0.8,0.09,0.1293541
0.8,0.095,0.1212541
0.8,0.1,0.11733
0.82,0,1
0.82,0.005,0.7571845
0.82,0.01,0.5777707
0.82,0.015,0.4686252
0.82,0.02,0.3863707
0.82,0.025,0.3456102
0.82,0.03,0.3076737
0.82,0.035,0.2652082
0.82,0.04,0.2477346
0.82,0.045,0.2128657
0.82,0.05,0.1966904
0.82,0.055,0.179607
0.82,0.06,0.1745576
0.82,0.065,0.1734995
0.82,0.07,0.1752092
0.82,0.075,0.1589229
0.82,0.08,0.1626285
0.82,0.085,0.1495057
0.82,0.09,0.1485426
0.82,0.095,0.1402145
0.82,0.1,0.1425682
0.84,0,1
0.84,0.005,0.7735877
0.84,0.01,0.621821
0.84,0.015,0.5291887
0.84,0.02,0.4387751
0.84,0.025,0.374878
0.84,0.03,0.3367009
0.84,0.035,0.3002983
0.84,0.04,0.2696
0.84,0.045,0.2620359
0.84,0.05,0.2354193
0.84,0.055,0.2221604
0.84,0.06,0.2097918
0.84,0.065,0.2085841
0.84,0.07,0.1958225
0.84,0.075,0.1896777
0.84,0.08,0.1884533
0.84,0.085,0.1865937
0.84,0.09,0.1784659
0.84,0.095,0.171079
0.84,0.1,0.1673761
0.86,0,1
0.86,0.005,0.8027279
0.86,0.01,0.657963
0.86,0.015,0.5518386
0.86,0.02,0.4836423
0.86,0.025,0.4066791
0.86,0.03,0.372601
0.86,0.035,0.3317407
0.86,0.04,0.3130533
0.86,0.045,0.2843136
0.86,0.05,0.2746935
0.86,0.055,0.2535901
0.86,0.06,0.2475011
0.86,0.065,0.235956
0.86,0.07,0.2241593
0.86,0.075,0.2186167
0.86,0.08,0.2159374
0.86,0.085,0.2182867
0.86,0.09,0.210803
0.86,0.095,0.2023546
0.86,0.1,0.204367
0.88,0,1
0.88,0.005,0.815867
0.88,0.01,0.7008593
0.88,0.015,0.5922265
0.88,0.02,0.5097185
0.88,0.025,0.4680683
0.88,0.03,0.4234323
0.88,0.035,0.3815462
0.88,0.04,0.3461182
0.88,0.045,0.3321945
0.88,0.05,0.3061588
0.88,0.055,0.2955478
0.88,0.06,0.2833651
0.88,0.065,0.2821457
0.88,0.07,0.2684041
0.88,0.075,0.2563026
0.88,0.08,0.2571509
0.88,0.085,0.253371
0.88,0.09,0.2498402
0.88,0.095,0.250204
0.88,0.1,0.2424967
0.9,0,1
0.9,0.005,0.8426569
0.9,0.01,0.7295377
0.9,0.015,0.6274391
0.9,0.02,0.5608486
0.9,0.025,0.4981738
0.9,0.03,0.4561118
0.9,0.035,0.4156375
0.9,0.04,0.4064626
0.9,0.045,0.3785276
0.9,0.05,0.3613054
0.9,0.055,0.3372804
0.9,0.06,0.3216936
0.9,0.065,0.3156107
0.9,0.07,0.312225
0.9,0.075,0.3071866
0.9,0.08,0.2968752
0.9,0.085,0.2898386
0.9,0.09,0.2852081
0.9,0.095,0.286035
0.9,0.1,0.2778883
0.92,0,1
0.92,0.005,0.8594107
0.92,0.01,0.7466957
0.92,0.015,0.6688119
0.92,0.02,0.5873235
0.92,0.025,0.5439457
0.92,0.03,0.5102483
0.92,0.035,0.4608448
0.92,0.04,0.4371127
0.92,0.045,0.4025052
0.92,0.05,0.3921068
0.92,0.055,0.3836496
0.92,0.06,0.3574952
0.92,0.065,0.3586954
0.92,0.07,0.3462215
0.92,0.075,0.3397753
0.92,0.08,0.3338739
0.92,0.085,0.3260669
0.92,0.09,0.3269682
0.92,0.095,0.3203577
0.92,0.1,0.3194588
0.94,0,1
0.94,0.005,0.8770813
0.94,0.01,0.7796175
0.94,0.015,0.699394
0.94,0.02,0.634394
0.94,0.025,0.5754837
0.94,0.03,0.5403845
0.94,0.035,0.5042756
0.94,0.04,0.4775252
0.94,0.045,0.45082
0.94,0.05,0.4457367
