Fitness,Migration Rate,1L2T - Persistence
0.84,0.01,0.9817225
0.84,0.015,0.9792632
0.84,0.02,0.9749036
0.84,0.025,0.9668133
0.84,0.03,0.9388985
0.84,0.035,0.00406476
0.84,0.04,0
0.84,0.045,0
0.84,0.05,0
0.84,0.055,0
0.84,0.06,0
0.84,0.065,0
0.84,0.07,0
0.84,0.075,0
0.84,0.08,0
0.84,0.085,0
0.84,0.09,0
0.84,0.095,0
0.84,0.1,0
0.86,0,1
0.86,0.005,1
0.86,0.01,0.9885644
0.86,0.015,0.9780377
0.86,0.02,0.9734605
0.86,0.025,0.9599139
0.86,0.03,0.9490371
0.86,0.035,0.273081661
0.86,0.04,0
0.86,0.045,0
0.86,0.05,0
0.86,0.055,0
0.86,0.06,0
0.86,0.065,0
0.86,0.07,0
0.86,0.075,0
0.86,0.08,0
0.86,0.085,0
0.86,0.09,0
0.86,0.095,0
0.86,0.1,0
0.88,0,1
0.88,0.005,0.9946702
0.88,0.01,0.9874078
0.88,0.015,0.9810648
0.88,0.02,0.9758164
0.88,0.025,0.9601569
0.88,0.03,0.9488109
0.88,0.035,0.8243539
0.88,0.04,0
0.88,0.045,0
0.88,0.05,0
0.88,0.055,0
0.88,0.06,0
0.88,0.065,0
0.88,0.07,0
0.88,0.075,0
0.88,0.08,0
0.88,0.085,0
0.88,0.09,0
0.88,0.095,0
0.88,0.1,0
0.9,0,0.9979693
0.9,0.005,0.9943049
0.9,0.01,0.9900622
0.9,0.015,0.9830911
0.9,0.02,0.9810197
0.9,0.025,0.9652645
0.9,0.03,0.9521167
0.9,0.035,0.9252925
0.9,0.04,0.0127024
0.9,0.045,0
0.9,0.05,0
0.9,0.055,0
0.9,0.06,0
0.9,0.065,0
0.9,0.07,0
0.9,0.075,0
0.9,0.08,0
0.9,0.085,0
0.9,0.09,0
0.9,0.095,0
0.9,0.1,0
0.92,0,0.9999138
0.92,0.005,0.9875603
0.92,0.01,0.9926914
0.92,0.015,0.9806854
0.92,0.02,0.9740459
0.92,0.025,0.9634773
0.92,0.03,0.9536401
0.92,0.035,0.9349636
0.92,0.04,0.156318966
0.92,0.045,0
0.92,0.05,0
0.92,0.055,0
0.92,0.06,0
0.92,0.065,0
0.92,0.07,0
0.92,0.075,0
0.92,0.08,0
0.92,0.085,0
0.92,0.09,0
0.92,0.095,0
0.92,0.1,0
0.94,0,0.9978565
0.94,0.005,0.99726
0.94,0.01,0.9880997
0.94,0.015,0.9861094
0.94,0.02,0.9773286
0.94,0.025,0.9645468
0.94,0.03,0.9531281
0.94,0.035,0.937384
0.94,0.04,0.7278644
0.94,0.045,0
0.94,0.05,0
0.94,0.055,0
0.94,0.06,0
0.94,0.065,0
0.94,0.07,0
0.94,0.075,0
0.94,0.08,0
0.94,0.085,0
0.94,0.09,0
0.94,0.095,0
0.94,0.1,0
0.96,0,1
0.96,0.005,0.9918559
0.96,0.01,0.9893039
0.96,0.015,0.9771036
0.96,0.02,0.9743939
0.96,0.025,0.9626736
0.96,0.03,0.9576478
0.96,0.035,0.9435298
0.96,0.04,0.9055017
0.96,0.045,0
0.96,0.05,0
0.96,0.055,0
0.96,0.06,0
0.96,0.065,0
0.96,0.07,0
0.96,0.075,0
0.96,0.08,0
0.96,0.085,0
0.96,0.09,0
0.96,0.095,0
0.96,0.1,0
0.98,0,0.9971714
0.98,0.005,0.9949294
0.98,0.01,0.9937185
0.98,0.015,0.9841758
0.98,0.02,0.9761939
0.98,0.025,0.969509
0.98,0.03,0.9598276
0.98,0.035,0.9402909
0.98,0.04,0.9067694
0.98,0.045,0.16131169
0.98,0.05,0
0.98,0.055,0
0.98,0.06,0
0.98,0.065,0
0.98,0.07,0
0.98,0.075,0
0.98,0.08,0
0.98,0.085,0
0.98,0.09,0
0.98,0.095,0
0.98,0.1,0
1,0,1
1,0.005,0.9955099
1,0.01,0.9886531
1,0.015,0.9756947
1,0.02,0.9812459
1,0.025,0.9742255
1,0.03,0.9600134
1,0.035,0.9436251
1,0.04,0.923872
1,0.045,0.306004662
1,0.05,0
1,0.055,0
1,0.06,0
1,0.065,0
1,0.07,0
1,0.075,0
1,0.08,0
1,0.085,0
1,0.09,0
1,0.095,0
1,0.1,0
