Fitness,Migration Rate,1L1T - Persistence
0.6,0,1
0.6,0.005,0.9816039
0.6,0.01,0.9622689
0.6,0.015,0.9420887
0.6,0.02,0.9211282
0.6,0.025,0.8955285
0.6,0.03,0.863887
0.6,0.035,0.7928062
0.6,0.04,0.353362653
0.6,0.045,0.009766132
0.6,0.05,6.02E-05
0.6,0.055,0
0.6,0.06,0
0.6,0.065,0
0.6,0.07,0
0.6,0.075,0
0.6,0.08,0
0.6,0.085,0
0.6,0.09,0
0.6,0.095,0
0.6,0.1,0
0.62,0,1
0.62,0.005,0.9826845
0.62,0.01,0.9636867
0.62,0.015,0.9451677
0.62,0.02,0.9241847
0.62,0.025,0.8980776
0.62,0.03,0.8716476
0.62,0.035,0.820101
0.62,0.04,0.6919904
0.62,0.045,0.120618096
0.62,0.05,0.000544932
0.62,0.055,0
0.62,0.06,0
0.62,0.065,0
0.62,0.07,0
0.62,0.075,0
0.62,0.08,0
0.62,0.085,0
0.62,0.09,0
0.62,0.095,0
0.62,0.1,0
0.64,0,1
0.64,0.005,0.9824748
0.64,0.01,0.9652234
0.64,0.015,0.9445605
0.64,0.02,0.9262878
0.64,0.025,0.9049806
0.64,0.03,0.8803169
0.64,0.035,0.8407221
0.64,0.04,0.7877445
0.64,0.045,0.5586392
0.64,0.05,0.036951494
0.64,0.055,0.000376298
0.64,0.06,0
0.64,0.065,0
0.64,0.07,0
0.64,0.075,0
0.64,0.08,0
0.64,0.085,0
0.64,0.09,0
0.64,0.095,0
0.64,0.1,0
0.66,0,1
0.66,0.005,0.9856612
0.66,0.01,0.96566
0.66,0.015,0.9486116
0.66,0.02,0.9292496
0.66,0.025,0.9129079
0.66,0.03,0.8857372
0.66,0.035,0.8552256
0.66,0.04,0.8184874
0.66,0.045,0.7171889
0.66,0.05,0.34553888
0.66,0.055,0.051171206
0.66,0.06,6.03E-05
0.66,0.065,1.00E-05
0.66,0.07,0
0.66,0.075,0
0.66,0.08,0
0.66,0.085,0
0.66,0.09,0
0.66,0.095,0
0.66,0.1,0
0.68,0,1
0.68,0.005,0.9834399
0.68,0.01,0.9690808
0.68,0.015,0.9521122
0.68,0.02,0.9327249
0.68,0.025,0.9146849
0.68,0.03,0.8883042
0.68,0.035,0.86816
0.68,0.04,0.8347245
0.68,0.045,0.7857552
0.68,0.05,0.6144931
0.68,0.055,0.205744983
0.68,0.06,0.002060867
