Fitness,Migration Rate,2L2T - Persistence
0.6,0,1
0.6,0.005,0.82516
0.6,0.01,0.80209
0.6,0.015,0.78393
0.6,0.02,0.75875
0.6,0.025,0.74116
0.6,0.03,0.71624
0.6,0.035,0.68839
0.6,0.04,0.6556
0.6,0.045,0.61596
0.6,0.05,0.54026
0.6,0.055,0.38726
0.6,0.06,0.1999
0.6,0.065,0.05991
0.6,0.07,0.01302
0.6,0.075,0.00299
0.6,0.08,0.00112
0.6,0.085,0.00041
0.6,0.09,0.0003
0.6,0.095,9.00E-05
0.6,0.1,0.0001
0.62,0,1
0.62,0.005,0.82983
0.62,0.01,0.80667
0.62,0.015,0.78886
0.62,0.02,0.76691
0.62,0.025,0.74558
0.62,0.03,0.72641
0.62,0.035,0.69946
0.62,0.04,0.67901
0.62,0.045,0.64783
0.62,0.05,0.59199
0.62,0.055,0.49716
0.62,0.06,0.39865
0.62,0.065,0.20774
0.62,0.07,0.07821
0.62,0.075,0.02661
0.62,0.08,0.00698
0.62,0.085,0.00214
0.62,0.09,0.00085
0.62,0.095,0.00044
0.62,0.1,0.00019
0.64,0,1
0.64,0.005,0.83702
0.64,0.01,0.81366
0.64,0.015,0.79213
0.64,0.02,0.77305
0.64,0.025,0.75056
0.64,0.03,0.73365
0.64,0.035,0.71367
0.64,0.04,0.68689
0.64,0.045,0.66247
0.64,0.05,0.6247
0.64,0.055,0.5745
0.64,0.06,0.49621
0.64,0.065,0.35717
0.64,0.07,0.23474
0.64,0.075,0.09166
0.64,0.08,0.02858
0.64,0.085,0.01421
0.64,0.09,0.00404
0.64,0.095,0.00154
0.64,0.1,0.00067
0.66,0,1
0.66,0.005,0.84171
0.66,0.01,0.819
0.66,0.015,0.79784
0.66,0.02,0.77711
0.66,0.025,0.75888
0.66,0.03,0.74334
0.66,0.035,0.72382
0.66,0.04,0.70382
0.66,0.045,0.68182
0.66,0.05,0.64408
0.66,0.055,0.60925
0.66,0.06,0.56458
0.66,0.065,0.4902
0.66,0.07,0.43238
0.66,0.075,0.26138
0.66,0.08,0.14615
0.66,0.085,0.06208
0.66,0.09,0.02472
0.66,0.095,0.00991
0.66,0.1,0.0047
0.68,0,1
0.68,0.005,0.84867
0.68,0.01,0.82595
0.68,0.015,0.8034
0.68,0.02,0.7868
0.68,0.025,0.76883
0.68,0.03,0.74758
0.68,0.035,0.73303
0.68,0.04,0.71028
0.68,0.045,0.68953
0.68,0.05,0.67103
0.68,0.055,0.64402
0.68,0.06,0.60895
0.68,0.065,0.56909
0.68,0.07,0.50747
0.68,0.075,0.41441
0.68,0.08,0.33482
0.68,0.085,0.2096
0.68,0.09,0.1192
0.68,0.095,0.07108
0.68,0.1,0.03796
0.7,0,1
0.7,0.005,0.85828
0.7,0.01,0.8281
0.7,0.015,0.80791
0.7,0.02,0.78936
0.7,0.025,0.77026
0.7,0.03,0.75263
0.7,0.035,0.74131
0.7,0.04,0.72072
0.7,0.045,0.7038
0.7,0.05,0.68067
0.7,0.055,0.65985
0.7,0.06,0.63655
0.7,0.065,0.60627
0.7,0.07,0.58299
0.7,0.075,0.53212
0.7,0.08,0.50389
0.7,0.085,0.45124
0.7,0.09,0.33664
0.7,0.095,0.24024
0.7,0.1,0.19623
0.72,0,1
0.72,0.005,0.86402
0.72,0.01,0.83502
0.72,0.015,0.81368
0.72,0.02,0.79714
0.72,0.025,0.77849
0.72,0.03,0.76253
0.72,0.035,0.74413
0.72,0.04,0.73041
0.72,0.045,0.71103
0.72,0.05,0.69457
0.72,0.055,0.67568
0.72,0.06,0.66009
0.72,0.065,0.63407
0.72,0.07,0.6131
0.72,0.075,0.59806
0.72,0.08,0.57004
0.72,0.085,0.56236
0.72,0.09,0.52891
0.72,0.095,0.53164
0.72,0.1,0.44036
0.74,0,1
0.74,0.005,0.8687
0.74,0.01,0.84024
0.74,0.015,0.81945
0.74,0.02,0.80244
0.74,0.025,0.78682
0.74,0.03,0.76939
0.74,0.035,0.75245
0.74,0.04,0.73576
0.74,0.045,0.72197
0.74,0.05,0.70555
0.74,0.055,0.69227
0.74,0.06,0.68159
0.74,0.065,0.66695
0.74,0.07,0.65263
0.74,0.075,0.63478
0.74,0.08,0.62794
0.74,0.085,0.62429
0.74,0.09,0.62824
0.74,0.095,0.65158
0.74,0.1,0.64641
0.76,0,1
0.76,0.005,0.87782
0.76,0.01,0.84603
0.76,0.015,0.82674
0.76,0.02,0.80839
0.76,0.025,0.79236
0.76,0.03,0.77375
0.76,0.035,0.75783
0.76,0.04,0.74589
0.76,0.045,0.72988
0.76,0.05,0.71726
0.76,0.055,0.70909
0.76,0.06,0.69604
0.76,0.065,0.68431
0.76,0.07,0.67465
0.76,0.075,0.67147
0.76,0.08,0.67591
0.76,0.085,0.68765
0.76,0.09,0.6921
0.76,0.095,0.7526
0.76,0.1,0.77914
0.78,0,1
0.78,0.005,0.8819
0.78,0.01,0.85408
0.78,0.015,0.82798
0.78,0.02,0.81437
0.78,0.025,0.80145
0.78,0.03,0.78331
0.78,0.035,0.7629
0.78,0.04,0.75563
0.78,0.045,0.7399
0.78,0.05,0.72783
0.78,0.055,0.71672
0.78,0.06,0.70793
0.78,0.065,0.70272
0.78,0.07,0.70796
0.78,0.075,0.70697
0.78,0.08,0.73086
0.78,0.085,0.76489
0.78,0.09,0.78596
0.78,0.095,0.81948
0.78,0.1,0.83339
0.8,0,1
0.8,0.005,0.89153
0.8,0.01,0.85766
0.8,0.015,0.83878
0.8,0.02,0.82036
0.8,0.025,0.8004
0.8,0.03,0.79021
0.8,0.035,0.77598
0.8,0.04,0.76154
0.8,0.045,0.75059
0.8,0.05,0.74007
0.8,0.055,0.7331
0.8,0.06,0.72461
0.8,0.065,0.72474
0.8,0.07,0.7386
0.8,0.075,0.75429
0.8,0.08,0.78465
0.8,0.085,0.81616
0.8,0.09,0.83848
0.8,0.095,0.84752
0.8,0.1,0.85722
0.82,0,1
0.82,0.005,0.89473
0.82,0.01,0.86211
0.82,0.015,0.84255
0.82,0.02,0.82614
0.82,0.025,0.80875
0.82,0.03,0.79558
0.82,0.035,0.78365
0.82,0.04,0.76991
0.82,0.045,0.75734
0.82,0.05,0.74836
0.82,0.055,0.74137
0.82,0.06,0.74361
0.82,0.065,0.75933
0.82,0.07,0.78418
0.82,0.075,0.80226
0.82,0.08,0.83461
0.82,0.085,0.85488
0.82,0.09,0.86272
0.82,0.095,0.86867
0.82,0.1,0.87728
0.84,0,1
0.84,0.005,0.90113
0.84,0.01,0.87007
0.84,0.015,0.84694
0.84,0.02,0.82986
0.84,0.025,0.81477
0.84,0.03,0.79877
0.84,0.035,0.78673
0.84,0.04,0.77643
0.84,0.045,0.76733
0.84,0.05,0.76138
0.84,0.055,0.76275
0.84,0.06,0.76768
0.84,0.065,0.79354
0.84,0.07,0.82684
0.84,0.075,0.83869
0.84,0.08,0.8626
0.84,0.085,0.86961
0.84,0.09,0.87644
0.84,0.095,0.88012
0.84,0.1,0.88357
0.86,0,1
0.86,0.005,0.90763
0.86,0.01,0.87438
0.86,0.015,0.85301
0.86,0.02,0.83601
0.86,0.025,0.81886
0.86,0.03,0.80513
0.86,0.035,0.79256
0.86,0.04,0.78352
0.86,0.045,0.77878
0.86,0.05,0.77561
0.86,0.055,0.78016
0.86,0.06,0.79881
0.86,0.065,0.83118
0.86,0.07,0.84952
0.86,0.075,0.86584
0.86,0.08,0.87715
0.86,0.085,0.8816
0.86,0.09,0.88427
0.86,0.095,0.88603
0.86,0.1,0.89227
0.88,0,1
0.88,0.005,0.91329
0.88,0.01,0.87918
0.88,0.015,0.85559
0.88,0.02,0.84202
0.88,0.025,0.82514
0.88,0.03,0.81222
0.88,0.035,0.80318
0.88,0.04,0.79017
0.88,0.045,0.78769
0.88,0.05,0.78979
0.88,0.055,0.81723
0.88,0.06,0.83208
0.88,0.065,0.86004
0.88,0.07,0.86986
0.88,0.075,0.8834
0.88,0.08,0.88841
0.88,0.085,0.89202
0.88,0.09,0.8962
0.88,0.095,0.89634
0.88,0.1,0.90088
0.9,0,1
0.9,0.005,0.91729
0.9,0.01,0.88689
0.9,0.015,0.86486
0.9,0.02,0.84404
0.9,0.025,0.83076
0.9,0.03,0.81734
0.9,0.035,0.81053
0.9,0.04,0.79583
0.9,0.045,0.80311
0.9,0.05,0.80977
0.9,0.055,0.83921
0.9,0.06,0.85801
0.9,0.065,0.8796
0.9,0.07,0.88967
0.9,0.075,0.8941
0.9,0.08,0.89908
0.9,0.085,0.89952
0.9,0.09,0.90247
0.9,0.095,0.90414
0.9,0.1,0.90703
0.92,0,1
0.92,0.005,0.92102
0.92,0.01,0.88839
0.92,0.015,0.86827
0.92,0.02,0.85084
0.92,0.025,0.83714
0.92,0.03,0.82225
0.92,0.035,0.81598
0.92,0.04,0.80846
0.92,0.045,0.81835
0.92,0.05,0.82874
0.92,0.055,0.86513
0.92,0.06,0.88316
0.92,0.065,0.89236
0.92,0.07,0.89952
0.92,0.075,0.90122
0.92,0.08,0.90598
0.92,0.085,0.90793
0.92,0.09,0.91126
0.92,0.095,0.91229
0.92,0.1,0.91202
0.94,0,1
0.94,0.005,0.92658
0.94,0.01,0.89417
0.94,0.015,0.87629
0.94,0.02,0.8545
0.94,0.025,0.84111
0.94,0.03,0.82874
0.94,0.035,0.82146
0.94,0.04,0.82225
0.94,0.045,0.83662
0.94,0.05,0.86903
0.94,0.055,0.8851
0.94,0.06,0.89155
0.94,0.065,0.8989
0.94,0.07,0.9061
0.94,0.075,0.90709
0.94,0.08,0.9181
0.94,0.085,0.91448
0.94,0.09,0.91547
0.94,0.095,0.92161
0.94,0.1,0.91878
0.96,0,1
0.96,0.005,0.93275
0.96,0.01,0.90011
0.96,0.015,0.88074
0.96,0.02,0.86141
0.96,0.025,0.8458
0.96,0.03,0.83426
0.96,0.035,0.83044
0.96,0.04,0.84008
0.96,0.045,0.85723
0.96,0.05,0.88467
0.96,0.055,0.89845
0.96,0.06,0.9036
0.96,0.065,0.90969
0.96,0.07,0.91105
0.96,0.075,0.91939
0.96,0.08,0.92276
0.96,0.085,0.91956
0.96,0.09,0.9227
0.96,0.095,0.92322
0.96,0.1,0.92559
0.98,0,1
0.98,0.005,0.93283
0.98,0.01,0.90542
0.98,0.015,0.88069
0.98,0.02,0.86891
0.98,0.025,0.84929
0.98,0.03,0.84094
0.98,0.035,0.83906
0.98,0.04,0.8566
0.98,0.045,0.87934
0.98,0.05,0.89817
0.98,0.055,0.90638
0.98,0.06,0.91115
0.98,0.065,0.91476
0.98,0.07,0.92403
0.98,0.075,0.92281
0.98,0.08,0.92828
0.98,0.085,0.92652
0.98,0.09,0.93139
0.98,0.095,0.92773
0.98,0.1,0.93031
1,0,1
1,0.005,0.94055
1,0.01,0.90871
1,0.015,0.88586
1,0.02,0.87289
1,0.025,0.85963
1,0.03,0.84962
1,0.035,0.8566
1,0.04,0.86939
1,0.045,0.89768
1,0.05,0.90897
1,0.055,0.91399
1,0.06,0.92085
1,0.065,0.92187
1,0.07,0.92737
1,0.075,0.92709
1,0.08,0.92922
1,0.085,0.93274
1,0.09,0.9339
1,0.095,0.93442
1,0.1,0.93363
