Fitness,Migration Rate,Normal Allele - Invasion
0.84,0.045,0.009714506
0.84,0.05,0.009083968
0.84,0.055,0.01116536
0.84,0.06,0.010089878
0.84,0.065,0.009152973
0.84,0.07,0.011755687
0.84,0.075,0.010143001
0.84,0.08,0.008660474
0.84,0.085,0.010115733
0.84,0.09,0.010047319
0.84,0.095,0.009031152
0.84,0.1,0.010278359
0.86,0.02,0.008286844
0.86,0.025,0.012161979
0.86,0.03,0.01168565
0.86,0.035,0.012820225
0.86,0.04,0.01439544
0.86,0.045,0.01599198
0.86,0.05,0.01498038
0.86,0.055,0.01724269
0.86,0.06,0.016940288
0.86,0.065,0.01897254
0.86,0.07,0.01856983
0.86,0.075,0.0184073
0.86,0.08,0.0179449
0.86,0.085,0.01979767
0.86,0.09,0.016997137
0.86,0.095,0.01465927
0.86,0.1,0.01645492
0.88,0.02,0.01639859
0.88,0.025,0.01591202
0.88,0.03,0.02219834
0.88,0.035,0.02365094
0.88,0.04,0.02494092
0.88,0.045,0.02559187
0.88,0.05,0.02867552
0.88,0.055,0.0317405
0.88,0.06,0.03280461
0.88,0.065,0.02759723
0.88,0.07,0.02991516
0.88,0.075,0.03041016
0.88,0.08,0.03206151
0.88,0.085,0.03038139
0.88,0.09,0.02939405
0.88,0.095,0.02958681
0.88,0.1,0.03090378
0.9,0.02,0.02464212
0.9,0.025,0.02856771
0.9,0.03,0.02933783
0.9,0.035,0.03341149
0.9,0.04,0.0404478
0.9,0.045,0.04244831
0.9,0.05,0.0409983
0.9,0.055,0.05296232
0.9,0.06,0.05404
0.9,0.065,0.04870963
0.9,0.07,0.0523549
0.9,0.075,0.05480312
0.9,0.08,0.05199058
0.9,0.085,0.05296971
0.9,0.09,0.05291327
0.9,0.095,0.05455896
0.9,0.1,0.05607682
0.92,0.02,0.03308193
0.92,0.025,0.0374573
0.92,0.03,0.04581748
0.92,0.035,0.0536385
0.92,0.04,0.05782603
0.92,0.045,0.07023686
0.92,0.05,0.07102586
0.92,0.055,0.07591345
0.92,0.06,0.08688673
0.92,0.065,0.08188489
0.92,0.07,0.09255744
0.92,0.075,0.08516654
0.92,0.08,0.09410418
0.92,0.085,0.0899023
0.92,0.09,0.09018568
0.92,0.095,0.09362958
