Fitness,Migration Rate,RCT - Invasion
0.92,0.075,0.004396187
0.92,0.08,0.003982097
0.92,0.085,0.00360411
0.92,0.09,0.003487421
0.92,0.095,0.00141199
0.92,0.1,0.000727903
0.94,0.02,0.00378772
0.94,0.025,0.004553446
0.94,0.03,0.003896982
0.94,0.035,0.00532964
0.94,0.04,0.005978947
0.94,0.045,0.006166272
0.94,0.05,0.005954571
0.94,0.055,0.00801223
0.94,0.06,0.007641386
0.94,0.065,0.011114141
0.94,0.07,0.008098846
0.94,0.075,0.010167196
0.94,0.08,0.011465516
0.94,0.085,0.010199984
0.94,0.09,0.011118369
0.94,0.095,0.010466504
0.94,0.1,0.007404657
0.96,0.02,0.008753854
0.96,0.025,0.008105577
0.96,0.03,0.008528707
0.96,0.035,0.008942483
0.96,0.04,0.01353416
0.96,0.045,0.012665237
0.96,0.05,0.014342481
0.96,0.055,0.01798169
0.96,0.06,0.01374688
0.96,0.065,0.018162596
0.96,0.07,0.02055049
0.96,0.075,0.02203645
0.96,0.08,0.02218338
0.96,0.085,0.02512409
0.96,0.09,0.02351533
0.96,0.095,0.02464437
0.96,0.1,0.02425956
0.98,0.02,0.014683168
0.98,0.025,0.015791524
0.98,0.03,0.0154488
0.98,0.035,0.02030491
0.98,0.04,0.02662221
0.98,0.045,0.02985172
0.98,0.05,0.02977923
0.98,0.055,0.03142056
0.98,0.06,0.02669367
0.98,0.065,0.03656712
0.98,0.07,0.03874874
0.98,0.075,0.0421447
0.98,0.08,0.05266099
0.98,0.085,0.05309663
0.98,0.09,0.05619001
0.98,0.095,0.05607386
0.98,0.1,0.05928957
1,0.02,0.0214705
1,0.025,0.02633418
1,0.03,0.03281941
1,0.035,0.03826239
1,0.04,0.04664359
1,0.045,0.04770924
1,0.05,0.06121391
1,0.055,0.05731984
1,0.06,0.06767195
1,0.065,0.07631921
1,0.07,0.07594149
1,0.075,0.07560831
1,0.08,0.08784011
1,0.085,0.09106363
1,0.09,0.10520831
1,0.095,0.11239545
1,0.1,0.12150283
