Fitness,Migration Rate,2L2T - Invasion
0.84,0.055,0.181796
0.84,0.06,0.2041362
0.84,0.065,0.2022074
0.84,0.07,0.2368011
0.84,0.075,0.2391884
0.84,0.08,0.25584
0.84,0.085,0.2896576
0.84,0.09,0.3054864
0.84,0.095,0.312422
0.84,0.1,0.3820697
0.86,0.02,0.0999552
0.86,0.025,0.1183678
0.86,0.03,0.148465
0.86,0.035,0.1848254
0.86,0.04,0.1945163
0.86,0.045,0.2228852
0.86,0.05,0.2480096
0.86,0.055,0.2645152
0.86,0.06,0.2964655
0.86,0.065,0.3059246
0.86,0.07,0.3419033
0.86,0.075,0.3507423
0.86,0.08,0.4034416
0.86,0.085,0.4441102
0.86,0.09,0.5285179
0.86,0.095,0.6507413
0.86,0.1,0.7084363
0.88,0.02,0.1315832
0.88,0.025,0.1503726
0.88,0.03,0.1927959
0.88,0.035,0.2338632
0.88,0.04,0.2459983
0.88,0.045,0.2745873
0.88,0.05,0.3240401
0.88,0.055,0.3699604
0.88,0.06,0.40068
0.88,0.065,0.4391574
0.88,0.07,0.4752169
0.88,0.075,0.5294249
0.88,0.08,0.5764831
0.88,0.085,0.7419129
0.88,0.09,0.7746268
0.88,0.095,0.859447
0.88,0.1,0.9084308
0.9,0.02,0.1571148
0.9,0.025,0.1858865
0.9,0.03,0.2504493
0.9,0.035,0.2876106
0.9,0.04,0.3199918
0.9,0.045,0.3543269
0.9,0.05,0.4020081
0.9,0.055,0.4545823
0.9,0.06,0.5061979
0.9,0.065,0.5368422
0.9,0.07,0.6343976
0.9,0.075,0.7412244
0.9,0.08,0.8564682
0.9,0.085,0.8936674
0.9,0.09,0.9189628
0.9,0.095,0.9294916
0.9,0.1,0.934873
0.92,0.02,0.1937207
0.92,0.025,0.2383566
0.92,0.03,0.3031483
0.92,0.035,0.3587309
0.92,0.04,0.3932573
0.92,0.045,0.4386691
0.92,0.05,0.4979204
0.92,0.055,0.5641454
0.92,0.06,0.5940702
0.92,0.065,0.7052443
0.92,0.07,0.8020781
0.92,0.075,0.8908484
0.92,0.08,0.9171995
0.92,0.085,0.9316113
0.92,0.09,0.9421112
0.92,0.095,0.942437
0.92,0.1,0.9477965
0.94,0.02,0.2221015
0.94,0.025,0.2790291
0.94,0.03,0.3439622
0.94,0.035,0.4033308
0.94,0.04,0.4741474
0.94,0.045,0.5202967
0.94,0.05,0.5921743
0.94,0.055,0.6681746
0.94,0.06,0.7486046
0.94,0.065,0.8812234
0.94,0.07,0.9171511
0.94,0.075,0.9313509
0.94,0.08,0.944316
0.94,0.085,0.9465949
0.94,0.09,0.9511081
0.94,0.095,0.956247
0.94,0.1,0.9569139
0.96,0.02,0.24648
0.96,0.025,0.3239992
0.96,0.03,0.3938189
0.96,0.035,0.4596042
0.96,0.04,0.5213131
0.96,0.045,0.6001568
0.96,0.05,0.6930197
0.96,0.055,0.8103146
0.96,0.06,0.8715437
0.96,0.065,0.9239465
0.96,0.07,0.9416122
0.96,0.075,0.948651
0.96,0.08,0.9538879
0.96,0.085,0.9612138
0.96,0.09,0.9591017
0.96,0.095,0.9615576
0.96,0.1,0.9613943
0.98,0.02,0.2943936
0.98,0.025,0.3718613
0.98,0.03,0.4451671
0.98,0.035,0.538748
0.98,0.04,0.6109308
0.98,0.045,0.6995644
0.98,0.05,0.7919868
0.98,0.055,0.8914685
0.98,0.06,0.9193862
0.98,0.065,0.9452085
0.98,0.07,0.9557375
0.98,0.075,0.960455
0.98,0.08,0.9612003
0.98,0.085,0.9649227
0.98,0.09,0.9661885
0.98,0.095,0.9692207
0.98,0.1,0.9671204
1,0.02,0.3284943
1,0.025,0.4196483
1,0.03,0.502388
1,0.035,0.5840021
1,0.04,0.6882355
1,0.045,0.7721437
1,0.05,0.8886885
1,0.055,0.9360141
1,0.06,0.9544499
1,0.065,0.9577457
1,0.07,0.9628483
1,0.075,0.967819
1,0.08,0.9710736
1,0.085,0.9744589
1,0.09,0.9771313
1,0.095,0.9757383
1,0.1,0.9748128
