Fitness,Migration Rate,RCT - Persistance
0.9,0.04,0.25477538
0.9,0.045,0.015144021
0.9,0.05,0.00035713
0.9,0.055,0
0.9,0.06,0
0.9,0.065,0
0.9,0.07,0
0.9,0.075,0
0.9,0.08,0
0.9,0.085,0
0.9,0.09,0
0.9,0.095,0
0.9,0.1,0
0.92,0.02,0.9560873
0.92,0.025,0.9416153
0.92,0.03,0.9039938
0.92,0.035,0.7568519
0.92,0.04,0.6476326
0.92,0.045,0.155142155
0.92,0.05,0.007758629
0.92,0.055,6.52E-05
0.92,0.06,0
0.92,0.065,0
0.92,0.07,0
0.92,0.075,0
0.92,0.08,0
0.92,0.085,0
0.92,0.09,0
0.92,0.095,0
0.92,0.1,0
0.94,0.02,0.977904
0.94,0.025,0.9622528
0.94,0.03,0.950557
0.94,0.035,0.9321791
0.94,0.04,0.8763202
0.94,0.045,0.687537
0.94,0.05,0.206396074
0.94,0.055,0.001263064
0.94,0.06,0.000131381
0.94,0.065,4.02E-05
0.94,0.07,0
0.94,0.075,0
0.94,0.08,0
0.94,0.085,0
0.94,0.09,0
0.94,0.095,0
0.94,0.1,0
0.96,0.02,0.9805056
0.96,0.025,0.9782101
0.96,0.03,0.968675
0.96,0.035,0.9538158
0.96,0.04,0.932441
0.96,0.045,0.8642247
0.96,0.05,0.656925
0.96,0.055,0.296733868
0.96,0.06,0.000980043
0.96,0.065,0.00011833
0.96,0.07,0
0.96,0.075,0
0.96,0.08,0
0.96,0.085,0
0.96,0.09,0
0.96,0.095,0
0.96,0.1,0
0.98,0.02,0.9878687
0.98,0.025,0.9834507
0.98,0.03,0.9773853
0.98,0.035,0.9684673
0.98,0.04,0.9563715
0.98,0.045,0.9360262
0.98,0.05,0.9145861
0.98,0.055,0.6926368
0.98,0.06,0.213549153
0.98,0.065,0.008600858
0.98,0.07,5.40E-05
0.98,0.075,1.36E-05
0.98,0.08,0
0.98,0.085,0
0.98,0.09,0
0.98,0.095,0
0.98,0.1,0
1,0.02,0.9903108
1,0.025,0.9864515
1,0.03,0.9805749
1,0.035,0.9759872
1,0.04,0.9669858
1,0.045,0.9565259
1,0.05,0.9414292
1,0.055,0.9156055
1,0.06,0.7688389
1,0.065,0.403589503
1,0.07,0.003574005
1,0.075,9.40E-05
1,0.08,0
1,0.085,0
1,0.09,0
1,0.095,0
1,0.1,0
