Fitness,Migration Rate,2L2T - Persistance
0.86,0.025,0.9020833
0.86,0.03,0.8969285
0.86,0.035,0.8835682
0.86,0.04,0.8781276
0.86,0.045,0.8683151
0.86,0.05,0.8567933
0.86,0.055,0.855022
0.86,0.06,0.8462024
0.86,0.065,0.8444204
0.86,0.07,0.8396477
0.86,0.075,0.8357777
0.86,0.08,0.8471344
0.86,0.085,0.8487991
0.86,0.09,0.8462113
0.86,0.095,0.8579838
0.86,0.1,0.8398647
0.88,0.02,0.9256218
0.88,0.025,0.910448
0.88,0.03,0.9034853
0.88,0.035,0.893344
0.88,0.04,0.8887025
0.88,0.045,0.8802425
0.88,0.05,0.8708725
0.88,0.055,0.8651384
0.88,0.06,0.8625086
0.88,0.065,0.8625835
0.88,0.07,0.8656016
0.88,0.075,0.8685818
0.88,0.08,0.8771647
0.88,0.085,0.8802785
0.88,0.09,0.8880515
0.88,0.095,0.8861179
0.88,0.1,0.8934047
0.9,0.02,0.9256482
0.9,0.025,0.9150439
0.9,0.03,0.9130526
0.9,0.035,0.9045493
0.9,0.04,0.8953882
0.9,0.045,0.8865213
0.9,0.05,0.8817694
0.9,0.055,0.8785141
0.9,0.06,0.8744872
0.9,0.065,0.8793173
0.9,0.07,0.8836124
0.9,0.075,0.891453
0.9,0.08,0.8947462
0.9,0.085,0.8997152
0.9,0.09,0.9085143
0.9,0.095,0.9070683
0.9,0.1,0.9131349
0.92,0.02,0.9338092
0.92,0.025,0.9281509
0.92,0.03,0.9175482
0.92,0.035,0.9102377
0.92,0.04,0.9059744
0.92,0.045,0.898111
0.92,0.05,0.8975264
0.92,0.055,0.8937794
0.92,0.06,0.8953755
0.92,0.065,0.896577
0.92,0.07,0.9026753
0.92,0.075,0.9030019
0.92,0.08,0.9128627
0.92,0.085,0.91482
0.92,0.09,0.9171292
0.92,0.095,0.9216367
0.92,0.1,0.9231474
0.94,0.02,0.9405863
0.94,0.025,0.9347748
0.94,0.03,0.9289816
0.94,0.035,0.9171453
0.94,0.04,0.9143688
0.94,0.045,0.911577
0.94,0.05,0.9081756
0.94,0.055,0.9030969
0.94,0.06,0.9047185
0.94,0.065,0.9095333
0.94,0.07,0.9097918
0.94,0.075,0.9231471
0.94,0.08,0.9197152
0.94,0.085,0.9265392
0.94,0.09,0.9267758
0.94,0.095,0.9289956
0.94,0.1,0.928556
