Migration Rate,Corridor Width,Normal Allele - Invasion
0.065,0.19,0.1947083
0.065,0.2,0.2054009
0.07,0.01,0.011510032
0.07,0.02,0.03285711
0.07,0.03,0.03473099
0.07,0.04,0.05001733
0.07,0.05,0.06242424
0.07,0.06,0.07132713
0.07,0.07,0.1018398
0.07,0.08,0.10841504
0.07,0.09,0.1189743
0.07,0.1,0.12831202
0.07,0.11,0.1318858
0.07,0.12,0.1517902
0.07,0.13,0.1547831
0.07,0.14,0.1438782
0.07,0.15,0.1604477
0.07,0.16,0.1862119
0.07,0.17,0.1763908
0.07,0.18,0.193211
0.07,0.19,0.2109384
0.07,0.2,0.1968987
0.075,0.01,0.011880518
0.075,0.02,0.02261086
0.075,0.03,0.05362819
0.075,0.04,0.05084706
0.075,0.05,0.07220445
0.075,0.06,0.09058008
0.075,0.07,0.10250268
0.075,0.08,0.10888768
0.075,0.09,0.11811386
0.075,0.1,0.12564146
0.075,0.11,0.1497611
0.075,0.12,0.15107632
0.075,0.13,0.1580412
0.075,0.14,0.1709311
0.075,0.15,0.1799795
0.075,0.16,0.192892
0.075,0.17,0.1914795
0.075,0.18,0.2039684
0.075,0.19,0.2270996
0.075,0.2,0.2189042
0.08,0.01,0.020428714
0.08,0.02,0.03984989
0.08,0.03,0.05679279
0.08,0.04,0.06199131
0.08,0.05,0.09586334
0.08,0.06,0.10069195
0.08,0.07,0.11347808
0.08,0.08,0.13060324
0.08,0.09,0.1385688
0.08,0.1,0.1519607
0.08,0.11,0.1596137
0.08,0.12,0.1539654
0.08,0.13,0.1811336
0.08,0.14,0.1872345
0.08,0.15,0.2046678
0.08,0.16,0.2155991
0.08,0.17,0.2136076
0.08,0.18,0.2224741
0.08,0.19,0.2244957
0.08,0.2,0.2474858
0.085,0.01,0.02837133
0.085,0.02,0.03668687
0.085,0.03,0.05588664
0.085,0.04,0.07542112
0.085,0.05,0.07849756
0.085,0.06,0.0956478
0.085,0.07,0.12373225
0.085,0.08,0.1421224
0.085,0.09,0.1530509
