Migration Rate,Corridor Width,1L1T - Invasion
0.02,0.01,0.000599298
0.02,0.02,0.001871349
0.02,0.03,0.002686905
0.02,0.04,0.001450084
0.02,0.05,0.002632512
0.02,0.06,0.001862104
0.02,0.07,0.002754261
0.02,0.08,0.00335667
0.02,0.09,0.00552533
0.02,0.1,0.002418702
0.02,0.11,0.003101857
0.02,0.12,0.005742243
0.02,0.13,0.0082084
0.02,0.14,0.010631744
0.02,0.15,0.007154248
0.02,0.16,0.005571163
0.02,0.17,0.003856885
0.02,0.18,0.007915821
0.02,0.19,0.010897934
0.02,0.2,0.009316875
0.025,0.01,0.00166121
0.025,0.02,0.000658103
0.025,0.03,0.003668145
0.025,0.04,0.001710882
0.025,0.05,0.004168715
0.025,0.06,0.003193107
0.025,0.07,0.004622717
0.025,0.08,0.002690223
0.025,0.09,0.006152261
0.025,0.1,0.005051398
0.025,0.11,0.00415353
0.025,0.12,0.005139883
0.025,0.13,0.007046862
0.025,0.14,0.008132628
0.025,0.15,0.008660208
0.025,0.16,0.016023956
0.025,0.17,0.007560115
0.025,0.18,0.009932277
0.025,0.19,0.013857161
0.025,0.2,0.006037313
0.03,0.01,0.000414808
0.03,0.02,0.000618167
0.03,0.03,0.001656236
0.03,0.04,0.002266902
0.03,0.05,0.003442939
0.03,0.06,0.007156114
0.03,0.07,0.002881966
0.03,0.08,0.007339951
0.03,0.09,0.006109297
0.03,0.1,0.007246661
0.03,0.11,0.005596016
0.03,0.12,0.004858361
0.03,0.13,0.007577402
0.03,0.14,0.00595762
0.03,0.15,0.009286128
0.03,0.16,0.012504864
0.03,0.17,0.008756358
0.03,0.18,0.011099684
0.03,0.19,0.01259338
0.03,0.2,0.012420091
0.035,0.01,0.000999479
0.035,0.02,0.002619929
0.035,0.03,0.002898642
0.035,0.04,0.00275803
0.035,0.05,0.002593878
0.035,0.06,0.002490138
0.035,0.07,0.005334447
0.035,0.08,0.007683608
0.035,0.09,0.007630797
0.035,0.1,0.007049188
0.035,0.11,0.00589191
0.035,0.12,0.006703875
0.035,0.13,0.006921825
0.035,0.14,0.012191781
0.035,0.15,0.009099389
0.035,0.16,0.010335571
0.035,0.17,0.010268438
0.035,0.18,0.013545904
0.035,0.19,0.012192959
0.035,0.2,0.011393797
0.04,0.01,0.000614508
0.04,0.02,0.001976599
0.04,0.03,0.001635099
0.04,0.04,0.004153789
0.04,0.05,0.003465291
0.04,0.06,0.001939357
0.04,0.07,0.003358919
0.04,0.08,0.003757884
0.04,0.09,0.00488878
0.04,0.1,0.009783935
0.04,0.11,0.00990492
0.04,0.12,0.006644339
0.04,0.13,0.00881183
0.04,0.14,0.009775127
0.04,0.15,0.010536075
0.04,0.16,0.010001762
0.04,0.17,0.016650781
0.04,0.18,0.009194117
0.04,0.19,0.009520921
0.04,0.2,0.012580399
0.045,0.01,0.000495721
0.045,0.02,0.001033644
0.045,0.03,0.001590477
0.045,0.04,0.00291814
0.045,0.05,0.004014105
0.045,0.06,0.00597399
0.045,0.07,0.004687219
0.045,0.08,0.006191856
0.045,0.09,0.006430049
0.045,0.1,0.006177873
0.045,0.11,0.00821178
0.045,0.12,0.008760249
0.045,0.13,0.009950711
0.045,0.14,0.008894194
0.045,0.15,0.012937431
0.045,0.16,0.012001559
0.045,0.17,0.013483259
0.045,0.18,0.01537493
0.045,0.19,0.009182026
0.045,0.2,0.014817596
0.05,0.01,0.000514223
0.05,0.02,0.001609853
0.05,0.03,0.001870735
0.05,0.04,0.004168679
0.05,0.05,0.004293623
0.05,0.06,0.002714492
0.05,0.07,0.00428017
0.05,0.08,0.007040524
0.05,0.09,0.006457936
0.05,0.1,0.010638097
0.05,0.11,0.008529542
0.05,0.12,0.011010533
0.05,0.13,0.007842267
0.05,0.14,0.010331642
0.05,0.15,0.015299248
0.05,0.16,0.015094954
0.05,0.17,0.012864524
0.05,0.18,0.017482642
0.05,0.19,0.018067582
0.05,0.2,0.013598741
0.055,0.01,0.000391861
0.055,0.02,0.000983851
0.055,0.03,0.001684344
0.055,0.04,0.002693761
0.055,0.05,0.002860822
0.055,0.06,0.004574609
0.055,0.07,0.005844321
0.055,0.08,0.006787284
0.055,0.09,0.007827675
0.055,0.1,0.008758468
0.055,0.11,0.009296824
0.055,0.12,0.010664412
0.055,0.13,0.013577086
0.055,0.14,0.009969
0.055,0.15,0.010032574
0.055,0.16,0.015751604
0.055,0.17,0.015590953
0.055,0.18,0.015334626
0.055,0.19,0.018261498
0.055,0.2,0.019505208
0.06,0.01,0.000321946
0.06,0.02,0.001248254
0.06,0.03,0.001499359
0.06,0.04,0.003109415
0.06,0.05,0.003131459
0.06,0.06,0.004670074
0.06,0.07,0.004777483
0.06,0.08,0.007014687
0.06,0.09,0.006034496
0.06,0.1,0.008375328
0.06,0.11,0.007159481
0.06,0.12,0.01197711
0.06,0.13,0.013628868
0.06,0.14,0.013272767
0.06,0.15,0.011275681
0.06,0.16,0.011444842
0.06,0.17,0.01617157
0.06,0.18,0.020554916
0.06,0.19,0.02371326
0.06,0.2,0.02097145
0.065,0.01,0.000570609
0.065,0.02,0.001370594
0.065,0.03,0.001393234
0.065,0.04,0.00318342
0.065,0.05,0.002965597
0.065,0.06,0.004888188
0.065,0.07,0.005053928
0.065,0.08,0.008540202
0.065,0.09,0.007182753
0.065,0.1,0.008011647
0.065,0.11,0.010991059
0.065,0.12,0.0106873
0.065,0.13,0.008353679
0.065,0.14,0.011787002
0.065,0.15,0.01363875
0.065,0.16,0.01762186
0.065,0.17,0.01954642
0.065,0.18,0.01610133
0.065,0.19,0.02139823
0.065,0.2,0.02414838
0.07,0.01,0.000534537
0.07,0.02,0.00093389
0.07,0.03,0.002293212
0.07,0.04,0.003449856
0.07,0.05,0.004090775
0.07,0.06,0.004528143
0.07,0.07,0.007015173
0.07,0.08,0.007744854
0.07,0.09,0.00870623
0.07,0.1,0.010400135
0.07,0.11,0.01153385
0.07,0.12,0.012467879
0.07,0.13,0.010870907
0.07,0.14,0.013330095
0.07,0.15,0.013294661
0.07,0.16,0.014670576
0.07,0.17,0.019333356
0.07,0.18,0.01926099
0.07,0.19,0.02227718
0.07,0.2,0.016632271
0.075,0.01,0.00042002
0.075,0.02,0.001601932
0.075,0.03,0.001881886
0.075,0.04,0.003228482
0.075,0.05,0.003231164
0.075,0.06,0.005138786
0.075,0.07,0.008260846
0.075,0.08,0.007384598
0.075,0.09,0.009250701
0.075,0.1,0.008898955
0.075,0.11,0.011916996
0.075,0.12,0.012249422
0.075,0.13,0.01358022
0.075,0.14,0.014383858
0.075,0.15,0.0185293
0.075,0.16,0.01452024
0.075,0.17,0.015871693
0.075,0.18,0.01982028
0.075,0.19,0.018793177
0.075,0.2,0.02211696
0.08,0.01,0.000788476
0.08,0.02,0.000964636
0.08,0.03,0.002345159
0.08,0.04,0.003685189
0.08,0.05,0.004076571
0.08,0.06,0.005280137
0.08,0.07,0.0062243
0.08,0.08,0.008580974
0.08,0.09,0.009656972
0.08,0.1,0.010269307
0.08,0.11,0.014341813
0.08,0.12,0.015959433
