Fitness,Migration Rate,2L2T - Invasion
0.88,0.085,0
0.88,0.09,0
0.88,0.095,0
0.88,0.1,0
0.9,0.02,0.02780252
0.9,0.025,0.02798175
0.9,0.03,0.02595233
0.9,0.035,0.02192098
0.9,0.04,0.015619594
0.9,0.045,0.012516498
0.9,0.05,0.003471914
0.9,0.055,0.000861077
0.9,0.06,4.06E-05
0.9,0.065,0
0.9,0.07,0
0.9,0.075,0
0.9,0.08,0
0.9,0.085,0
0.9,0.09,0
0.9,0.095,0
0.9,0.1,0
0.92,0.02,0.04066122
0.92,0.025,0.04101134
0.92,0.03,0.04520977
0.92,0.035,0.03779079
0.92,0.04,0.02794376
0.92,0.045,0.01967451
0.92,0.05,0.009220886
0.92,0.055,0.00267084
0.92,0.06,0.000391117
0.92,0.065,0
0.92,0.07,0
0.92,0.075,0
0.92,0.08,0
0.92,0.085,0
0.92,0.09,0
0.92,0.095,0
0.92,0.1,0
0.94,0.02,0.04613003
0.94,0.025,0.06124363
0.94,0.03,0.05890901
0.94,0.035,0.05393603
0.94,0.04,0.04188914
0.94,0.045,0.03471763
0.94,0.05,0.020969335
0.94,0.055,0.017653595
0.94,0.06,0.001827199
0.94,0.065,5.82E-06
0.94,0.07,0
0.94,0.075,0
0.94,0.08,0
0.94,0.085,0
0.94,0.09,0
0.94,0.095,0
0.94,0.1,0
0.96,0.02,0.06666228
0.96,0.025,0.07276434
0.96,0.03,0.07842329
0.96,0.035,0.07518427
0.96,0.04,0.08003307
0.96,0.045,0.0508742
0.96,0.05,0.04499777
0.96,0.055,0.02609817
0.96,0.06,0.010150216
0.96,0.065,0.000578085
0.96,0.07,1.73E-05
0.96,0.075,0
0.96,0.08,0
0.96,0.085,0
0.96,0.09,0
0.96,0.095,0
0.96,0.1,0
0.98,0.02,0.08532282
0.98,0.025,0.09436716
0.98,0.03,0.10896062
0.98,0.035,0.10870395
0.98,0.04,0.1040027
0.98,0.045,0.1018732
0.98,0.05,0.07932415
0.98,0.055,0.05553359
0.98,0.06,0.02759861
0.98,0.065,0.010868628
0.98,0.07,0.000381291
0.98,0.075,1.15E-05
0.98,0.08,0
0.98,0.085,0
0.98,0.09,0
0.98,0.095,0
0.98,0.1,0
1,0.02,0.10297359
1,0.025,0.1139873
1,0.03,0.11960714
1,0.035,0.1422783
1,0.04,0.1311626
1,0.045,0.128968
1,0.05,0.12361779
1,0.055,0.09512547
1,0.06,0.0661604
1,0.065,0.03114689
1,0.07,0.005170489
1,0.075,8.68E-05
1,0.08,0
1,0.085,0
1,0.09,0
1,0.095,0
1,0.1,0
