Fitness,Migration Rate,Normal Allele - Invasion
0.82,0.07,0.00829908
0.82,0.075,0.008268309
0.82,0.08,0.007520397
0.82,0.085,0.008982669
0.82,0.09,0.008016902
0.82,0.095,0.007173297
0.82,0.1,0.006703665
0.84,0.02,0.008452009
0.84,0.025,0.01056581
0.84,0.03,0.012625539
0.84,0.035,0.013202069
0.84,0.04,0.013436344
0.84,0.045,0.01310281
0.84,0.05,0.01402898
0.84,0.055,0.011943829
0.84,0.06,0.012771642
0.84,0.065,0.010990206
0.84,0.07,0.012443843
0.84,0.075,0.010945166
0.84,0.08,0.013361181
0.84,0.085,0.012761852
0.84,0.09,0.010060811
0.84,0.095,0.011464095
0.84,0.1,0.012139757
0.86,0.02,0.012424747
0.86,0.025,0.01649843
0.86,0.03,0.0152595
0.86,0.035,0.016833693
0.86,0.04,0.01657514
0.86,0.045,0.01728976
0.86,0.05,0.01676304
0.86,0.055,0.01645717
0.86,0.06,0.01754066
0.86,0.065,0.01759515
0.86,0.07,0.017083302
0.86,0.075,0.01872668
0.86,0.08,0.01721705
0.86,0.085,0.01732776
0.86,0.09,0.015617937
0.86,0.095,0.01644543
0.86,0.1,0.01640671
0.88,0.02,0.01829028
0.88,0.025,0.01881123
0.88,0.03,0.01975356
0.88,0.035,0.02366479
0.88,0.04,0.0252003
0.88,0.045,0.02476225
0.88,0.05,0.02455701
0.88,0.055,0.02591962
0.88,0.06,0.02580953
0.88,0.065,0.0255312
0.88,0.07,0.02453168
0.88,0.075,0.02383345
0.88,0.08,0.02419194
0.88,0.085,0.02269981
0.88,0.09,0.02288384
0.88,0.095,0.02183803
0.88,0.1,0.02075187
0.9,0.02,0.01994874
0.9,0.025,0.02606452
0.9,0.03,0.02837174
0.9,0.035,0.02992351
0.9,0.04,0.02992577
0.9,0.045,0.03141832
0.9,0.05,0.03344591
0.9,0.055,0.03416777
0.9,0.06,0.03488227
0.9,0.065,0.03201794
0.9,0.07,0.03248081
0.9,0.075,0.03153261
0.9,0.08,0.03140732
0.9,0.085,0.03127177
0.9,0.09,0.0305614
0.9,0.095,0.03235203
0.9,0.1,0.03218147
0.92,0.02,0.02648882
0.92,0.025,0.03015949
0.92,0.03,0.0361452
0.92,0.035,0.03898286
0.92,0.04,0.04069079
0.92,0.045,0.04275383
0.92,0.05,0.04099815
0.92,0.055,0.04276436
0.92,0.06,0.04368726
0.92,0.065,0.04248768
0.92,0.07,0.04574929
0.92,0.075,0.04830129
0.92,0.08,0.04387797
0.92,0.085,0.04462223
0.92,0.09,0.04536152
0.92,0.095,0.04432923
0.92,0.1,0.04512315
0.94,0.02,0.03377591
0.94,0.025,0.0436805
0.94,0.03,0.0497646
0.94,0.035,0.0485037
0.94,0.04,0.05811984
0.94,0.045,0.05538186
0.94,0.05,0.05919377
0.94,0.055,0.05877879
0.94,0.06,0.06531904
0.94,0.065,0.05887587
0.94,0.07,0.06393627
0.94,0.075,0.06205723
0.94,0.08,0.05426532
0.94,0.085,0.06060444
0.94,0.09,0.06133135
0.94,0.095,0.05790841
0.94,0.1,0.06105296
0.96,0.02,0.04204028
0.96,0.025,0.05473585
0.96,0.03,0.06230196
0.96,0.035,0.06743457
0.96,0.04,0.0740847
0.96,0.045,0.07489625
0.96,0.05,0.08438639
0.96,0.055,0.08246147
0.96,0.06,0.08150293
0.96,0.065,0.08387192
0.96,0.07,0.07532054
0.96,0.075,0.07753249
0.96,0.08,0.08167594
0.96,0.085,0.08577423
0.96,0.09,0.07605371
0.96,0.095,0.08008545
0.96,0.1,0.07876516
0.98,0.02,0.05551103
0.98,0.025,0.05919105
0.98,0.03,0.07480222
0.98,0.035,0.08779579
0.98,0.04,0.09082826
0.98,0.045,0.09436255
0.98,0.05,0.10397231
0.98,0.055,0.1040439
0.98,0.06,0.11110761
0.98,0.065,0.10392813
0.98,0.07,0.10073608
0.98,0.075,0.10116918
0.98,0.08,0.10837978
0.98,0.085,0.10468842
0.98,0.09,0.10192718
0.98,0.095,0.10968776
0.98,0.1,0.11237779
1,0.02,0.06381036
1,0.025,0.08739685
1,0.03,0.09532869
1,0.035,0.1113755
1,0.04,0.1169312
1,0.045,0.12226527
1,0.05,0.1287794
1,0.055,0.1327666
1,0.06,0.1277556
1,0.065,0.1339415
1,0.07,0.1387412
1,0.075,0.1355241
1,0.08,0.1377684
1,0.085,0.138241
1,0.09,0.1386119
1,0.095,0.1390911
1,0.1,0.135474
