Fitness,Migration Rate,2L2T - Invasion
0.84,0.1,0.243078438
0.86,0.02,0.0992988
0.86,0.025,0.1204485
0.86,0.03,0.14331
0.86,0.035,0.1648631
0.86,0.04,0.1821784
0.86,0.045,0.2029196
0.86,0.05,0.2331532
0.86,0.055,0.2689608
0.86,0.06,0.2947643
0.86,0.065,0.331238
0.86,0.07,0.4207363
0.86,0.075,0.4724242
0.86,0.08,0.5696326
0.86,0.085,0.6475273
0.86,0.09,0.6870224
0.86,0.095,0.7642638
0.86,0.1,0.7342138
0.88,0.02,0.1114862
0.88,0.025,0.1341896
0.88,0.03,0.1630208
0.88,0.035,0.1878567
0.88,0.04,0.2189217
0.88,0.045,0.2368693
0.88,0.05,0.2733351
0.88,0.055,0.3164142
0.88,0.06,0.3893202
0.88,0.065,0.4616242
0.88,0.07,0.5588428
0.88,0.075,0.6409593
0.88,0.08,0.753105
0.88,0.085,0.8135229
0.88,0.09,0.8547889
0.88,0.095,0.8708467
0.88,0.1,0.8844865
0.9,0.02,0.1196195
0.9,0.025,0.1586598
0.9,0.03,0.1836796
0.9,0.035,0.2106292
0.9,0.04,0.24001
0.9,0.045,0.2738249
0.9,0.05,0.318125
0.9,0.055,0.3765299
0.9,0.06,0.4713509
0.9,0.065,0.5540671
0.9,0.07,0.6611909
0.9,0.075,0.7805668
0.9,0.08,0.8441556
0.9,0.085,0.8778114
0.9,0.09,0.8935819
0.9,0.095,0.8998443
0.9,0.1,0.9064465
0.92,0.02,0.1375678
0.92,0.025,0.1789341
0.92,0.03,0.2071486
0.92,0.035,0.2431548
0.92,0.04,0.2776555
0.92,0.045,0.3176515
0.92,0.05,0.385775
0.92,0.055,0.4765939
0.92,0.06,0.5768593
0.92,0.065,0.6857198
0.92,0.07,0.8019709
0.92,0.075,0.8546725
0.92,0.08,0.8913734
0.92,0.085,0.899109
0.92,0.09,0.9111166
0.92,0.095,0.9184511
0.92,0.1,0.9175685
0.94,0.02,0.1535652
0.94,0.025,0.1916789
0.94,0.03,0.2359133
0.94,0.035,0.2700758
0.94,0.04,0.313487
0.94,0.045,0.3804508
0.94,0.05,0.475677
0.94,0.055,0.5825314
0.94,0.06,0.6704758
0.94,0.065,0.778836
0.94,0.07,0.8496516
0.94,0.075,0.8926323
0.94,0.08,0.9038582
0.94,0.085,0.9172849
0.94,0.09,0.923346
0.94,0.095,0.9267338
0.94,0.1,0.9306774
0.96,0.02,0.1674425
0.96,0.025,0.2155493
0.96,0.03,0.2626938
0.96,0.035,0.3019982
0.96,0.04,0.3662884
0.96,0.045,0.4389853
0.96,0.05,0.54968
0.96,0.055,0.673047
0.96,0.06,0.761035
0.96,0.065,0.8514469
0.96,0.07,0.8893455
0.96,0.075,0.9112146
0.96,0.08,0.9246271
0.96,0.085,0.9271107
0.96,0.09,0.9348677
0.96,0.095,0.936437
0.96,0.1,0.939571
0.98,0.02,0.1867915
0.98,0.025,0.2319945
0.98,0.03,0.2908868
0.98,0.035,0.3378847
0.98,0.04,0.4261176
0.98,0.045,0.520392
0.98,0.05,0.6320958
0.98,0.055,0.73559
0.98,0.06,0.8252697
0.98,0.065,0.8853157
0.98,0.07,0.9096843
0.98,0.075,0.9228263
0.98,0.08,0.9320715
0.98,0.085,0.9334335
0.98,0.09,0.9425387
0.98,0.095,0.9441488
0.98,0.1,0.946201
1,0.02,0.2082841
1,0.025,0.2591988
1,0.03,0.3185008
1,0.035,0.3868075
1,0.04,0.4736302
1,0.045,0.5759162
1,0.05,0.7017153
1,0.055,0.8044831
1,0.06,0.8560577
1,0.065,0.9090743
1,0.07,0.9258288
1,0.075,0.9338282
1,0.08,0.9395251
1,0.085,0.9436937
1,0.09,0.9467984
1,0.095,0.9481929
1,0.1,0.9510993
