Fitness,Migration Rate,RCT - Invasion
0.9,0.055,2.81E-05
0.9,0.06,0
0.9,0.065,0
0.9,0.07,0
0.9,0.075,0
0.9,0.08,0
0.9,0.085,0
0.9,0.09,0
0.9,0.095,0
0.9,0.1,0
0.92,0.02,0.04757331
0.92,0.025,0.05357701
0.92,0.03,0.05746613
0.92,0.035,0.03755826
0.92,0.04,0.03674291
0.92,0.045,0.007648849
0.92,0.05,0.000675594
0.92,0.055,0
0.92,0.06,0
0.92,0.065,0
0.92,0.07,0
0.92,0.075,0
0.92,0.08,0
0.92,0.085,0
0.92,0.09,0
0.92,0.095,0
0.92,0.1,0
0.94,0.02,0.06227948
0.94,0.025,0.07085578
0.94,0.03,0.07876389
0.94,0.035,0.08577447
0.94,0.04,0.07623923
0.94,0.045,0.04843258
0.94,0.05,0.013485479
0.94,0.055,0.000291396
0.94,0.06,2.24E-05
0.94,0.065,5.58E-06
0.94,0.07,5.55E-06
0.94,0.075,0
0.94,0.08,0
0.94,0.085,0
0.94,0.09,0
0.94,0.095,0
0.94,0.1,0
0.96,0.02,0.06941679
0.96,0.025,0.08585901
0.96,0.03,0.09816525
0.96,0.035,0.10145881
0.96,0.04,0.10892268
0.96,0.045,0.09213902
0.96,0.05,0.05775061
0.96,0.055,0.026628054
0.96,0.06,0.000212374
0.96,0.065,6.17E-05
0.96,0.07,0
0.96,0.075,0
0.96,0.08,1.10E-05
0.96,0.085,0
0.96,0.09,0
0.96,0.095,0
0.96,0.1,0
0.98,0.02,0.07937443
0.98,0.025,0.09931499
0.98,0.03,0.114799
0.98,0.035,0.1270761
0.98,0.04,0.1383602
0.98,0.045,0.1362798
0.98,0.05,0.1414371
0.98,0.055,0.08209622
0.98,0.06,0.021931875
0.98,0.065,0.001387766
0.98,0.07,2.78E-05
0.98,0.075,0
0.98,0.08,0
0.98,0.085,0
0.98,0.09,0
0.98,0.095,0
0.98,0.1,0
1,0.02,0.08722358
1,0.025,0.11059256
1,0.03,0.1263018
1,0.035,0.1447324
1,0.04,0.1596436
1,0.045,0.1670915
1,0.05,0.1723879
1,0.055,0.1713716
1,0.06,0.12236868
1,0.065,0.05663774
1,0.07,0.000819225
1,0.075,3.35E-05
1,0.08,1.11E-05
1,0.085,0
1,0.09,0
1,0.095,0
1,0.1,0
