Fitness,Migration Rate,RCT - Persistance
0.88,0.035,0.6155933
0.88,0.04,0.5615053
0.88,0.045,0.4932893
0.88,0.05,0.4340367
0.88,0.055,0.3532002
0.88,0.06,0.3011251
0.88,0.065,0.2507229
0.88,0.07,0.14303483
0.88,0.075,0.040862356
0.88,0.08,0.011468536
0.88,0.085,0.000225939
0.88,0.09,1.82E-05
0.88,0.095,9.17E-06
0.88,0.1,0
0.9,0.02,0.8449076
0.9,0.025,0.7804008
0.9,0.03,0.7613224
0.9,0.035,0.7015231
0.9,0.04,0.6516658
0.9,0.045,0.5914255
0.9,0.05,0.5418858
0.9,0.055,0.5004742
0.9,0.06,0.4634115
0.9,0.065,0.3902673
0.9,0.07,0.3115261
0.9,0.075,0.2347043
0.9,0.08,0.11098175
0.9,0.085,0.028238209
0.9,0.09,0.008880211
0.9,0.095,0.000263614
0.9,0.1,5.52E-05
0.92,0.02,0.8835715
0.92,0.025,0.8390658
0.92,0.03,0.7992292
0.92,0.035,0.7821252
0.92,0.04,0.7338315
0.92,0.045,0.6962359
0.92,0.05,0.6368238
0.92,0.055,0.6141746
0.92,0.06,0.573937
0.92,0.065,0.5454353
0.92,0.07,0.4826431
0.92,0.075,0.4278928
0.92,0.08,0.3797918
0.92,0.085,0.2676998
0.92,0.09,0.2277478
0.92,0.095,0.066196311
0.92,0.1,0.022952162
0.94,0.02,0.9093146
0.94,0.025,0.8845832
0.94,0.03,0.856364
0.94,0.035,0.8389323
0.94,0.04,0.8115893
0.94,0.045,0.7848438
0.94,0.05,0.7421265
0.94,0.055,0.7443989
0.94,0.06,0.687109
0.94,0.065,0.7034532
0.94,0.07,0.6184121
0.94,0.075,0.6270639
0.94,0.08,0.5965062
0.94,0.085,0.5364116
0.94,0.09,0.5132247
0.94,0.095,0.4266081
0.94,0.1,0.28920868
0.96,0.02,0.9458097
0.96,0.025,0.9252766
0.96,0.03,0.8988511
0.96,0.035,0.8858161
0.96,0.04,0.8824993
0.96,0.045,0.8553213
0.96,0.05,0.8379856
0.96,0.055,0.8310195
0.96,0.06,0.7888882
0.96,0.065,0.7778244
0.96,0.07,0.7772887
0.96,0.075,0.7533521
0.96,0.08,0.7285865
0.96,0.085,0.7212614
0.96,0.09,0.6760344
0.96,0.095,0.6503751
0.96,0.1,0.6219427
0.98,0.02,0.9681008
0.98,0.025,0.9483988
0.98,0.03,0.9344191
0.98,0.035,0.933424
0.98,0.04,0.929734
0.98,0.045,0.9218336
0.98,0.05,0.9062225
0.98,0.055,0.8908379
0.98,0.06,0.8571136
0.98,0.065,0.8693633
0.98,0.07,0.8539371
0.98,0.075,0.8505826
0.98,0.08,0.8519291
0.98,0.085,0.8318015
0.98,0.09,0.8281347
0.98,0.095,0.8137848
0.98,0.1,0.7881276
1,0.02,0.9740153
1,0.025,0.9672495
1,0.03,0.9654343
1,0.035,0.9602461
1,0.04,0.9577639
1,0.045,0.9481635
1,0.05,0.9492616
1,0.055,0.9363753
1,0.06,0.9347339
1,0.065,0.9327077
1,0.07,0.9226023
1,0.075,0.9066847
1,0.08,0.9086499
1,0.085,0.9010587
1,0.09,0.9035505
1,0.095,0.8996821
1,0.1,0.8942543
