Fitness,Migration Rate,Normal Allele - Persistance
0.84,0.025,0.290759
0.84,0.03,0.1803146
0.84,0.035,0.11821684
0.84,0.04,0.08926267
0.84,0.045,0.06756812
0.84,0.05,0.04556863
0.84,0.055,0.03609628
0.84,0.06,0.02683282
0.84,0.065,0.02341257
0.84,0.07,0.02231274
0.84,0.075,0.0221137
0.84,0.08,0.015930402
0.84,0.085,0.01768472
0.84,0.09,0.014077852
0.84,0.095,0.011983324
0.84,0.1,0.01310303
0.86,0.02,0.478859
0.86,0.025,0.3506518
0.86,0.03,0.2443767
0.86,0.035,0.1925035
0.86,0.04,0.1377932
0.86,0.045,0.10196691
0.86,0.05,0.07933352
0.86,0.055,0.06560525
0.86,0.06,0.05245609
0.86,0.065,0.05078051
0.86,0.07,0.03879731
0.86,0.075,0.0330575
0.86,0.08,0.03291506
0.86,0.085,0.02744045
0.86,0.09,0.02287954
0.86,0.095,0.01902968
0.86,0.1,0.02103216
0.88,0.02,0.5512676
0.88,0.025,0.4591634
0.88,0.03,0.3549019
0.88,0.035,0.2669975
0.88,0.04,0.209392
0.88,0.045,0.1595299
0.88,0.05,0.1268347
0.88,0.055,0.11109533
0.88,0.06,0.08813716
0.88,0.065,0.07450062
0.88,0.07,0.06790942
0.88,0.075,0.05684593
0.88,0.08,0.05477984
0.88,0.085,0.04722408
0.88,0.09,0.04356632
0.88,0.095,0.03889079
0.88,0.1,0.03874263
0.9,0.02,0.6283543
0.9,0.025,0.5175537
0.9,0.03,0.4148777
0.9,0.035,0.3468368
0.9,0.04,0.2878624
0.9,0.045,0.2485316
0.9,0.05,0.1960414
0.9,0.055,0.1763451
0.9,0.06,0.1545173
0.9,0.065,0.11699719
0.9,0.07,0.1146618
0.9,0.075,0.10802495
0.9,0.08,0.08444637
0.9,0.085,0.08189222
0.9,0.09,0.07615552
0.9,0.095,0.06992743
0.9,0.1,0.07114883
0.92,0.02,0.6864058
0.92,0.025,0.5933995
0.92,0.03,0.5074018
0.92,0.035,0.445493
0.92,0.04,0.3750201
0.92,0.045,0.3321664
0.92,0.05,0.279962
0.92,0.055,0.2641837
0.92,0.06,0.2332084
0.92,0.065,0.1927821
0.92,0.07,0.1768997
0.92,0.075,0.1550607
0.92,0.08,0.1548423
0.92,0.085,0.1365318
0.92,0.09,0.12831677
0.92,0.095,0.1289937
0.92,0.1,0.10735227
0.94,0.02,0.7308144
0.94,0.025,0.6656939
0.94,0.03,0.6130179
0.94,0.035,0.5394898
0.94,0.04,0.4880856
0.94,0.045,0.436658
0.94,0.05,0.3804283
0.94,0.055,0.3573117
0.94,0.06,0.3169298
0.94,0.065,0.3009795
0.94,0.07,0.2739049
0.94,0.075,0.2393641
0.94,0.08,0.2151555
0.94,0.085,0.2077274
0.94,0.09,0.2083025
0.94,0.095,0.1917847
0.94,0.1,0.1794829
0.96,0.02,0.7831718
0.96,0.025,0.7385152
0.96,0.03,0.6781985
0.96,0.035,0.6338145
0.96,0.04,0.5952179
0.96,0.045,0.5444467
0.96,0.05,0.5038448
0.96,0.055,0.4562268
0.96,0.06,0.4372808
0.96,0.065,0.4102334
0.96,0.07,0.3766669
0.96,0.075,0.3487618
0.96,0.08,0.3555694
0.96,0.085,0.3150273
0.96,0.09,0.2945328
0.96,0.095,0.3039751
0.96,0.1,0.281549
0.98,0.02,0.8246229
0.98,0.025,0.7935075
0.98,0.03,0.7567681
0.98,0.035,0.714124
0.98,0.04,0.6653979
0.98,0.045,0.6380858
0.98,0.05,0.5880294
0.98,0.055,0.5735512
0.98,0.06,0.5427802
0.98,0.065,0.5281094
0.98,0.07,0.5050636
0.98,0.075,0.4637341
0.98,0.08,0.4408954
0.98,0.085,0.4354103
0.98,0.09,0.4238542
0.98,0.095,0.42419
0.98,0.1,0.3885349
1,0.02,0.8724813
1,0.025,0.8430968
1,0.03,0.8058813
1,0.035,0.7776831
1,0.04,0.7503273
1,0.045,0.7302231
1,0.05,0.6921094
1,0.055,0.673073
1,0.06,0.6392934
1,0.065,0.6219574
1,0.07,0.611237
1,0.075,0.5971366
1,0.08,0.5698095
1,0.085,0.5549547
1,0.09,0.5432423
1,0.095,0.5464695
1,0.1,0.5313907
