Fitness,Migration Rate,2L2T - Invasion
0.6,0,0
0.6,0.005,0.00754
0.6,0.01,0.014195
0.6,0.015,0.0215
0.6,0.02,0.028065
0.6,0.025,0.03303
0.6,0.03,0.03725
0.6,0.035,0.039705
0.6,0.04,0.034865
0.6,0.045,0.011165
0.6,0.05,0.00168
0.6,0.055,0.00029
0.6,0.06,4.00E-05
0.6,0.065,3.00E-05
0.6,0.07,0
0.6,0.075,5.00E-06
0.6,0.08,1.00E-05
0.6,0.085,5.00E-06
0.6,0.09,0
0.6,0.095,5.00E-06
0.6,0.1,0
0.62,0,0
0.62,0.005,0.00794
0.62,0.01,0.015085
0.62,0.015,0.022295
0.62,0.02,0.028085
0.62,0.025,0.034765
0.62,0.03,0.040295
0.62,0.035,0.04311
0.62,0.04,0.045215
0.62,0.045,0.038395
0.62,0.05,0.01346
0.62,0.055,0.002255
0.62,0.06,0.00039
0.62,0.065,0.00012
0.62,0.07,6.00E-05
0.62,0.075,1.50E-05
0.62,0.08,1.50E-05
0.62,0.085,1.00E-05
0.62,0.09,1.50E-05
0.62,0.095,0
0.62,0.1,5.00E-06
0.64,0,0
0.64,0.005,0.00808
0.64,0.01,0.01594
0.64,0.015,0.023135
0.64,0.02,0.03046
0.64,0.025,0.036485
0.64,0.03,0.04183
0.64,0.035,0.04715
0.64,0.04,0.048195
0.64,0.045,0.05017
0.64,0.05,0.04143
0.64,0.055,0.01931
0.64,0.06,0.003465
0.64,0.065,0.001095
0.64,0.07,0.00026
0.64,0.075,0.00012
0.64,0.08,4.00E-05
0.64,0.085,1.50E-05
0.64,0.09,1.00E-05
0.64,0.095,1.00E-05
0.64,0.1,5.00E-06
0.66,0,0
0.66,0.005,0.0081
0.66,0.01,0.016745
0.66,0.015,0.02275
0.66,0.02,0.031545
0.66,0.025,0.03842
0.66,0.03,0.04452
0.66,0.035,0.050625
0.66,0.04,0.054505
0.66,0.045,0.058735
0.66,0.05,0.054135
0.66,0.055,0.042465
0.66,0.06,0.0259
0.66,0.065,0.00587
0.66,0.07,0.00179
0.66,0.075,0.000505
0.66,0.08,0.000155
0.66,0.085,5.00E-05
0.66,0.09,2.50E-05
0.66,0.095,0.000115
0.66,0.1,1.50E-05
0.68,0,0
0.68,0.005,0.0087
0.68,0.01,0.017775
0.68,0.015,0.024555
0.68,0.02,0.03232
0.68,0.025,0.03896
0.68,0.03,0.046365
0.68,0.035,0.0525
0.68,0.04,0.058155
0.68,0.045,0.06288
0.68,0.05,0.062345
0.68,0.055,0.06259
0.68,0.06,0.049545
0.68,0.065,0.031535
0.68,0.07,0.01174
0.68,0.075,0.002485
0.68,0.08,0.000635
0.68,0.085,0.000295
0.68,0.09,0.000155
0.68,0.095,9.50E-05
0.68,0.1,5.00E-05
0.7,0,0
0.7,0.005,0.00875
0.7,0.01,0.01724
0.7,0.015,0.02692
0.7,0.02,0.033515
0.7,0.025,0.0413
0.7,0.03,0.04834
0.7,0.035,0.054945
0.7,0.04,0.06097
0.7,0.045,0.06699
0.7,0.05,0.07207
0.7,0.055,0.07287
0.7,0.06,0.07072
0.7,0.065,0.061125
0.7,0.07,0.04535
0.7,0.075,0.016095
0.7,0.08,0.0057
0.7,0.085,0.001315
0.7,0.09,0.000615
0.7,0.095,0.000405
0.7,0.1,0.00015
0.72,0,0
0.72,0.005,0.00972
0.72,0.01,0.018245
0.72,0.015,0.027445
0.72,0.02,0.035055
0.72,0.025,0.04319
0.72,0.03,0.05025
0.72,0.035,0.05839
0.72,0.04,0.064865
0.72,0.045,0.072695
0.72,0.05,0.077435
0.72,0.055,0.081545
0.72,0.06,0.08354
0.72,0.065,0.080135
0.72,0.07,0.07133
0.72,0.075,0.04919
0.72,0.08,0.031815
0.72,0.085,0.007815
0.72,0.09,0.002985
0.72,0.095,0.001505
0.72,0.1,0.00091
0.74,0,0
0.74,0.005,0.009495
0.74,0.01,0.01861
0.74,0.015,0.028375
0.74,0.02,0.035805
0.74,0.025,0.04496
0.74,0.03,0.05404
0.74,0.035,0.060965
0.74,0.04,0.069175
0.74,0.045,0.07756
0.74,0.05,0.084095
0.74,0.055,0.08781
0.74,0.06,0.09363
0.74,0.065,0.097155
0.74,0.07,0.09715
0.74,0.075,0.08632
0.74,0.08,0.07085
0.74,0.085,0.057015
0.74,0.09,0.028065
0.74,0.095,0.00779
0.74,0.1,0.00439
0.76,0,0
0.76,0.005,0.010005
0.76,0.01,0.019265
0.76,0.015,0.029365
0.76,0.02,0.03876
0.76,0.025,0.04675
0.76,0.03,0.05586
0.76,0.035,0.06408
0.76,0.04,0.07249
0.76,0.045,0.083295
0.76,0.05,0.08897
0.76,0.055,0.095995
0.76,0.06,0.106515
0.76,0.065,0.11205
0.76,0.07,0.11733
0.76,0.075,0.1196
0.76,0.08,0.115295
0.76,0.085,0.106795
0.76,0.09,0.081825
0.76,0.095,0.05598
0.76,0.1,0.036425
0.78,0,0
0.78,0.005,0.00975
0.78,0.01,0.020705
0.78,0.015,0.029445
0.78,0.02,0.039855
0.78,0.025,0.048885
0.78,0.03,0.057955
0.78,0.035,0.06777
0.78,0.04,0.07709
0.78,0.045,0.0886
0.78,0.05,0.098315
0.78,0.055,0.107765
0.78,0.06,0.11658
0.78,0.065,0.12813
0.78,0.07,0.14019
0.78,0.075,0.148435
0.78,0.08,0.15583
0.78,0.085,0.160385
0.78,0.09,0.15593
0.78,0.095,0.153735
0.78,0.1,0.116875
0.8,0,0
0.8,0.005,0.01065
0.8,0.01,0.01972
0.8,0.015,0.03065
0.8,0.02,0.04211
0.8,0.025,0.05118
0.8,0.03,0.061375
0.8,0.035,0.07344
0.8,0.04,0.082445
0.8,0.045,0.09453
0.8,0.05,0.106855
0.8,0.055,0.11934
0.8,0.06,0.13506
0.8,0.065,0.15213
0.8,0.07,0.17098
0.8,0.075,0.18262
0.8,0.08,0.20432
0.8,0.085,0.231355
0.8,0.09,0.25246
0.8,0.095,0.27466
0.8,0.1,0.31207
0.82,0,0
0.82,0.005,0.01097
0.82,0.01,0.02191
0.82,0.015,0.03184
0.82,0.02,0.042
0.82,0.025,0.052815
0.82,0.03,0.065425
0.82,0.035,0.07371
0.82,0.04,0.090545
0.82,0.045,0.10258
0.82,0.05,0.11717
0.82,0.055,0.132375
0.82,0.06,0.15343
0.82,0.065,0.185075
0.82,0.07,0.215355
0.82,0.075,0.248685
0.82,0.08,0.293485
0.82,0.085,0.349365
0.82,0.09,0.430135
0.82,0.095,0.571895
0.82,0.1,0.612605
0.84,0,0
0.84,0.005,0.01118
0.84,0.01,0.02153
0.84,0.015,0.03306
0.84,0.02,0.04503
0.84,0.025,0.055085
0.84,0.03,0.06717
0.84,0.035,0.077675
0.84,0.04,0.09455
0.84,0.045,0.11151
0.84,0.05,0.1299
0.84,0.055,0.151575
0.84,0.06,0.18361
0.84,0.065,0.224805
0.84,0.07,0.28098
0.84,0.075,0.367435
0.84,0.08,0.482675
0.84,0.085,0.622755
0.84,0.09,0.69823
0.84,0.095,0.76062
0.84,0.1,0.794295
0.86,0,0
0.86,0.005,0.011565
0.86,0.01,0.02263
0.86,0.015,0.03459
0.86,0.02,0.046275
0.86,0.025,0.05811
0.86,0.03,0.06927
0.86,0.035,0.085795
0.86,0.04,0.10332
0.86,0.045,0.124
0.86,0.05,0.14028
0.86,0.055,0.179135
0.86,0.06,0.22388
0.86,0.065,0.288295
0.86,0.07,0.42338
0.86,0.075,0.552595
