Fitness,Migration Rate,Normal Allele - Invasion
0.78,0.065,0.05441213
0.78,0.07,0.05553422
0.78,0.075,0.05534847
0.78,0.08,0.05455832
0.78,0.085,0.05683802
0.78,0.09,0.06015431
0.78,0.095,0.05560162
0.78,0.1,0.05409791
0.8,0,0
0.8,0.005,0.0154309
0.8,0.01,0.02679199
0.8,0.015,0.03759728
0.8,0.02,0.04608258
0.8,0.025,0.0523242
0.8,0.03,0.05667086
0.8,0.035,0.06118625
0.8,0.04,0.06406701
0.8,0.045,0.06719043
0.8,0.05,0.06669047
0.8,0.055,0.06745668
0.8,0.06,0.06765915
0.8,0.065,0.06933397
0.8,0.07,0.06854874
0.8,0.075,0.06922222
0.8,0.08,0.0724558
0.8,0.085,0.07023223
0.8,0.09,0.07031354
0.8,0.095,0.07098213
0.8,0.1,0.06909706
0.82,0,0
0.82,0.005,0.01906268
0.82,0.01,0.03578217
0.82,0.015,0.04688495
0.82,0.02,0.05557078
0.82,0.025,0.06357936
0.82,0.03,0.06705133
0.82,0.035,0.0738099
0.82,0.04,0.07863289
0.82,0.045,0.08122767
0.82,0.05,0.0869039
0.82,0.055,0.08505117
0.82,0.06,0.08545829
0.82,0.065,0.08565716
0.82,0.07,0.0859849
0.82,0.075,0.09086075
0.82,0.08,0.08779068
0.82,0.085,0.08944458
0.82,0.09,0.08812803
0.82,0.095,0.0900949
0.82,0.1,0.09017558
0.84,0,0
0.84,0.005,0.02408428
0.84,0.01,0.04030426
0.84,0.015,0.05610631
0.84,0.02,0.06498699
0.84,0.025,0.0762692
0.84,0.03,0.08346346
0.84,0.035,0.09053787
0.84,0.04,0.09659011
0.84,0.045,0.09942699
0.84,0.05,0.09868807
0.84,0.055,0.10379451
0.84,0.06,0.11002917
0.84,0.065,0.10852899
0.84,0.07,0.10795942
0.84,0.075,0.1107903
0.84,0.08,0.1102867
0.84,0.085,0.1102196
0.84,0.09,0.10587479
0.84,0.095,0.1120147
0.84,0.1,0.10794292
0.86,0,0
0.86,0.005,0.02703986
0.86,0.01,0.04848381
0.86,0.015,0.06721985
0.86,0.02,0.08321171
0.86,0.025,0.09270068
0.86,0.03,0.1049323
0.86,0.035,0.10939539
0.86,0.04,0.1156598
0.86,0.045,0.1186829
0.86,0.05,0.1210147
0.86,0.055,0.1287705
0.86,0.06,0.1255587
0.86,0.065,0.1305361
0.86,0.07,0.1313665
0.86,0.075,0.1301722
0.86,0.08,0.1354766
0.86,0.085,0.1271265
0.86,0.09,0.1340094
0.86,0.095,0.1326287
0.86,0.1,0.1296621
0.88,0,0
0.88,0.005,0.03141829
0.88,0.01,0.05556125
0.88,0.015,0.07894763
0.88,0.02,0.0968899
0.88,0.025,0.10888606
0.88,0.03,0.1205791
0.88,0.035,0.1297876
0.88,0.04,0.1364508
0.88,0.045,0.1403889
0.88,0.05,0.1472605
0.88,0.055,0.1505037
0.88,0.06,0.1554794
0.88,0.065,0.1586534
0.88,0.07,0.1570284
0.88,0.075,0.1595754
0.88,0.08,0.1643497
0.88,0.085,0.1607998
0.88,0.09,0.161066
0.88,0.095,0.1639227
0.88,0.1,0.1601857
0.9,0,0
0.9,0.005,0.03718825
0.9,0.01,0.06741305
0.9,0.015,0.09445917
0.9,0.02,0.1145524
0.9,0.025,0.1272874
0.9,0.03,0.1437841
0.9,0.035,0.1498745
0.9,0.04,0.1672428
0.9,0.045,0.1716009
0.9,0.05,0.1731918
0.9,0.055,0.1815775
0.9,0.06,0.1827721
0.9,0.065,0.1872914
0.9,0.07,0.1864133
0.9,0.075,0.1854276
0.9,0.08,0.1894873
0.9,0.085,0.1902449
0.9,0.09,0.1899164
0.9,0.095,0.1884642
0.9,0.1,0.1868107
0.92,0,0
0.92,0.005,0.0445461
0.92,0.01,0.07652004
0.92,0.015,0.109669
0.92,0.02,0.127889
0.92,0.025,0.1496402
0.92,0.03,0.1717085
0.92,0.035,0.1777158
0.92,0.04,0.1921166
0.92,0.045,0.1987843
0.92,0.05,0.2005306
0.92,0.055,0.2104255
0.92,0.06,0.2143194
0.92,0.065,0.2177548
0.92,0.07,0.221748
0.92,0.075,0.2270434
0.92,0.08,0.2247077
0.92,0.085,0.2255698
0.92,0.09,0.2262721
0.92,0.095,0.2274623
0.92,0.1,0.2239349
0.94,0,0
0.94,0.005,0.04763008
0.94,0.01,0.09012579
0.94,0.015,0.1203296
0.94,0.02,0.1518854
0.94,0.025,0.1763412
0.94,0.03,0.1915041
0.94,0.035,0.2074347
0.94,0.04,0.2254357
0.94,0.045,0.2348426
0.94,0.05,0.2381128
0.94,0.055,0.2461886
0.94,0.06,0.252471
0.94,0.065,0.2548083
0.94,0.07,0.2565766
0.94,0.075,0.2557415
0.94,0.08,0.2659953
0.94,0.085,0.2601627
0.94,0.09,0.2617256
0.94,0.095,0.2701308
0.94,0.1,0.2651738
0.96,0,0
0.96,0.005,0.05691469
0.96,0.01,0.10207813
0.96,0.015,0.1410575
0.96,0.02,0.174396
0.96,0.025,0.2023719
0.96,0.03,0.2178543
0.96,0.035,0.2393023
0.96,0.04,0.2522083
0.96,0.045,0.268326
0.96,0.05,0.2718761
0.96,0.055,0.282215
0.96,0.06,0.2864255
0.96,0.065,0.2890894
0.96,0.07,0.2929961
0.96,0.075,0.2994975
0.96,0.08,0.3057408
0.96,0.085,0.3034714
0.96,0.09,0.3030741
0.96,0.095,0.3052296
0.96,0.1,0.305171
0.98,0,0
0.98,0.005,0.06300008
0.98,0.01,0.119831
0.98,0.015,0.1615339
0.98,0.02,0.2006232
0.98,0.025,0.2295292
0.98,0.03,0.2465951
0.98,0.035,0.2700345
0.98,0.04,0.2853501
0.98,0.045,0.299476
0.98,0.05,0.3148424
0.98,0.055,0.3153375
0.98,0.06,0.3280887
0.98,0.065,0.3358106
0.98,0.07,0.3364661
0.98,0.075,0.3421233
0.98,0.08,0.3478296
0.98,0.085,0.3439961
0.98,0.09,0.3466084
