Fitness,Migration Rate,RCT - Invasion
0.8,0.075,1.00E-05
0.8,0.08,2.50E-05
0.8,0.085,5.00E-06
0.8,0.09,5.00E-06
0.8,0.095,2.50E-05
0.8,0.1,1.50E-05
0.82,0,0
0.82,0.005,0.012335
0.82,0.01,0.02205
0.82,0.015,0.032475
0.82,0.02,0.03743
0.82,0.025,0.035225
0.82,0.03,0.016005
0.82,0.035,0.003445
0.82,0.04,0.000885
0.82,0.045,0.000355
0.82,0.05,1.00E-04
0.82,0.055,7.50E-05
0.82,0.06,5.50E-05
0.82,0.065,5.00E-05
0.82,0.07,4.00E-05
0.82,0.075,1.00E-05
0.82,0.08,2.50E-05
0.82,0.085,5.00E-06
0.82,0.09,3.50E-05
0.82,0.095,0
0.82,0.1,2.00E-05
0.84,0,0
0.84,0.005,0.01258
0.84,0.01,0.02452
0.84,0.015,0.035095
0.84,0.02,0.041325
0.84,0.025,0.043095
0.84,0.03,0.0289
0.84,0.035,0.01069
0.84,0.04,0.002265
0.84,0.045,0.000795
0.84,0.05,0.0003
0.84,0.055,0.0002
0.84,0.06,6.00E-05
0.84,0.065,7.50E-05
0.84,0.07,8.50E-05
0.84,0.075,7.00E-05
0.84,0.08,2.50E-05
0.84,0.085,2.50E-05
0.84,0.09,2.50E-05
0.84,0.095,2.00E-05
0.84,0.1,1.00E-05
0.86,0,0
0.86,0.005,0.01216
0.86,0.01,0.025305
0.86,0.015,0.035875
0.86,0.02,0.04474
0.86,0.025,0.047555
0.86,0.03,0.039885
0.86,0.035,0.02019
0.86,0.04,0.005635
0.86,0.045,0.00194
0.86,0.05,0.000695
0.86,0.055,0.000335
0.86,0.06,0.00013
0.86,0.065,8.00E-05
0.86,0.07,5.00E-05
0.86,0.075,2.50E-05
0.86,0.08,3.00E-05
0.86,0.085,2.00E-05
0.86,0.09,1.50E-05
0.86,0.095,2.00E-05
0.86,0.1,5.00E-06
0.88,0,0
0.88,0.005,0.01346
0.88,0.01,0.02518
0.88,0.015,0.037625
0.88,0.02,0.047795
