Fitness,Relative Center Density,Normal Allele - Persistance
0.78,5.25,0.05102643
0.78,5.5,0.0521639
0.78,5.75,0.04960654
0.78,6,0.05344652
0.8,1,0.014525196
0.8,1.25,0.01847588
0.8,1.5,0.02248555
0.8,1.75,0.026014
0.8,2,0.03049863
0.8,2.25,0.03486697
0.8,2.5,0.04126578
0.8,2.75,0.04535193
0.8,3,0.04793141
0.8,3.25,0.05229633
0.8,3.5,0.05562251
0.8,3.75,0.06236124
0.8,4,0.05750344
0.8,4.25,0.07042927
0.8,4.5,0.06488577
0.8,4.75,0.06954046
0.8,5,0.06781486
0.8,5.25,0.07069021
0.8,5.5,0.07186163
0.8,5.75,0.07379202
0.8,6,0.07586527
0.82,1,0.017105967
0.82,1.25,0.0221719
0.82,1.5,0.03217612
0.82,1.75,0.04061652
0.82,2,0.04669908
0.82,2.25,0.05051108
0.82,2.5,0.05811856
0.82,2.75,0.06141217
0.82,3,0.07082681
0.82,3.25,0.07513415
0.82,3.5,0.07657526
0.82,3.75,0.07974487
0.82,4,0.08493534
0.82,4.25,0.08711529
0.82,4.5,0.09502405
0.82,4.75,0.09500866
0.82,5,0.09649925
0.82,5.25,0.09711896
0.82,5.5,0.10548715
0.82,5.75,0.10560127
0.82,6,0.10566701
0.84,1,0.02286684
0.84,1.25,0.03723378
0.84,1.5,0.04460634
0.84,1.75,0.0536145
0.84,2,0.06620435
0.84,2.25,0.07195711
0.84,2.5,0.08597392
0.84,2.75,0.09304374
0.84,3,0.09974517
0.84,3.25,0.10173594
0.84,3.5,0.10616815
0.84,3.75,0.117929
0.84,4,0.1249839
0.84,4.25,0.13440608
0.84,4.5,0.1225125
0.84,4.75,0.1274223
0.84,5,0.1386397
0.84,5.25,0.1406549
0.84,5.5,0.1435561
0.84,5.75,0.1456233
0.84,6,0.1482592
0.86,1,0.03407837
0.86,1.25,0.04740786
0.86,1.5,0.0592574
0.86,1.75,0.07673052
0.86,2,0.08927096
0.86,2.25,0.09971404
0.86,2.5,0.1092516
0.86,2.75,0.116563
0.86,3,0.1308091
0.86,3.25,0.1407712
0.86,3.5,0.1519445
0.86,3.75,0.1584195
0.86,4,0.1552983
0.86,4.25,0.1667114
0.86,4.5,0.1719873
0.86,4.75,0.1821187
0.86,5,0.1826016
0.86,5.25,0.1821943
0.86,5.5,0.1968519
0.86,5.75,0.1908505
0.86,6,0.203914
0.88,1,0.04667179
0.88,1.25,0.05821256
0.88,1.5,0.08289677
0.88,1.75,0.10067108
0.88,2,0.1217685
0.88,2.25,0.1378592
0.88,2.5,0.1575969
0.88,2.75,0.1623052
0.88,3,0.1658749
0.88,3.25,0.1841798
0.88,3.5,0.1973398
0.88,3.75,0.214563
0.88,4,0.209103
0.88,4.25,0.2276541
0.88,4.5,0.225877
0.88,4.75,0.2349814
0.88,5,0.23957
0.88,5.25,0.2422863
0.88,5.5,0.2480424
0.88,5.75,0.2578952
0.88,6,0.2562202
0.9,1,0.06273901
0.9,1.25,0.09153027
0.9,1.5,0.111809
0.9,1.75,0.1468028
0.9,2,0.1611847
0.9,2.25,0.1744279
0.9,2.5,0.1857903
0.9,2.75,0.2088832
0.9,3,0.2300147
0.9,3.25,0.2411606
0.9,3.5,0.2472001
0.9,3.75,0.2636482
0.9,4,0.2771709
0.9,4.25,0.2795164
0.9,4.5,0.295688
0.9,4.75,0.302755
0.9,5,0.2999224
0.9,5.25,0.3081631
0.9,5.5,0.3225117
0.9,5.75,0.3172478
0.9,6,0.3354791
0.92,1,0.08419253
0.92,1.25,0.11676527
0.92,1.5,0.1463838
0.92,1.75,0.1743354
0.92,2,0.1990972
0.92,2.25,0.2250496
0.92,2.5,0.2423578
0.92,2.75,0.2616231
0.92,3,0.2832978
0.92,3.25,0.3002243
0.92,3.5,0.3173315
0.92,3.75,0.3257135
0.92,4,0.3501026
0.92,4.25,0.3529661
0.92,4.5,0.3641243
0.92,4.75,0.3728759
0.92,5,0.3732877
0.92,5.25,0.3868429
0.92,5.5,0.3945777
0.92,5.75,0.4073543
0.92,6,0.4180702
0.94,1,0.10552882
0.94,1.25,0.149778
0.94,1.5,0.1990354
0.94,1.75,0.2185699
0.94,2,0.2591427
0.94,2.25,0.2929522
0.94,2.5,0.3250813
0.94,2.75,0.3328939
0.94,3,0.3581016
0.94,3.25,0.3651136
0.94,3.5,0.3849995
0.94,3.75,0.4063165
0.94,4,0.413111
0.94,4.25,0.432082
0.94,4.5,0.4449573
0.94,4.75,0.451124
0.94,5,0.4587451
0.94,5.25,0.4634928
0.94,5.5,0.4733876
0.94,5.75,0.4798949
0.94,6,0.4878937
0.96,1,0.1521655
0.96,1.25,0.1887889
0.96,1.5,0.2244443
0.96,1.75,0.2763515
0.96,2,0.3285313
0.96,2.25,0.3484585
0.96,2.5,0.3771491
0.96,2.75,0.40933
0.96,3,0.4260563
0.96,3.25,0.4521615
0.96,3.5,0.4758483
0.96,3.75,0.4841231
0.96,4,0.4958841
0.96,4.25,0.5135804
0.96,4.5,0.5138589
0.96,4.75,0.5301238
0.96,5,0.5344463
0.96,5.25,0.5575578
0.96,5.5,0.5550463
0.96,5.75,0.5505669
0.96,6,0.5686779
0.98,1,0.1897579
0.98,1.25,0.2494664
0.98,1.5,0.3041272
0.98,1.75,0.3323787
0.98,2,0.3916779
0.98,2.25,0.4100924
0.98,2.5,0.4401565
0.98,2.75,0.4908486
0.98,3,0.4995284
0.98,3.25,0.5105408
0.98,3.5,0.5351403
0.98,3.75,0.5505096
0.98,4,0.5719254
0.98,4.25,0.5706153
0.98,4.5,0.5960393
0.98,4.75,0.6035944
0.98,5,0.6096978
0.98,5.25,0.6188271
0.98,5.5,0.6158894
0.98,5.75,0.6317421
0.98,6,0.642958
1,1,0.2225796
1,1.25,0.2822933
1,1.5,0.3508319
1,1.75,0.4058435
1,2,0.4501169
1,2.25,0.4907995
1,2.5,0.5109579
1,2.75,0.5460996
1,3,0.5632296
1,3.25,0.5894647
1,3.5,0.6080093
1,3.75,0.6311047
1,4,0.6324588
1,4.25,0.6465448
1,4.5,0.6566342
1,4.75,0.6667649
1,5,0.6789494
1,5.25,0.6882253
1,5.5,0.6963855
1,5.75,0.7019891
1,6,0.706108
