Fitness,Relative Center Density,Normal Allele - Invasion
0.78,5.25,0.03399305
0.78,5.5,0.03609254
0.78,5.75,0.03456386
0.78,6,0.03748859
0.8,1,0.006695814
0.8,1.25,0.009498342
0.8,1.5,0.01269751
0.8,1.75,0.01639788
0.8,2,0.01876118
0.8,2.25,0.02145048
0.8,2.5,0.02350745
0.8,2.75,0.02802054
0.8,3,0.0294448
0.8,3.25,0.03294461
0.8,3.5,0.03378922
0.8,3.75,0.03872839
0.8,4,0.03780542
0.8,4.25,0.04111866
0.8,4.5,0.04187274
0.8,4.75,0.04439625
0.8,5,0.04542425
0.8,5.25,0.04660381
0.8,5.5,0.04698414
0.8,5.75,0.05069177
0.8,6,0.05214557
0.82,1,0.01061142
0.82,1.25,0.01413961
0.82,1.5,0.01745813
0.82,1.75,0.02234629
0.82,2,0.026598
0.82,2.25,0.0293348
0.82,2.5,0.03289957
0.82,2.75,0.03698475
0.82,3,0.04132698
0.82,3.25,0.04595303
0.82,3.5,0.04680711
0.82,3.75,0.04952398
0.82,4,0.05476295
0.82,4.25,0.05667819
0.82,4.5,0.06046458
0.82,4.75,0.06139043
0.82,5,0.06436891
0.82,5.25,0.06633561
0.82,5.5,0.06813168
0.82,5.75,0.06900523
0.82,6,0.07218623
0.84,1,0.012983309
0.84,1.25,0.01977536
0.84,1.5,0.02430585
0.84,1.75,0.03002412
0.84,2,0.03774564
0.84,2.25,0.04036041
0.84,2.5,0.04864765
0.84,2.75,0.05407207
0.84,3,0.05865816
0.84,3.25,0.06342548
0.84,3.5,0.06631199
0.84,3.75,0.06949621
0.84,4,0.07603831
0.84,4.25,0.0832463
0.84,4.5,0.07641219
0.84,4.75,0.08321673
0.84,5,0.0909967
0.84,5.25,0.09405416
0.84,5.5,0.09573551
0.84,5.75,0.09773587
0.84,6,0.10044614
0.86,1,0.01714715
0.86,1.25,0.02646673
0.86,1.5,0.03315561
0.86,1.75,0.04283246
0.86,2,0.04857697
0.86,2.25,0.05598364
0.86,2.5,0.06543794
0.86,2.75,0.06639301
0.86,3,0.07897712
0.86,3.25,0.08463186
0.86,3.5,0.09095248
0.86,3.75,0.09584175
0.86,4,0.09792881
0.86,4.25,0.1108183
0.86,4.5,0.1100327
0.86,4.75,0.1175747
0.86,5,0.1195709
0.86,5.25,0.1202185
0.86,5.5,0.1291866
0.86,5.75,0.1296324
0.86,6,0.1373411
0.88,1,0.02407082
0.88,1.25,0.03640757
0.88,1.5,0.04829085
0.88,1.75,0.05859844
0.88,2,0.06989921
0.88,2.25,0.07725669
0.88,2.5,0.08920625
0.88,2.75,0.09515203
0.88,3,0.09892448
0.88,3.25,0.1127658
0.88,3.5,0.1228772
0.88,3.75,0.128022
0.88,4,0.1298556
0.88,4.25,0.1422013
0.88,4.5,0.148249
0.88,4.75,0.1523341
0.88,5,0.1573966
0.88,5.25,0.1637279
0.88,5.5,0.1649318
0.88,5.75,0.174698
0.88,6,0.1762594
0.9,1,0.03485674
0.9,1.25,0.05013229
0.9,1.5,0.0589148
0.9,1.75,0.07906663
0.9,2,0.09055318
0.9,2.25,0.10035982
0.9,2.5,0.10998547
0.9,2.75,0.1232169
0.9,3,0.1373072
0.9,3.25,0.147025
0.9,3.5,0.1561813
0.9,3.75,0.1640935
0.9,4,0.1741267
0.9,4.25,0.1853436
0.9,4.5,0.1913472
0.9,4.75,0.1991483
0.9,5,0.1970884
0.9,5.25,0.2079121
0.9,5.5,0.2169796
0.9,5.75,0.2149916
0.9,6,0.2289306
0.92,1,0.04675615
0.92,1.25,0.06428425
0.92,1.5,0.07871674
0.92,1.75,0.10077959
0.92,2,0.1157717
0.92,2.25,0.12975
0.92,2.5,0.1448335
0.92,2.75,0.1619857
0.92,3,0.1737029
0.92,3.25,0.1854283
0.92,3.5,0.2014347
0.92,3.75,0.2081379
0.92,4,0.2226111
0.92,4.25,0.2349215
0.92,4.5,0.2390656
0.92,4.75,0.250094
0.92,5,0.2544708
0.92,5.25,0.256594
0.92,5.5,0.2737496
0.92,5.75,0.2841257
0.92,6,0.2902644
0.94,1,0.06227927
0.94,1.25,0.08548538
0.94,1.5,0.11333298
0.94,1.75,0.1249289
0.94,2,0.147608
0.94,2.25,0.1707475
0.94,2.5,0.1964403
0.94,2.75,0.2030611
0.94,3,0.2220387
0.94,3.25,0.2261974
0.94,3.5,0.2463602
0.94,3.75,0.2649948
0.94,4,0.2698857
0.94,4.25,0.2849181
0.94,4.5,0.2977866
0.94,4.75,0.3100647
0.94,5,0.3167316
0.94,5.25,0.3194459
0.94,5.5,0.3282094
0.94,5.75,0.3396428
0.94,6,0.3499882
0.96,1,0.0811631
0.96,1.25,0.1117439
0.96,1.5,0.133966
0.96,1.75,0.1610377
0.96,2,0.1962384
0.96,2.25,0.210795
0.96,2.5,0.2359493
0.96,2.75,0.2608636
0.96,3,0.2741439
0.96,3.25,0.287319
0.96,3.5,0.3120449
0.96,3.75,0.3201039
0.96,4,0.3250893
0.96,4.25,0.3445721
0.96,4.5,0.3559484
0.96,4.75,0.3716093
0.96,5,0.3727229
0.96,5.25,0.389024
0.96,5.5,0.3940396
0.96,5.75,0.402755
0.96,6,0.4071543
0.98,1,0.1073412
0.98,1.25,0.1490534
0.98,1.5,0.1815411
