Fitness,Relative Center Density,2L2T - Invasion
0.6,1,0
0.6,1.25,0
0.6,1.5,0
0.6,1.75,0
0.6,2,0
0.6,2.25,0
0.6,2.5,0
0.6,2.75,0
0.6,3,7.17E-05
0.6,3.25,0.026395567
0.6,3.5,0.09059065
0.6,3.75,0.1095315
0.6,4,0.1197029
0.6,4.25,0.1323798
0.6,4.5,0.1420438
0.6,4.75,0.1474692
0.6,5,0.1554962
0.6,5.25,0.1649358
0.6,5.5,0.1714595
0.6,5.75,0.175375
0.6,6,0.1842677
0.62,1,0
0.62,1.25,0
0.62,1.5,0
0.62,1.75,0
0.62,2,0
0.62,2.25,0
0.62,2.5,0
0.62,2.75,0.000388555
0.62,3,0.039021612
0.62,3.25,0.08971307
0.62,3.5,0.1102511
0.62,3.75,0.1246528
0.62,4,0.1326066
0.62,4.25,0.1401653
0.62,4.5,0.1563498
0.62,4.75,0.1618782
0.62,5,0.1717685
0.62,5.25,0.177132
0.62,5.5,0.1836746
0.62,5.75,0.1938257
0.62,6,0.2009432
0.64,1,0
0.64,1.25,0
0.64,1.5,0
0.64,1.75,0
0.64,2,0
0.64,2.25,0
0.64,2.5,0.001045182
0.64,2.75,0.048329887
0.64,3,0.0959357
0.64,3.25,0.10990621
0.64,3.5,0.1263775
0.64,3.75,0.1384407
0.64,4,0.1475479
0.64,4.25,0.1558478
0.64,4.5,0.1663552
0.64,4.75,0.1758119
0.64,5,0.1843982
0.64,5.25,0.1931116
0.64,5.5,0.2001638
0.64,5.75,0.2073288
0.64,6,0.2170751
0.66,1,0
0.66,1.25,0
0.66,1.5,0
0.66,1.75,0
0.66,2,5.62E-06
0.66,2.25,0.001561421
0.66,2.5,0.04638807
0.66,2.75,0.09382636
0.66,3,0.1115055
0.66,3.25,0.1265133
0.66,3.5,0.1410126
0.66,3.75,0.1511808
0.66,4,0.1645674
0.66,4.25,0.1720929
0.66,4.5,0.1802363
0.66,4.75,0.1886586
0.66,5,0.1989746
0.66,5.25,0.2072368
0.66,5.5,0.2171579
0.66,5.75,0.2237327
0.66,6,0.2314062
0.68,1,0
0.68,1.25,0
0.68,1.5,0
0.68,1.75,0
0.68,2,0.00012953
0.68,2.25,0.037131925
0.68,2.5,0.08505888
0.68,2.75,0.1105217
0.68,3,0.1265692
0.68,3.25,0.1402129
0.68,3.5,0.1510213
0.68,3.75,0.1655932
0.68,4,0.1755817
0.68,4.25,0.1856653
0.68,4.5,0.1967323
0.68,4.75,0.2058353
0.68,5,0.2178744
0.68,5.25,0.2294756
0.68,5.5,0.2343233
0.68,5.75,0.2439218
0.68,6,0.2502028
0.7,1,0
0.7,1.25,0
0.7,1.5,0
0.7,1.75,4.52E-05
0.7,2,0.018491613
0.7,2.25,0.07316482
0.7,2.5,0.1073786
0.7,2.75,0.1235971
0.7,3,0.1458506
0.7,3.25,0.156741
0.7,3.5,0.1712606
0.7,3.75,0.1800853
0.7,4,0.1955806
0.7,4.25,0.2087868
0.7,4.5,0.2189944
0.7,4.75,0.2262105
0.7,5,0.2408038
0.7,5.25,0.2469989
0.7,5.5,0.2586513
0.7,5.75,0.2649834
0.7,6,0.2766216
0.72,1,0
0.72,1.25,5.74E-06
0.72,1.5,5.69E-06
0.72,1.75,0.000979657
0.72,2,0.06016666
0.72,2.25,0.09910122
0.72,2.5,0.1207345
0.72,2.75,0.1388429
0.72,3,0.1561568
0.72,3.25,0.1742655
0.72,3.5,0.1849024
0.72,3.75,0.2007022
0.72,4,0.2123089
0.72,4.25,0.2261707
0.72,4.5,0.2396602
0.72,4.75,0.2494317
0.72,5,0.2608081
0.72,5.25,0.2684906
0.72,5.5,0.2788417
0.72,5.75,0.2883297
0.72,6,0.3003215
0.74,1,0
0.74,1.25,0
0.74,1.5,0.000399859
0.74,1.75,0.02508903
0.74,2,0.08252339
0.74,2.25,0.1172758
0.74,2.5,0.1389759
0.74,2.75,0.1586047
0.74,3,0.1775738
0.74,3.25,0.1954191
0.74,3.5,0.2108389
0.74,3.75,0.2220297
0.74,4,0.2344393
0.74,4.25,0.2511784
0.74,4.5,0.2651386
0.74,4.75,0.2786676
0.74,5,0.2837371
0.74,5.25,0.2954834
0.74,5.5,0.3048532
0.74,5.75,0.3222953
0.74,6,0.328742
0.76,1,0
0.76,1.25,5.78E-06
0.76,1.5,0.002764616
0.76,1.75,0.05903023
0.76,2,0.10127137
0.76,2.25,0.1334027
0.76,2.5,0.1564028
0.76,2.75,0.1785633
0.76,3,0.1955617
0.76,3.25,0.2115
0.76,3.5,0.2331156
0.76,3.75,0.2462328
0.76,4,0.2651802
0.76,4.25,0.2762759
0.76,4.5,0.2922413
0.76,4.75,0.3026092
0.76,5,0.3194845
0.76,5.25,0.3289963
0.76,5.5,0.3408395
0.76,5.75,0.3572476
0.76,6,0.3608055
0.78,1,0
0.78,1.25,0.000103067
0.78,1.5,0.015108696
0.78,1.75,0.0828915
0.78,2,0.1227671
0.78,2.25,0.1552241
0.78,2.5,0.1762614
0.78,2.75,0.204187
0.78,3,0.2230075
0.78,3.25,0.2403923
0.78,3.5,0.2598298
0.78,3.75,0.2731438
0.78,4,0.2883249
0.78,4.25,0.3072141
0.78,4.5,0.3292022
0.78,4.75,0.3402414
0.78,5,0.358767
0.78,5.25,0.3695788
0.78,5.5,0.3842089
0.78,5.75,0.4049783
0.78,6,0.421562
0.8,1,5.76E-06
0.8,1.25,0.001744199
0.8,1.5,0.04402444
0.8,1.75,0.10487849
0.8,2,0.145583
0.8,2.25,0.1766105
0.8,2.5,0.2028861
0.8,2.75,0.2251511
0.8,3,0.2526656
0.8,3.25,0.2702533
0.8,3.5,0.2915014
0.8,3.75,0.3162063
0.8,4,0.3347796
0.8,4.25,0.3528486
0.8,4.5,0.3651089
0.8,4.75,0.3847577
0.8,5,0.3960558
0.8,5.25,0.422332
0.8,5.5,0.4386426
0.8,5.75,0.4674793
0.8,6,0.4867409
0.82,1,1.73E-05
0.82,1.25,0.006131827
0.82,1.5,0.07456126
0.82,1.75,0.1273543
0.82,2,0.1680515
0.82,2.25,0.2030527
0.82,2.5,0.2297033
0.82,2.75,0.2590353
0.82,3,0.2865963
0.82,3.25,0.3142346
0.82,3.5,0.3262809
0.82,3.75,0.3626416
0.82,4,0.3770346
0.82,4.25,0.3982409
0.82,4.5,0.4225047
0.82,4.75,0.4415437
0.82,5,0.4584284
0.82,5.25,0.4991854
0.82,5.5,0.5170377
0.82,5.75,0.5369998
0.82,6,0.5392988
0.84,1,0.000177892
0.84,1.25,0.017882982
0.84,1.5,0.09246108
0.84,1.75,0.1527097
0.84,2,0.1969631
0.84,2.25,0.2304829
0.84,2.5,0.2642842
0.84,2.75,0.2955907
0.84,3,0.3233015
0.84,3.25,0.3478304
0.84,3.5,0.3962349
0.84,3.75,0.4079243
0.84,4,0.4458148
0.84,4.25,0.4722416
0.84,4.5,0.4811544
0.84,4.75,0.518447
0.84,5,0.5389846
0.84,5.25,0.5679623
0.84,5.5,0.5849111
0.84,5.75,0.5896125
0.84,6,0.6098622
0.86,1,0.000983148
0.86,1.25,0.03464149
0.86,1.5,0.1214768
0.86,1.75,0.173867
0.86,2,0.2289772
0.86,2.25,0.2693038
0.86,2.5,0.3067905
0.86,2.75,0.3552586
0.86,3,0.3800581
0.86,3.25,0.4099668
0.86,3.5,0.4668002
0.86,3.75,0.4981867
0.86,4,0.5223106
0.86,4.25,0.5378731
0.86,4.5,0.5638312
0.86,4.75,0.5861716
0.86,5,0.6189721
0.86,5.25,0.6442049
0.86,5.5,0.6527753
0.86,5.75,0.6624221
0.86,6,0.6671431
0.88,1,0.003863578
0.88,1.25,0.06894274
0.88,1.5,0.1548812
0.88,1.75,0.2255675
0.88,2,0.26835
0.88,2.25,0.3218966
0.88,2.5,0.3555764
0.88,2.75,0.4040473
0.88,3,0.4522015
0.88,3.25,0.4789942
0.88,3.5,0.5207973
0.88,3.75,0.5573042
0.88,4,0.5959348
0.88,4.25,0.6129577
0.88,4.5,0.6257831
0.88,4.75,0.6585003
0.88,5,0.6643562
0.88,5.25,0.684106
0.88,5.5,0.7140519
0.88,5.75,0.7103244
0.88,6,0.7313936
0.9,1,0.008335206
0.9,1.25,0.10122173
0.9,1.5,0.1865918
0.9,1.75,0.2601088
0.9,2,0.3228649
0.9,2.25,0.3738519
0.9,2.5,0.4361605
0.9,2.75,0.4686867
0.9,3,0.5211694
0.9,3.25,0.5693344
0.9,3.5,0.6018168
0.9,3.75,0.6408707
0.9,4,0.6459102
0.9,4.25,0.68075
0.9,4.5,0.695791
0.9,4.75,0.7185027
0.9,5,0.735434
0.9,5.25,0.7359658
0.9,5.5,0.7659506
0.9,5.75,0.7644187
0.9,6,0.7811777
0.92,1,0.019710136
0.92,1.25,0.1320981
0.92,1.5,0.2335213
0.92,1.75,0.3109854
0.92,2,0.3730865
0.92,2.25,0.4344171
0.92,2.5,0.5098634
0.92,2.75,0.5653206
0.92,3,0.605357
0.92,3.25,0.6349328
0.92,3.5,0.6680369
0.92,3.75,0.7003584
0.92,4,0.7115744
0.92,4.25,0.72854
0.92,4.5,0.7414811
0.92,4.75,0.7607891
0.92,5,0.7726539
0.92,5.25,0.7919536
0.92,5.5,0.7956344
0.92,5.75,0.8112025
0.92,6,0.8180579
0.94,1,0.03878186
0.94,1.25,0.1743848
0.94,1.5,0.2852576
0.94,1.75,0.3762435
0.94,2,0.4525249
0.94,2.25,0.534243
0.94,2.5,0.59479
0.94,2.75,0.6388448
0.94,3,0.680376
0.94,3.25,0.7016
0.94,3.5,0.7226668
0.94,3.75,0.7340429
0.94,4,0.7600005
0.94,4.25,0.7812729
0.94,4.5,0.7972462
0.94,4.75,0.8090562
0.94,5,0.8173549
0.94,5.25,0.8329075
0.94,5.5,0.8385853
0.94,5.75,0.8534488
0.94,6,0.8473036
0.96,1,0.06944513
0.96,1.25,0.2284728
0.96,1.5,0.3512674
0.96,1.75,0.463115
0.96,2,0.5518304
0.96,2.25,0.6031587
0.96,2.5,0.6557034
0.96,2.75,0.7162443
0.96,3,0.7325071
0.96,3.25,0.7666102
0.96,3.5,0.7693738
0.96,3.75,0.797309
0.96,4,0.8107622
0.96,4.25,0.8286003
0.96,4.5,0.8491318
0.96,4.75,0.8479118
0.96,5,0.8542177
0.96,5.25,0.8590265
0.96,5.5,0.8800248
0.96,5.75,0.8742852
0.96,6,0.8817227
0.98,1,0.11653013
0.98,1.25,0.268964
0.98,1.5,0.4220005
0.98,1.75,0.5469886
0.98,2,0.6350515
0.98,2.25,0.6888975
0.98,2.5,0.7255419
0.98,2.75,0.7582463
0.98,3,0.7835494
0.98,3.25,0.819501
0.98,3.5,0.8319942
0.98,3.75,0.8377434
0.98,4,0.8533461
0.98,4.25,0.8631975
0.98,4.5,0.8693439
0.98,4.75,0.8795548
0.98,5,0.8893519
0.98,5.25,0.8987922
0.98,5.5,0.8996579
0.98,5.75,0.9048207
0.98,6,0.904942
1,1,0.1515819
1,1.25,0.3684762
1,1.5,0.5092527
1,1.75,0.6211127
1,2,0.6985163
1,2.25,0.7496408
1,2.5,0.7741795
1,2.75,0.8030586
1,3,0.8238176
1,3.25,0.8422203
1,3.5,0.8606613
1,3.75,0.8735265
1,4,0.8814066
1,4.25,0.8967717
1,4.5,0.897953
1,4.75,0.9083607
1,5,0.9025303
1,5.25,0.9142991
1,5.5,0.9155151
1,5.75,0.9233577
1,6,0.9222327
