Fitness,Migration Rate,RCT - Persistance
0.9,0.075,0
0.9,0.08,0
0.9,0.085,0
0.9,0.09,0
0.9,0.095,0
0.9,0.1,0
0.92,0.02,0.3745651
0.92,0.025,0.1931925
0.92,0.03,0.027759325
0.92,0.035,0.000824006
0.92,0.04,4.83E-05
0.92,0.045,0
0.92,0.05,0
0.92,0.055,0
0.92,0.06,0
0.92,0.065,0
0.92,0.07,0
0.92,0.075,0
0.92,0.08,0
0.92,0.085,0
0.92,0.09,0
0.92,0.095,0
0.92,0.1,0
0.94,0.02,0.4550287
0.94,0.025,0.2827708
0.94,0.03,0.07063304
0.94,0.035,0.004083805
0.94,0.04,0
0.94,0.045,0
0.94,0.05,0
0.94,0.055,0
0.94,0.06,0
0.94,0.065,0
0.94,0.07,0
0.94,0.075,0
0.94,0.08,0
0.94,0.085,0
0.94,0.09,0
0.94,0.095,0
0.94,0.1,0
0.96,0.02,0.5365953
0.96,0.025,0.3623914
0.96,0.03,0.13803579
0.96,0.035,0.009713429
0.96,0.04,0.000188232
0.96,0.045,0
0.96,0.05,0
0.96,0.055,0
0.96,0.06,0
0.96,0.065,0
0.96,0.07,0
0.96,0.075,0
0.96,0.08,0
0.96,0.085,0
0.96,0.09,0
0.96,0.095,0
0.96,0.1,0
0.98,0.02,0.5997632
0.98,0.025,0.4016282
0.98,0.03,0.2184107
0.98,0.035,0.047306023
0.98,0.04,0.000408093
0.98,0.045,7.00E-05
0.98,0.05,0
0.98,0.055,0
0.98,0.06,0
0.98,0.065,0
0.98,0.07,0
0.98,0.075,0
0.98,0.08,0
0.98,0.085,0
0.98,0.09,0
0.98,0.095,0
0.98,0.1,0
1,0.02,0.6697353
1,0.025,0.4897742
1,0.03,0.2912918
1,0.035,0.1042714
1,0.04,0.005737406
1,0.045,2.38E-05
1,0.05,0
1,0.055,0
1,0.06,0
1,0.065,0
1,0.07,0
1,0.075,0
1,0.08,0
1,0.085,0
1,0.09,0
1,0.095,0
1,0.1,0
