Fitness,Migration Rate,2L2T - Persistence
0.88,0.045,0.4336961
0.88,0.05,0.2431207
0.88,0.055,0.049255364
0.88,0.06,0.00096852
0.88,0.065,0
0.88,0.07,0
0.88,0.075,0
0.88,0.08,0
0.88,0.085,0
0.88,0.09,0
0.88,0.095,0
0.88,0.1,0
0.9,0.02,0.8772492
0.9,0.025,0.8308297
0.9,0.03,0.8023949
0.9,0.035,0.7373732
0.9,0.04,0.6635973
0.9,0.045,0.5846488
0.9,0.05,0.458776
0.9,0.055,0.15062397
0.9,0.06,0.010528774
0.9,0.065,2.36E-05
0.9,0.07,0
0.9,0.075,0
0.9,0.08,0
0.9,0.085,0
0.9,0.09,0
0.9,0.095,0
0.9,0.1,0
0.92,0.02,0.891928
0.92,0.025,0.8627295
0.92,0.03,0.8393189
0.92,0.035,0.7939305
0.92,0.04,0.7313923
0.92,0.045,0.6825401
0.92,0.05,0.569165
0.92,0.055,0.3249835
0.92,0.06,0.09625098
0.92,0.065,0.002464914
0.92,0.07,4.82E-05
0.92,0.075,0
0.92,0.08,0
0.92,0.085,0
0.92,0.09,0
0.92,0.095,0
0.92,0.1,0
0.94,0.02,0.9071678
0.94,0.025,0.8823768
0.94,0.03,0.8598524
0.94,0.035,0.8247838
0.94,0.04,0.7873954
0.94,0.045,0.7712599
0.94,0.05,0.674572
0.94,0.055,0.5570478
0.94,0.06,0.3219019
0.94,0.065,0.072372675
0.94,0.07,0.00117143
0.94,0.075,4.72E-05
0.94,0.08,0
0.94,0.085,0
0.94,0.09,0
0.94,0.095,0
0.94,0.1,0
0.96,0.02,0.9218778
0.96,0.025,0.9002471
0.96,0.03,0.8742174
0.96,0.035,0.8549981
0.96,0.04,0.8351287
0.96,0.045,0.794676
0.96,0.05,0.7352135
0.96,0.055,0.6689418
0.96,0.06,0.480399
0.96,0.065,0.30592811
0.96,0.07,0.023332777
0.96,0.075,0.000353647
0.96,0.08,2.36E-05
0.96,0.085,0
0.96,0.09,0
0.96,0.095,0
0.96,0.1,0
0.98,0.02,0.9225225
0.98,0.025,0.9075123
0.98,0.03,0.8998262
0.98,0.035,0.8760795
0.98,0.04,0.8518683
0.98,0.045,0.8270693
0.98,0.05,0.7992276
0.98,0.055,0.7531225
0.98,0.06,0.6780359
0.98,0.065,0.5890802
0.98,0.07,0.22004656
0.98,0.075,0.024037437
0.98,0.08,7.23E-05
0.98,0.085,0
0.98,0.09,0
0.98,0.095,0
0.98,0.1,0
1,0.02,0.9371651
1,0.025,0.9203048
1,0.03,0.9063412
1,0.035,0.8897924
1,0.04,0.8761494
1,0.045,0.8557505
1,0.05,0.834357
1,0.055,0.8071289
1,0.06,0.7479815
1,0.065,0.6964474
1,0.07,0.5401292
1,0.075,0.19180663
1,0.08,0.033520746
1,0.085,2.36E-05
1,0.09,0.000118428
1,0.095,0
1,0.1,0
