Fitness,Migration Rate,1L1T - Persistance
0.9,0.08,0
0.9,0.085,0
0.9,0.09,0
0.9,0.095,0
0.9,0.1,0
0.92,0.02,0.4487194
0.92,0.025,0.276697
0.92,0.03,0.10175318
0.92,0.035,0.000329325
0.92,0.04,0
0.92,0.045,0
0.92,0.05,0
0.92,0.055,0
0.92,0.06,0
0.92,0.065,0
0.92,0.07,0
0.92,0.075,0
0.92,0.08,0
0.92,0.085,0
0.92,0.09,0
0.92,0.095,0
0.92,0.1,0
0.94,0.02,0.5104028
0.94,0.025,0.3409232
0.94,0.03,0.1597515
0.94,0.035,0.018267421
0.94,0.04,0
0.94,0.045,0
0.94,0.05,0
0.94,0.055,0
0.94,0.06,0
0.94,0.065,0
0.94,0.07,0
0.94,0.075,0
0.94,0.08,0
0.94,0.085,0
0.94,0.09,0
0.94,0.095,0
0.94,0.1,0
0.96,0.02,0.5633049
0.96,0.025,0.4096585
0.96,0.03,0.2383599
0.96,0.035,0.03006942
0.96,0.04,0.000047081
0.96,0.045,0
0.96,0.05,0
0.96,0.055,0
0.96,0.06,0
0.96,0.065,0
0.96,0.07,0
0.96,0.075,0
0.96,0.08,0
0.96,0.085,0
0.96,0.09,0
0.96,0.095,0
0.96,0.1,0
0.98,0.02,0.6613801
0.98,0.025,0.4960321
0.98,0.03,0.3187031
0.98,0.035,0.10745593
0.98,0.04,0.00151999
0.98,0.045,0
0.98,0.05,0
0.98,0.055,0
0.98,0.06,0
0.98,0.065,0
0.98,0.07,0
0.98,0.075,0
0.98,0.08,0
0.98,0.085,0
0.98,0.09,0
0.98,0.095,0
0.98,0.1,0
1,0.02,0.7065929
1,0.025,0.5792991
1,0.03,0.447601
1,0.035,0.2096811
1,0.04,0.008464461
1,0.045,0
1,0.05,0
1,0.055,0
1,0.06,0
1,0.065,0
1,0.07,0
1,0.075,0
1,0.08,0
1,0.085,0
1,0.09,0
1,0.095,0
1,0.1,0
