Fitness,Corridor Width,2L2T - Invasion
0.6,0.01,3.66E-05
0.62,0.01,2.69E-05
0.64,0.01,8.19E-05
0.66,0.01,8.17E-05
0.68,0.01,0.000117951
0.7,0.01,0.000137122
0.72,0.01,0.000126739
0.74,0.01,0.000226789
0.76,0.01,0.000271166
0.78,0.01,0.000423492
0.8,0.01,0.000515196
0.82,0.01,0.000430166
0.84,0.01,0.001042831
0.86,0.01,0.000367826
0.88,0.01,0.000963187
0.9,0.01,0.000768686
0.92,0.01,0.001025331
0.94,0.01,0.001170073
0.96,0.01,0.001641504
0.98,0.01,0.001788368
1,0.01,0.002137861
0.6,0.02,3.60E-05
0.62,0.02,3.60E-05
0.64,0.02,0.000125861
0.66,0.02,8.02E-05
0.68,0.02,3.61E-05
0.7,0.02,5.40E-05
0.72,0.02,0.000282449
0.74,0.02,0.000215983
0.76,0.02,0.000653188
0.78,0.02,0.001006293
0.8,0.02,0.001073774
0.82,0.02,0.001186157
0.84,0.02,0.001858876
0.86,0.02,0.001525497
0.88,0.02,0.002445223
0.9,0.02,0.002921433
0.92,0.02,0.003901691
0.94,0.02,0.003745132
0.96,0.02,0.003268005
0.98,0.02,0.004876912
1,0.02,0.0056855
0.6,0.03,1.80E-05
0.62,0.03,6.25E-05
0.64,0.03,5.35E-05
0.66,0.03,6.23E-05
0.68,0.03,7.13E-05
0.7,0.03,0.000160684
0.72,0.03,0.000221764
0.74,0.03,0.000428829
0.76,0.03,0.001235959
0.78,0.03,0.001687611
0.8,0.03,0.000925028
0.82,0.03,0.003074103
0.84,0.03,0.003281749
0.86,0.03,0.004114923
0.88,0.03,0.004598079
0.9,0.03,0.005735015
0.92,0.03,0.008129726
0.94,0.03,0.006821187
0.96,0.03,0.00974129
0.98,0.03,0.008536468
1,0.03,0.009984012
0.6,0.04,3.53E-05
0.62,0.04,9.78E-05
0.64,0.04,7.07E-05
0.66,0.04,4.45E-05
0.68,0.04,9.74E-05
0.7,0.04,0.000311996
0.72,0.04,0.000310616
0.74,0.04,0.000713042
0.76,0.04,0.001227653
0.78,0.04,0.00110845
0.8,0.04,0.002903602
0.82,0.04,0.004190085
0.84,0.04,0.004647809
0.86,0.04,0.006783852
0.88,0.04,0.008683592
0.9,0.04,0.010227035
0.92,0.04,0.010586191
0.94,0.04,0.011889757
0.96,0.04,0.012500481
0.98,0.04,0.01588525
1,0.04,0.0148454
0.6,0.05,2.65E-05
0.62,0.05,3.51E-05
0.64,0.05,7.96E-05
0.66,0.05,7.05E-05
0.68,0.05,0.000150252
0.7,0.05,0.000211486
0.72,0.05,0.000465156
0.74,0.05,0.000511949
0.76,0.05,0.001661597
0.78,0.05,0.001681884
0.8,0.05,0.00374767
0.82,0.05,0.006518894
0.84,0.05,0.007774931
0.86,0.05,0.01066239
0.88,0.05,0.011080498
0.9,0.05,0.01472599
0.92,0.05,0.016134768
0.94,0.05,0.01759554
0.96,0.05,0.01977358
0.98,0.05,0.02157855
1,0.05,0.02264548
0.6,0.06,4.33E-05
0.62,0.06,5.26E-05
0.64,0.06,4.36E-05
0.66,0.06,8.77E-05
0.68,0.06,8.72E-05
0.7,0.06,0.000130379
0.72,0.06,0.000244896
0.74,0.06,0.000304517
0.76,0.06,0.001077734
0.78,0.06,0.002046893
0.8,0.06,0.005295824
0.82,0.06,0.008638392
0.84,0.06,0.012302902
0.86,0.06,0.01608668
0.88,0.06,0.01780737
0.9,0.06,0.01964239
0.92,0.06,0.02261144
0.94,0.06,0.0234169
0.96,0.06,0.02665224
0.98,0.06,0.03052018
1,0.06,0.03064754
0.6,0.07,1.73E-05
0.62,0.07,3.45E-05
0.64,0.07,0.000112768
0.66,0.07,6.06E-05
0.68,0.07,0.000182395
0.7,0.07,0.000207399
0.72,0.07,0.000120977
0.74,0.07,0.000441234
0.76,0.07,0.001661655
0.78,0.07,0.002757226
0.8,0.07,0.005037786
0.82,0.07,0.010599475
0.84,0.07,0.01503004
0.86,0.07,0.01667823
0.88,0.07,0.02132907
0.9,0.07,0.02492113
0.92,0.07,0.03040411
0.94,0.07,0.03026281
0.96,0.07,0.03530778
0.98,0.07,0.03928225
