Migration Rate,Corridor Width,1L1T - Persistance
0.065,0.19,0.9898033
0.07,0.02,0.9922095
0.07,0.01,0.9948145
0.07,0.04,0.9878618
0.07,0.03,0.991706
0.07,0.06,0.9863721
0.07,0.05,0.9884094
0.07,0.08,0.9838521
0.07,0.07,0.9886892
0.07,0.1,0.9854431
0.07,0.09,0.9857819
0.07,0.12,0.9868128
0.07,0.11,0.9852837
0.07,0.14,0.9863445
0.07,0.13,0.984288
0.07,0.16,0.9865146
0.07,0.15,0.9868357
0.07,0.18,0.989272
0.07,0.17,0.985664
0.07,0.2,0.9888537
0.07,0.19,0.9869643
0.075,0.02,0.9928911
0.075,0.01,0.9944776
0.075,0.04,0.9891276
0.075,0.03,0.9913744
0.075,0.06,0.9843766
0.075,0.05,0.9871415
0.075,0.08,0.9841169
0.075,0.07,0.9845059
0.075,0.1,0.9799784
0.075,0.09,0.9831124
0.075,0.12,0.9842974
0.075,0.11,0.9831461
0.075,0.14,0.9849954
0.075,0.13,0.981218
0.075,0.16,0.9879264
0.075,0.15,0.9834887
0.075,0.18,0.9860413
0.075,0.17,0.9861578
0.075,0.2,0.9865725
0.075,0.19,0.9815978
0.08,0.02,0.9877732
0.08,0.01,0.9923733
0.08,0.04,0.9878376
0.08,0.03,0.9887852
0.08,0.06,0.9830032
0.08,0.05,0.983703
0.08,0.08,0.9814273
0.08,0.07,0.9842073
0.08,0.1,0.98225
0.08,0.09,0.9797119
0.08,0.12,0.9810367
0.08,0.11,0.9797097
0.08,0.14,0.9826339
0.08,0.13,0.9823677
0.08,0.16,0.9847368
0.08,0.15,0.9835596
0.08,0.18,0.9844718
0.08,0.17,0.9849108
0.08,0.2,0.9862058
0.08,0.19,0.9845927
0.085,0.02,0.9891714
0.085,0.01,0.9913385
0.085,0.04,0.9818096
0.085,0.03,0.9874197
0.085,0.06,0.9811657
0.085,0.05,0.9811016
0.085,0.08,0.9766823
0.085,0.07,0.9811248
0.085,0.1,0.9756051
0.085,0.09,0.9780022
0.085,0.12,0.9773211
0.085,0.11,0.9758224
0.085,0.14,0.9785552
0.085,0.13,0.9797937
0.085,0.16,0.9807494
0.085,0.15,0.9817268
0.085,0.18,0.9800876
0.085,0.17,0.9817996
0.085,0.2,0.9824138
0.085,0.19,0.9857462
0.09,0.02,0.9840252
0.09,0.01,0.9892549
0.09,0.04,0.9802335
0.09,0.03,0.9828789
0.09,0.06,0.9791198
0.09,0.05,0.97999
0.09,0.08,0.9763225
0.09,0.07,0.9795971
0.09,0.1,0.9742115
0.09,0.09,0.9757398
0.09,0.12,0.9744962
0.09,0.11,0.97286
0.09,0.14,0.9764075
0.09,0.13,0.9738078
0.09,0.16,0.9822098
0.09,0.15,0.9765349
0.09,0.18,0.9805253
0.09,0.17,0.9804453
0.09,0.2,0.9823282
0.09,0.19,0.9822724
0.095,0.02,0.9835531
0.095,0.01,0.988417
0.095,0.04,0.9832219
0.095,0.03,0.980663
0.095,0.06,0.9735024
0.095,0.05,0.9774283
0.095,0.08,0.9729395
0.095,0.07,0.969775
0.095,0.1,0.9719596
0.095,0.09,0.9743015
0.095,0.12,0.9730551
0.095,0.11,0.9729513
0.095,0.14,0.9726606
0.095,0.13,0.9738295
0.095,0.16,0.9775144
0.095,0.15,0.9747364
0.095,0.18,0.9798036
0.095,0.17,0.9764312
0.095,0.2,0.9809205
0.095,0.19,0.9834387
0.1,0.02,0.9837157
0.1,0.01,0.984651
0.1,0.04,0.9780687
0.1,0.03,0.9771683
0.1,0.06,0.9721483
0.1,0.05,0.9721735
