Migration Rate,Corridor Width,1L1T - Persistance
0.07,0.02,0.9987964
0.07,0.01,0.9992243
0.07,0.04,0.9963364
0.07,0.03,0.9979381
0.07,0.06,0.9938992
0.07,0.05,0.9951415
0.07,0.08,0.9915102
0.07,0.07,0.9938027
0.07,0.1,0.9893928
0.07,0.09,0.9897555
0.07,0.12,0.9851887
0.07,0.11,0.9894401
0.07,0.14,0.9838829
0.07,0.13,0.9861282
0.07,0.16,0.9805588
0.07,0.15,0.9809598
0.07,0.18,0.9801067
0.07,0.17,0.9792162
0.07,0.2,0.979875
0.07,0.19,0.9734507
0.075,0.02,0.9986702
0.075,0.01,0.9993704
0.075,0.04,0.9967607
0.075,0.03,0.9976233
0.075,0.06,0.9937475
0.075,0.05,0.9961498
0.075,0.08,0.9914713
0.075,0.07,0.9920704
0.075,0.1,0.9892516
0.075,0.09,0.9897539
0.075,0.12,0.9864639
0.075,0.11,0.9877753
0.075,0.14,0.982845
0.075,0.13,0.9869689
0.075,0.16,0.9808934
0.075,0.15,0.9811032
0.075,0.18,0.978393
0.075,0.17,0.9812011
0.075,0.2,0.9734022
0.075,0.19,0.9760355
0.08,0.02,0.998427
0.08,0.01,0.9993076
0.08,0.04,0.9959295
0.08,0.03,0.9975029
0.08,0.06,0.9935872
0.08,0.05,0.9950396
0.08,0.08,0.9924927
0.08,0.07,0.9927888
0.08,0.1,0.9873027
0.08,0.09,0.989151
0.08,0.12,0.9852619
0.08,0.11,0.9883179
0.08,0.14,0.9825517
0.08,0.13,0.9841014
0.08,0.16,0.9810847
0.08,0.15,0.9827913
0.08,0.18,0.9765998
0.08,0.17,0.9789464
0.08,0.2,0.9749189
0.08,0.19,0.9783002
0.085,0.02,0.9986688
0.085,0.01,0.9991981
0.085,0.04,0.9963939
0.085,0.03,0.9970379
0.085,0.06,0.9927782
0.085,0.05,0.9943147
0.085,0.08,0.990275
0.085,0.07,0.9924077
0.085,0.1,0.9879511
0.085,0.09,0.9896818
0.085,0.12,0.9854062
0.085,0.11,0.9848645
0.085,0.14,0.9798581
0.085,0.13,0.9835333
0.085,0.16,0.979271
0.085,0.15,0.9793685
0.085,0.18,0.9756138
0.085,0.17,0.9783838
0.085,0.2,0.9724891
0.085,0.19,0.97347
0.09,0.02,0.9981968
0.09,0.01,0.9990822
0.09,0.04,0.996251
0.09,0.03,0.996797
0.09,0.06,0.9923164
0.09,0.05,0.9953503
0.09,0.08,0.9907356
0.09,0.07,0.9907226
0.09,0.1,0.9856754
0.09,0.09,0.9881913
0.09,0.12,0.9836649
0.09,0.11,0.9835323
0.09,0.14,0.982233
0.09,0.13,0.9819438
0.09,0.16,0.9772873
0.09,0.15,0.979616
0.09,0.18,0.971896
0.09,0.17,0.9752402
0.09,0.2,0.9690993
0.09,0.19,0.9732733
0.095,0.02,0.9984909
0.095,0.01,0.998914
0.095,0.04,0.9950253
0.095,0.03,0.9968815
0.095,0.06,0.9926253
0.095,0.05,0.9943881
0.095,0.08,0.9895228
0.095,0.07,0.9914476
0.095,0.1,0.9871366
0.095,0.09,0.9883617
0.095,0.12,0.981701
0.095,0.11,0.9847339
0.095,0.14,0.9806726
0.095,0.13,0.9809585
0.095,0.16,0.975351
0.095,0.15,0.9764304
0.095,0.18,0.9706113
0.095,0.17,0.97389
0.095,0.2,0.9662226
0.095,0.19,0.969849
0.1,0.02,0.9976467
0.1,0.01,0.9985465
0.1,0.04,0.9949753
0.1,0.03,0.9969845
0.1,0.06,0.9918459
0.1,0.05,0.993421
0.1,0.08,0.9895344
0.1,0.07,0.990878
0.1,0.1,0.9847132
0.1,0.09,0.9873012
0.1,0.12,0.981934
0.1,0.11,0.9841269
0.1,0.14,0.9772265
0.1,0.13,0.9807933
0.1,0.16,0.9768469
0.1,0.15,0.9785464
0.1,0.18,0.9735267
0.1,0.17,0.9758749
0.1,0.2,0.9694427
0.1,0.19,0.9677325
0.02,0,1
0.025,0,1
0.03,0,1
0.035,0,1
0.04,0,1
0.045,0,1
0.05,0,1
0.055,0,1
0.06,0,1
0.065,0,1
0.07,0,1
0.075,0,1
0.08,0,1
0.085,0,1
0.09,0,1
0.095,0,1
0.1,0,1
