Migration Rate,Corridor Width,1L1T - Persistance
0.085,0.09,0.9894774
0.085,0.1,0.9885532
0.085,0.11,0.987903
0.085,0.12,0.9870468
0.085,0.13,0.9856716
0.085,0.14,0.9822506
0.085,0.15,0.9830182
0.085,0.16,0.9806838
0.085,0.17,0.9812645
0.085,0.18,0.9822903
0.085,0.19,0.9775042
0.085,0.2,0.9747193
0.09,0.01,0.9990845
0.09,0.02,0.9988467
0.09,0.03,0.9976117
0.09,0.04,0.9969568
0.09,0.05,0.9953887
0.09,0.06,0.9932469
0.09,0.07,0.9921777
0.09,0.08,0.9917042
0.09,0.09,0.9894468
0.09,0.1,0.9884093
0.09,0.11,0.9877595
0.09,0.12,0.9851689
0.09,0.13,0.9822285
0.09,0.14,0.9809218
0.09,0.15,0.9798482
0.09,0.16,0.9787416
0.09,0.17,0.980463
0.09,0.18,0.976046
0.09,0.19,0.9779798
0.09,0.2,0.9702456
0.095,0.01,0.9988481
0.095,0.02,0.9983762
0.095,0.03,0.9974207
0.095,0.04,0.9966143
0.095,0.05,0.9953325
0.095,0.06,0.992784
0.095,0.07,0.9914259
0.095,0.08,0.9908311
0.095,0.09,0.9893504
0.095,0.1,0.9875069
0.095,0.11,0.9854139
0.095,0.12,0.9853114
0.095,0.13,0.9839525
0.095,0.14,0.9820718
0.095,0.15,0.9786037
0.095,0.16,0.9761627
0.095,0.17,0.9778538
0.095,0.18,0.9777428
0.095,0.19,0.9771772
0.095,0.2,0.9727854
0.1,0.01,0.9987421
0.1,0.02,0.9980327
0.1,0.03,0.9964788
0.1,0.04,0.9965073
0.1,0.05,0.9944582
0.1,0.06,0.9930271
0.1,0.07,0.9919619
0.1,0.08,0.9891678
0.1,0.09,0.9899567
0.1,0.1,0.9883562
0.1,0.11,0.9847331
0.1,0.12,0.9844159
0.1,0.13,0.9824862
0.1,0.14,0.9812721
0.1,0.15,0.9784828
0.1,0.16,0.9766502
0.1,0.17,0.9761733
0.1,0.18,0.9744104
0.1,0.19,0.972299
0.1,0.2,0.9704502
0.02,0,1
0.025,0,1
0.03,0,1
0.035,0,1
0.04,0,1
0.045,0,1
0.05,0,1
0.055,0,1
0.06,0,1
0.065,0,1
0.07,0,1
0.075,0,1
0.08,0,1
0.085,0,1
0.09,0,1
0.095,0,1
0.1,0,1
