Migration Rate,Corridor Width,1L1T - Persistance
0.02,0.01,0.9990807
0.02,0.02,0.9991641
0.02,0.03,0.9988454
0.02,0.04,0.998144
0.02,0.05,0.9972429
0.02,0.06,0.9970796
0.02,0.07,0.9959725
0.02,0.08,0.9955372
0.02,0.09,0.9948973
0.02,0.1,0.9925857
0.02,0.11,0.9946782
0.02,0.12,0.9960619
0.02,0.13,0.9957359
0.02,0.14,0.994821
0.02,0.15,0.9938417
0.02,0.16,0.989901
0.02,0.17,0.9908261
0.02,0.18,0.9936605
0.02,0.19,0.9908519
0.02,0.2,0.9930999
0.025,0.01,0.9994255
0.025,0.02,0.997688
0.025,0.03,0.9977558
0.025,0.04,0.9964334
0.025,0.05,0.9986159
0.025,0.06,0.9967409
0.025,0.07,0.9975033
0.025,0.08,0.9951357
0.025,0.09,0.9955126
0.025,0.1,0.9938267
0.025,0.11,0.9929954
0.025,0.12,0.9931177
0.025,0.13,0.9947731
0.025,0.14,0.9921538
0.025,0.15,0.991022
0.025,0.16,0.9961849
0.025,0.17,0.9895208
0.025,0.18,0.9922767
0.025,0.19,0.9942094
0.025,0.2,0.9859038
0.03,0.01,0.9992124
0.03,0.02,0.9981891
0.03,0.03,0.9984813
0.03,0.04,0.997754
0.03,0.05,0.9974478
0.03,0.06,0.9964461
0.03,0.07,0.9956853
0.03,0.08,0.9958253
0.03,0.09,0.9950078
0.03,0.1,0.9941084
0.03,0.11,0.9925469
0.03,0.12,0.9902716
0.03,0.13,0.9919366
0.03,0.14,0.9906782
0.03,0.15,0.9926757
0.03,0.16,0.9937099
0.03,0.17,0.990683
0.03,0.18,0.9894053
0.03,0.19,0.9904399
0.03,0.2,0.9911774
0.035,0.01,0.9995265
0.035,0.02,0.9995566
0.035,0.03,0.9979915
0.035,0.04,0.9975978
0.035,0.05,0.993917
0.035,0.06,0.9947935
0.035,0.07,0.9969516
0.035,0.08,0.9964158
0.035,0.09,0.9942156
0.035,0.1,0.9924094
0.035,0.11,0.9903499
0.035,0.12,0.9937951
0.035,0.13,0.9913664
0.035,0.14,0.9940415
0.035,0.15,0.9901221
0.035,0.16,0.989732
0.035,0.17,0.9906529
0.035,0.18,0.9916505
0.035,0.19,0.9878181
0.035,0.2,0.9845047
0.04,0.01,0.9989587
0.04,0.02,0.9987822
0.04,0.03,0.9977409
0.04,0.04,0.997073
0.04,0.05,0.9969018
0.04,0.06,0.9935446
0.04,0.07,0.9931317
0.04,0.08,0.992785
0.04,0.09,0.9926296
0.04,0.1,0.9929816
0.04,0.11,0.9947146
0.04,0.12,0.9894006
0.04,0.13,0.9914802
0.04,0.14,0.9898864
0.04,0.15,0.9917809
0.04,0.16,0.9885718
0.04,0.17,0.9911503
0.04,0.18,0.9840711
0.04,0.19,0.9804371
0.04,0.2,0.9846125
0.045,0.01,0.9995666
0.045,0.02,0.9990091
0.045,0.03,0.9978381
0.045,0.04,0.9966983
0.045,0.05,0.9962127
0.045,0.06,0.9975156
0.045,0.07,0.9949926
0.045,0.08,0.9925278
0.045,0.09,0.9918178
0.045,0.1,0.9911766
0.045,0.11,0.9923027
0.045,0.12,0.9872907
0.045,0.13,0.9908419
0.045,0.14,0.9868716
0.045,0.15,0.9891124
0.045,0.16,0.9883691
0.045,0.17,0.9886624
0.045,0.18,0.9876099
0.045,0.19,0.9800754
0.045,0.2,0.9839279
0.05,0.01,0.999625
0.05,0.02,0.9984849
0.05,0.03,0.9973361
0.05,0.04,0.9990212
0.05,0.05,0.9977416
0.05,0.06,0.9927169
0.05,0.07,0.9934113
0.05,0.08,0.9942285
0.05,0.09,0.9910416
0.05,0.1,0.9930518
0.05,0.11,0.9910652
0.05,0.12,0.9857836
0.05,0.13,0.986058
0.05,0.14,0.9883609
0.05,0.15,0.9879623
0.05,0.16,0.9877439
0.05,0.17,0.9847285
0.05,0.18,0.9856792
0.05,0.19,0.9840571
0.05,0.2,0.9805541
0.055,0.01,0.9994258
0.055,0.02,0.999232
0.055,0.03,0.9980718
0.055,0.04,0.9978503
0.055,0.05,0.9953989
0.055,0.06,0.9957157
0.055,0.07,0.9939897
0.055,0.08,0.9930619
0.055,0.09,0.9932959
0.055,0.1,0.9924105
0.055,0.11,0.9888377
0.055,0.12,0.9890663
0.055,0.13,0.9902865
0.055,0.14,0.9868489
0.055,0.15,0.9842026
0.055,0.16,0.9882405
0.055,0.17,0.986579
0.055,0.18,0.9824394
0.055,0.19,0.9849817
0.055,0.2,0.9824281
0.06,0.01,0.9994041
0.06,0.02,0.9989925
0.06,0.03,0.9979715
0.06,0.04,0.9970325
0.06,0.05,0.9957161
0.06,0.06,0.9954084
0.06,0.07,0.9930986
0.06,0.08,0.9931903
0.06,0.09,0.9899624
0.06,0.1,0.9896354
0.06,0.11,0.9863091
0.06,0.12,0.9908857
0.06,0.13,0.9892359
0.06,0.14,0.9875881
0.06,0.15,0.9829608
0.06,0.16,0.9816283
0.06,0.17,0.9846822
0.06,0.18,0.9860748
0.06,0.19,0.9866888
0.06,0.2,0.9808638
0.065,0.01,0.9997168
0.065,0.02,0.9990377
0.065,0.03,0.9982903
0.065,0.04,0.997218
0.065,0.05,0.9958361
0.065,0.06,0.9945933
0.065,0.07,0.99371
0.065,0.08,0.9944293
0.065,0.09,0.9917096
0.065,0.1,0.9899553
0.065,0.11,0.9888399
0.065,0.12,0.9880435
0.065,0.13,0.9830459
0.065,0.14,0.9850735
0.065,0.15,0.9844146
0.065,0.16,0.9865719
0.065,0.17,0.9860523
0.065,0.18,0.9783888
0.065,0.19,0.9846736
0.065,0.2,0.9822331
0.07,0.01,0.9996357
0.07,0.02,0.9987153
0.07,0.03,0.9977608
0.07,0.04,0.9975189
0.07,0.05,0.9959318
0.07,0.06,0.9932869
0.07,0.07,0.9943199
0.07,0.08,0.9932628
0.07,0.09,0.9913905
0.07,0.1,0.990593
0.07,0.11,0.9897429
0.07,0.12,0.987603
0.07,0.13,0.985006
0.07,0.14,0.9847322
0.07,0.15,0.9808093
0.07,0.16,0.9810001
0.07,0.17,0.9837776
0.07,0.18,0.9814375
0.07,0.19,0.9803838
0.07,0.2,0.9731032
0.075,0.01,0.9994226
0.075,0.02,0.9987885
0.075,0.03,0.9972001
0.075,0.04,0.9967009
0.075,0.05,0.9949818
0.075,0.06,0.9949667
0.075,0.07,0.9951012
0.075,0.08,0.9922819
0.075,0.09,0.9909575
0.075,0.1,0.9881594
0.075,0.11,0.9887678
0.075,0.12,0.9876389
0.075,0.13,0.9855699
0.075,0.14,0.9833014
0.075,0.15,0.9842741
0.075,0.16,0.9768254
0.075,0.17,0.9766549
0.075,0.18,0.9813274
0.075,0.19,0.9752709
0.075,0.2,0.9766185
0.08,0.01,0.9994737
0.08,0.02,0.9981889
0.08,0.03,0.9978088
0.08,0.04,0.9972099
0.08,0.05,0.9949053
0.08,0.06,0.9946346
0.08,0.07,0.9931
0.08,0.08,0.9919556
0.08,0.09,0.9903863
0.08,0.1,0.9898714
0.08,0.11,0.989262
0.08,0.12,0.9880739
0.08,0.13,0.9846318
0.08,0.14,0.9837153
0.08,0.15,0.9824278
0.08,0.16,0.982606
0.08,0.17,0.9792195
0.08,0.18,0.9788661
0.08,0.19,0.9799761
0.08,0.2,0.9781663
0.085,0.01,0.9993951
0.085,0.02,0.9981614
0.085,0.03,0.9972636
0.085,0.04,0.9974862
0.085,0.05,0.9958343
0.085,0.06,0.9946871
0.085,0.07,0.9927187
0.085,0.08,0.9904982
