Migration Rate,Corridor Width,Normal Allele - Persistance
0.065,0.2,0.8095465
0.07,0.01,0.9857751
0.07,0.02,0.9703959
0.07,0.03,0.9603214
0.07,0.04,0.9526621
0.07,0.05,0.9272149
0.07,0.06,0.9257692
0.07,0.07,0.9084942
0.07,0.08,0.9041217
0.07,0.09,0.9001621
0.07,0.1,0.8734197
0.07,0.11,0.8622448
0.07,0.12,0.8541228
0.07,0.13,0.8500506
0.07,0.14,0.8234798
0.07,0.15,0.8285243
0.07,0.16,0.8261979
0.07,0.17,0.8124297
0.07,0.18,0.8064384
0.07,0.19,0.8069942
0.07,0.2,0.7996512
0.075,0.01,0.9837162
0.075,0.02,0.9679669
0.075,0.03,0.9598119
0.075,0.04,0.9432541
0.075,0.05,0.9287461
0.075,0.06,0.9199785
0.075,0.07,0.8953778
0.075,0.08,0.8866979
0.075,0.09,0.8735173
0.075,0.1,0.8513955
0.075,0.11,0.8674361
0.075,0.12,0.8490884
0.075,0.13,0.8310085
0.075,0.14,0.807408
0.075,0.15,0.8085149
0.075,0.16,0.7995038
0.075,0.17,0.7849519
0.075,0.18,0.7945279
0.075,0.19,0.7984082
0.075,0.2,0.7877572
0.08,0.01,0.9736791
0.08,0.02,0.9642312
0.08,0.03,0.9436246
0.08,0.04,0.9321921
0.08,0.05,0.92152
0.08,0.06,0.8902156
0.08,0.07,0.8880006
0.08,0.08,0.8800254
0.08,0.09,0.8482227
0.08,0.1,0.8666562
0.08,0.11,0.8463431
0.08,0.12,0.8293221
0.08,0.13,0.8093119
0.08,0.14,0.8034125
0.08,0.15,0.8000637
0.08,0.16,0.7989868
0.08,0.17,0.7829844
0.08,0.18,0.767336
0.08,0.19,0.7640911
0.08,0.2,0.761671
0.085,0.01,0.9819949
0.085,0.02,0.9557336
0.085,0.03,0.9322075
0.085,0.04,0.9253855
0.085,0.05,0.9071754
0.085,0.06,0.9014175
0.085,0.07,0.8620293
0.085,0.08,0.8760986
0.085,0.09,0.8365801
0.085,0.1,0.8382034
0.085,0.11,0.8242846
0.085,0.12,0.8033472
0.085,0.13,0.8013025
0.085,0.14,0.7818278
0.085,0.15,0.7907795
0.085,0.16,0.7727913
0.085,0.17,0.7767469
0.085,0.18,0.7495129
0.085,0.19,0.7567905
0.085,0.2,0.7368798
0.09,0.01,0.9774184
0.09,0.02,0.957137
0.09,0.03,0.940883
0.09,0.04,0.929899
0.09,0.05,0.8921598
0.09,0.06,0.8722718
0.09,0.07,0.8639179
0.09,0.08,0.8479758
0.09,0.09,0.8614714
0.09,0.1,0.8247974
0.09,0.11,0.8131664
0.09,0.12,0.7966034
0.09,0.13,0.7725707
0.09,0.14,0.7898113
0.09,0.15,0.783088
0.09,0.16,0.7620908
0.09,0.17,0.7569351
0.09,0.18,0.7473132
0.09,0.19,0.7351673
0.09,0.2,0.7244304
0.095,0.01,0.9675143
0.095,0.02,0.948763
0.095,0.03,0.9198952
0.095,0.04,0.9088817
0.095,0.05,0.8885252
0.095,0.06,0.8771201
0.095,0.07,0.8586596
0.095,0.08,0.8429363
0.095,0.09,0.8272355
0.095,0.1,0.8211678
0.095,0.11,0.7936187
0.095,0.12,0.7816151
0.095,0.13,0.7568751
0.095,0.14,0.7752069
0.095,0.15,0.7671774
0.095,0.16,0.7401459
0.095,0.17,0.7353913
0.095,0.18,0.7222313
0.095,0.19,0.7293306
0.095,0.2,0.7128746
0.1,0.01,0.9606958
0.1,0.02,0.9351545
0.1,0.03,0.916534
0.1,0.04,0.9019245
0.1,0.05,0.8677376
0.1,0.06,0.8643131
0.1,0.07,0.8434352
0.1,0.08,0.8280058
0.1,0.09,0.818141
