Fitness,Corridor Width,1L1T - Persistance
0.6,0.01,0.9949138
0.62,0.01,0.9933499
0.64,0.01,0.9947414
0.66,0.01,0.9958437
0.68,0.01,0.9960384
0.7,0.01,0.9961504
0.72,0.01,0.9967525
0.74,0.01,0.9964942
0.76,0.01,0.9969815
0.78,0.01,0.9976615
0.8,0.01,0.9974505
0.82,0.01,0.9980312
0.84,0.01,0.9983827
0.86,0.01,0.9986835
0.88,0.01,0.9984642
0.9,0.01,0.9987628
0.92,0.01,0.9994979
0.94,0.01,0.9990966
0.96,0.01,0.999408
0.98,0.01,0.999357
1,0.01,0.9995143
0.6,0.02,0.879721348
0.62,0.02,0.984326
0.64,0.02,0.9861214
0.66,0.02,0.9869835
0.68,0.02,0.9888309
0.7,0.02,0.9891938
0.72,0.02,0.9911028
0.74,0.02,0.9904905
0.76,0.02,0.9915593
0.78,0.02,0.991612
0.8,0.02,0.9925455
0.82,0.02,0.9940908
0.84,0.02,0.9946534
0.86,0.02,0.9947231
0.88,0.02,0.9950336
0.9,0.02,0.9950332
0.92,0.02,0.9972644
0.94,0.02,0.9983045
0.96,0.02,0.9979614
0.98,0.02,0.9989358
1,0.02,0.9984287
0.6,0.03,0.166985293
0.62,0.03,0.68219293
0.64,0.03,0.8809685
0.66,0.03,0.943002
0.68,0.03,0.9740815
0.7,0.03,0.9786209
0.72,0.03,0.980542
0.74,0.03,0.9799877
0.76,0.03,0.9804999
0.78,0.03,0.9853516
0.8,0.03,0.9869672
0.82,0.03,0.9876875
0.84,0.03,0.9886412
0.86,0.03,0.9887473
0.88,0.03,0.9913245
0.9,0.03,0.9919955
0.92,0.03,0.9927036
0.94,0.03,0.9952504
0.96,0.03,0.9949301
0.98,0.03,0.9973731
1,0.03,0.9982307
0.6,0.04,0
0.62,0.04,0.03020287
0.64,0.04,0.236611066
0.66,0.04,0.68748143
0.68,0.04,0.8321621
0.7,0.04,0.9607586
0.72,0.04,0.9664481
0.74,0.04,0.9717605
0.76,0.04,0.9721313
0.78,0.04,0.9756862
0.8,0.04,0.9776206
0.82,0.04,0.9785824
0.84,0.04,0.9807902
0.86,0.04,0.9823248
0.88,0.04,0.9839557
0.9,0.04,0.9867808
0.92,0.04,0.9895562
0.94,0.04,0.9910024
0.96,0.04,0.9916996
0.98,0.04,0.9946128
1,0.04,0.9962433
0.6,0.05,0
0.62,0.05,0
0.64,0.05,0.020015103
0.66,0.05,0.092919377
0.68,0.05,0.50081429
0.7,0.05,0.746459
0.72,0.05,0.9153982
0.74,0.05,0.9530548
0.76,0.05,0.960542
0.78,0.05,0.9632573
0.8,0.05,0.9675018
0.82,0.05,0.9711513
