Fitness,Corridor Width,2L2T - Persistance
0.6,0.01,0.8429123
0.62,0.01,0.8530332
0.64,0.01,0.8594754
0.66,0.01,0.8631742
0.68,0.01,0.8720822
0.7,0.01,0.8819139
0.72,0.01,0.8840737
0.74,0.01,0.8960379
0.76,0.01,0.9081208
0.78,0.01,0.9222352
0.8,0.01,0.9245737
0.82,0.01,0.9294622
0.84,0.01,0.951038
0.86,0.01,0.9596809
0.88,0.01,0.9821235
0.9,0.01,0.9827362
0.92,0.01,0.9924139
0.94,0.01,0.994978
0.96,0.01,0.9981681
0.98,0.01,0.9985294
1,0.01,0.9980359
0.6,0.02,0.8369465
0.62,0.02,0.848508
0.64,0.02,0.8530566
0.66,0.02,0.8655459
0.68,0.02,0.8688191
0.7,0.02,0.8747584
0.72,0.02,0.8854465
0.74,0.02,0.8941962
0.76,0.02,0.901627
0.78,0.02,0.9160321
0.8,0.02,0.9178958
0.82,0.02,0.9270667
0.84,0.02,0.9467463
0.86,0.02,0.9572664
0.88,0.02,0.9711185
0.9,0.02,0.9787932
0.92,0.02,0.9846121
0.94,0.02,0.993827
0.96,0.02,0.9954175
0.98,0.02,0.9972775
1,0.02,0.9969072
0.6,0.03,0.8291977
0.62,0.03,0.8373144
0.64,0.03,0.8456773
0.66,0.03,0.8513478
0.68,0.03,0.860414
0.7,0.03,0.87209
0.72,0.03,0.8779776
0.74,0.03,0.8872603
0.76,0.03,0.8981086
0.78,0.03,0.9076983
0.8,0.03,0.9141847
0.82,0.03,0.9235061
0.84,0.03,0.9355375
0.86,0.03,0.947758
0.88,0.03,0.9659867
0.9,0.03,0.9786423
0.92,0.03,0.9853365
0.94,0.03,0.9934515
0.96,0.03,0.9925251
0.98,0.03,0.9941731
1,0.03,0.996435
0.6,0.04,0.8171093
0.62,0.04,0.8283148
0.64,0.04,0.8367687
0.66,0.04,0.8446984
0.68,0.04,0.8564892
0.7,0.04,0.8662392
0.72,0.04,0.8765254
0.74,0.04,0.8857891
0.76,0.04,0.8957968
0.78,0.04,0.9038713
0.8,0.04,0.9176097
0.82,0.04,0.9232865
0.84,0.04,0.9341671
0.86,0.04,0.9484885
0.88,0.04,0.9573493
0.9,0.04,0.9698411
0.92,0.04,0.9814316
0.94,0.04,0.9855368
0.96,0.04,0.990529
0.98,0.04,0.9938456
1,0.04,0.9955974
0.6,0.05,0.8008222
0.62,0.05,0.8147232
0.64,0.05,0.8252827
0.66,0.05,0.8365573
0.68,0.05,0.8491926
0.7,0.05,0.8592339
0.72,0.05,0.8676191
0.74,0.05,0.8761786
0.76,0.05,0.8916899
0.78,0.05,0.9001561
0.8,0.05,0.9107744
0.82,0.05,0.9223224
0.84,0.05,0.9362594
0.86,0.05,0.9454922
0.88,0.05,0.9576734
0.9,0.05,0.9700888
0.92,0.05,0.9841328
0.94,0.05,0.9846224
0.96,0.05,0.9893196
0.98,0.05,0.9919828
1,0.05,0.9954335
0.6,0.06,0.7852591
0.62,0.06,0.799865
0.64,0.06,0.814961
0.66,0.06,0.8233869
0.68,0.06,0.8312063
0.7,0.06,0.8427095
0.72,0.06,0.857881
0.74,0.06,0.8694923
0.76,0.06,0.8875328
0.78,0.06,0.8975394
0.8,0.06,0.9101244
0.82,0.06,0.9268897
0.84,0.06,0.932872
0.86,0.06,0.9415626
0.88,0.06,0.9517667
0.9,0.06,0.9699223
0.92,0.06,0.973117
0.94,0.06,0.9865341
0.96,0.06,0.9908401
0.98,0.06,0.9924614
1,0.06,0.9946243
0.6,0.07,0.7548685
0.62,0.07,0.7847296
0.64,0.07,0.8040861
0.66,0.07,0.8119175
0.68,0.07,0.8258119
0.7,0.07,0.8375869
0.72,0.07,0.8459247
0.74,0.07,0.8632213
0.76,0.07,0.8842758
0.78,0.07,0.9002096
0.8,0.07,0.9084937
0.82,0.07,0.9226889
0.84,0.07,0.9318539
0.86,0.07,0.9442103
0.88,0.07,0.9587609
0.9,0.07,0.9612799
0.92,0.07,0.9766728
0.94,0.07,0.9844152
0.96,0.07,0.9900353
0.98,0.07,0.9928897
1,0.07,0.994956
0.6,0.08,0.6834075
0.62,0.08,0.7519156
0.64,0.08,0.77642
0.66,0.08,0.8016769
0.68,0.08,0.8159031
0.7,0.08,0.8225963
0.72,0.08,0.8376244
0.74,0.08,0.8504056
0.76,0.08,0.8780438
0.78,0.08,0.895914
0.8,0.08,0.9095713
0.82,0.08,0.9256274
0.84,0.08,0.929042
0.86,0.08,0.9460012
0.88,0.08,0.953054
0.9,0.08,0.9640086
0.92,0.08,0.9753291
0.94,0.08,0.9835777
0.96,0.08,0.9877042
0.98,0.08,0.9928098
1,0.08,0.9944582
0.6,0.09,0.6498438
0.62,0.09,0.7221546
0.64,0.09,0.7605342
0.66,0.09,0.779502
0.68,0.09,0.8001222
0.7,0.09,0.8121627
0.72,0.09,0.8246416
0.74,0.09,0.8463238
0.76,0.09,0.8786214
0.78,0.09,0.8917116
0.8,0.09,0.9074542
0.82,0.09,0.9196669
0.84,0.09,0.9339594
0.86,0.09,0.9424508
0.88,0.09,0.9558352
0.9,0.09,0.9633856
0.92,0.09,0.9739831
0.94,0.09,0.9806376
0.96,0.09,0.9880333
0.98,0.09,0.9886495
1,0.09,0.9942772
0.6,0.1,0.5402497
0.62,0.1,0.6868491
0.64,0.1,0.7406978
