Fitness,Corridor Width,2L2T - Persistance
0.66,0.1,0.7577211
0.68,0.1,0.7817387
0.7,0.1,0.8027913
0.72,0.1,0.8250709
0.74,0.1,0.8468069
0.76,0.1,0.8641362
0.78,0.1,0.8932633
0.8,0.1,0.9081868
0.82,0.1,0.9188176
0.84,0.1,0.93265
0.86,0.1,0.9398344
0.88,0.1,0.9529974
0.9,0.1,0.9665526
0.92,0.1,0.9775829
0.94,0.1,0.9808391
0.96,0.1,0.9860367
0.98,0.1,0.9923941
1,0.1,0.993631
0.6,0.11,0.4503613
0.62,0.11,0.6085985
0.64,0.11,0.7095043
0.66,0.11,0.7450449
0.68,0.11,0.766106
0.7,0.11,0.7922329
0.72,0.11,0.8159692
0.74,0.11,0.8244202
0.76,0.11,0.8556583
0.78,0.11,0.8861196
0.8,0.11,0.9034396
0.82,0.11,0.9220393
0.84,0.11,0.9311199
0.86,0.11,0.9412351
0.88,0.11,0.9507843
0.9,0.11,0.9618871
0.92,0.11,0.9705315
0.94,0.11,0.9830653
0.96,0.11,0.9860521
0.98,0.11,0.9902085
1,0.11,0.9937556
0.6,0.12,0.4016868
0.62,0.12,0.5924326
0.64,0.12,0.6701844
0.66,0.12,0.7282339
0.68,0.12,0.744161
0.7,0.12,0.7731752
0.72,0.12,0.7968751
0.74,0.12,0.8238907
0.76,0.12,0.8577649
0.78,0.12,0.8783071
0.8,0.12,0.9020764
0.82,0.12,0.917639
0.84,0.12,0.9333065
0.86,0.12,0.9406071
0.88,0.12,0.9511134
0.9,0.12,0.965318
0.92,0.12,0.9749902
0.94,0.12,0.9773002
0.96,0.12,0.9860246
0.98,0.12,0.9921983
1,0.12,0.9955967
0.6,0.13,0.3531747
0.62,0.13,0.5142991
0.64,0.13,0.6426738
0.66,0.13,0.6894117
0.68,0.13,0.7368766
0.7,0.13,0.7648019
0.72,0.13,0.785372
0.74,0.13,0.8192318
0.76,0.13,0.8460448
0.78,0.13,0.8755544
0.8,0.13,0.900274
0.82,0.13,0.9185553
0.84,0.13,0.9313237
0.86,0.13,0.9385466
0.88,0.13,0.952619
0.9,0.13,0.9620927
0.92,0.13,0.9727193
0.94,0.13,0.9793882
0.96,0.13,0.985902
0.98,0.13,0.9907058
1,0.13,0.9939126
0.6,0.14,0.2790614
0.62,0.14,0.4759554
0.64,0.14,0.6070924
0.66,0.14,0.6663211
0.68,0.14,0.7136352
0.7,0.14,0.7378858
0.72,0.14,0.7747685
0.74,0.14,0.8140407
0.76,0.14,0.8537639
0.78,0.14,0.877184
0.8,0.14,0.9038939
0.82,0.14,0.9181434
0.84,0.14,0.9273
0.86,0.14,0.9414549
0.88,0.14,0.9512642
0.9,0.14,0.9604133
0.92,0.14,0.9701128
0.94,0.14,0.9784849
0.96,0.14,0.983333
0.98,0.14,0.9913741
1,0.14,0.9951439
0.6,0.15,0.2414452
0.62,0.15,0.4502624
0.64,0.15,0.5698558
0.66,0.15,0.6408165
0.68,0.15,0.6943613
0.7,0.15,0.7346331
0.72,0.15,0.7679255
0.74,0.15,0.8058972
0.76,0.15,0.8310301
0.78,0.15,0.8734543
0.8,0.15,0.9030681
0.82,0.15,0.9192867
0.84,0.15,0.9291295
0.86,0.15,0.9400619
0.88,0.15,0.9539806
0.9,0.15,0.9615452
0.92,0.15,0.972816
0.94,0.15,0.9843863
0.96,0.15,0.9838575
0.98,0.15,0.9902806
1,0.15,0.9928315
0.6,0.16,0.2062498
0.62,0.16,0.3875695
0.64,0.16,0.5475619
0.66,0.16,0.618271
0.68,0.16,0.6713651
0.7,0.16,0.7204118
0.72,0.16,0.755323
0.74,0.16,0.7887695
0.76,0.16,0.8345395
0.78,0.16,0.8706041
0.8,0.16,0.9020899
0.82,0.16,0.9149548
0.84,0.16,0.9281902
0.86,0.16,0.9401265
0.88,0.16,0.951058
0.9,0.16,0.9624934
0.92,0.16,0.967965
0.94,0.16,0.9754537
0.96,0.16,0.9832223
0.98,0.16,0.9897875
1,0.16,0.9935511
0.6,0.17,0.1956444
0.62,0.17,0.3635463
0.64,0.17,0.4904598
0.66,0.17,0.5902314
0.68,0.17,0.6552228
0.7,0.17,0.7066453
0.72,0.17,0.7363196
0.74,0.17,0.7796766
0.76,0.17,0.8230251
0.78,0.17,0.8767633
0.8,0.17,0.8987822
0.82,0.17,0.917487
0.84,0.17,0.9300971
0.86,0.17,0.9397958
0.88,0.17,0.9495988
0.9,0.17,0.9625724
0.92,0.17,0.9703205
0.94,0.17,0.978226
0.96,0.17,0.9855266
0.98,0.17,0.9890541
1,0.17,0.9929829
0.6,0.18,0.161123
0.62,0.18,0.3247557
0.64,0.18,0.4717546
0.66,0.18,0.5730453
0.68,0.18,0.6479134
0.7,0.18,0.6816262
0.72,0.18,0.7247797
0.74,0.18,0.7706353
0.76,0.18,0.8172336
0.78,0.18,0.8574731
0.8,0.18,0.8997827
0.82,0.18,0.9146867
0.84,0.18,0.9316883
0.86,0.18,0.9415407
0.88,0.18,0.9501568
0.9,0.18,0.9581333
0.92,0.18,0.9699019
0.94,0.18,0.9813509
0.96,0.18,0.9813711
0.98,0.18,0.989293
1,0.18,0.9940667
0.6,0.19,0.1570512
0.62,0.19,0.2861092
0.64,0.19,0.4368608
0.66,0.19,0.5611947
0.68,0.19,0.6117661
0.7,0.19,0.66322
0.72,0.19,0.7088836
0.74,0.19,0.7710893
0.76,0.19,0.8137747
0.78,0.19,0.8613245
0.8,0.19,0.8969899
0.82,0.19,0.9123752
0.84,0.19,0.9272445
0.86,0.19,0.9378226
0.88,0.19,0.9479362
0.9,0.19,0.9604007
0.92,0.19,0.9707292
0.94,0.19,0.9792976
0.96,0.19,0.9835592
0.98,0.19,0.9893727
1,0.19,0.9936946
0.6,0.2,0.1591361
0.62,0.2,0.2793101
0.64,0.2,0.4067
0.66,0.2,0.5294984
0.68,0.2,0.5830174
0.7,0.2,0.6446976
0.72,0.2,0.7007603
0.74,0.2,0.7441641
0.76,0.2,0.8037315
0.78,0.2,0.8587754
0.8,0.2,0.8977991
0.82,0.2,0.917332
0.84,0.2,0.928421
0.86,0.2,0.9393353
0.88,0.2,0.9495897
0.9,0.2,0.9566464
0.92,0.2,0.9704476
0.94,0.2,0.9787751
0.96,0.2,0.9843557
0.98,0.2,0.9909396
1,0.2,0.9935364
0.6,0,1
0.62,0,1
0.64,0,1
0.66,0,1
0.68,0,1
0.7,0,1
0.72,0,1
0.74,0,1
0.76,0,1
0.78,0,1
0.8,0,1
0.82,0,1
0.84,0,1
0.86,0,1
0.88,0,1
0.9,0,1
0.92,0,1
0.94,0,1
0.96,0,1
0.98,0,1
1,0,1
