Fitness,Corridor Width,Normal Allele - Persistance
0.72,0.11,4.08E-05
0.74,0.11,5.73E-05
0.76,0.11,0.000369044
0.78,0.11,0.002169103
0.8,0.11,0.005380916
0.82,0.11,0.01415698
0.84,0.11,0.03124095
0.86,0.11,0.07605147
0.88,0.11,0.14080409
0.9,0.11,0.2915861
0.92,0.11,0.4578679
0.94,0.11,0.6633297
0.96,0.11,0.779314
0.98,0.11,0.8559823
1,0.11,0.9124057
0.6,0.12,0
0.62,0.12,0
0.64,0.12,0
0.66,0.12,0
0.68,0.12,0
0.7,0.12,0
0.72,0.12,4.88E-05
0.74,0.12,7.45E-05
0.76,0.12,0.000398797
0.78,0.12,0.000818418
0.8,0.12,0.005126547
0.82,0.12,0.011872773
0.84,0.12,0.02546541
0.86,0.12,0.06680928
0.88,0.12,0.1440281
0.9,0.12,0.2846356
0.92,0.12,0.4788303
0.94,0.12,0.6331988
0.96,0.12,0.7685582
0.98,0.12,0.8362261
1,0.12,0.9001914
0.6,0.13,0
0.62,0.13,0
0.64,0.13,0
0.66,0.13,0
0.68,0.13,4.02E-05
0.7,0.13,0
0.72,0.13,2.44E-05
0.74,0.13,0.000114096
0.76,0.13,0.000357568
0.78,0.13,0.00153641
0.8,0.13,0.004063684
0.82,0.13,0.011689261
0.84,0.13,0.02732838
0.86,0.13,0.05786811
0.88,0.13,0.12592321
0.9,0.13,0.2579234
0.92,0.13,0.4566373
0.94,0.13,0.5928669
0.96,0.13,0.7473268
0.98,0.13,0.8379177
1,0.13,0.9001974
0.6,0.14,0
0.62,0.14,0
0.64,0.14,0
0.66,0.14,0
0.68,0.14,0
0.7,0.14,0
0.72,0.14,2.38E-05
0.74,0.14,0.000207628
0.76,0.14,0.000345573
0.78,0.14,0.001599686
0.8,0.14,0.003968042
0.82,0.14,0.008525814
0.84,0.14,0.02557128
0.86,0.14,0.06239463
0.88,0.14,0.13185219
0.9,0.14,0.2566034
0.92,0.14,0.4066616
0.94,0.14,0.6013135
0.96,0.14,0.7419657
0.98,0.14,0.8285209
1,0.14,0.9000275
0.6,0.15,0
0.62,0.15,0
0.64,0.15,0
0.66,0.15,0
0.68,0.15,0
0.7,0.15,0
0.72,0.15,0
0.74,0.15,0.000118645
0.76,0.15,0.000421468
0.78,0.15,0.001070959
0.8,0.15,0.00320542
0.82,0.15,0.009059142
0.84,0.15,0.01938214
0.86,0.15,0.05501182
0.88,0.15,0.11851492
