Migration Rate,Relative Center Density,2L2T - Persistance
0.065,5.5,0.9650096
0.065,5.75,0.962798
0.065,6,0.9642313
0.07,1,0.37924907
0.07,1.25,0.8640916
0.07,1.5,0.9172282
0.07,1.75,0.9286796
0.07,2,0.9433803
0.07,2.25,0.9462417
0.07,2.5,0.9513848
0.07,2.75,0.952358
0.07,3,0.9550298
0.07,3.25,0.9581943
0.07,3.5,0.959574
0.07,3.75,0.9592292
0.07,4,0.9619314
0.07,4.25,0.9615451
0.07,4.5,0.9628367
0.07,4.75,0.9617813
0.07,5,0.9628053
0.07,5.25,0.9651885
0.07,5.5,0.9648852
0.07,5.75,0.9660171
0.07,6,0.9660394
0.075,1,0.025351268
0.075,1.25,0.8645854
0.075,1.5,0.9181227
0.075,1.75,0.9363109
0.075,2,0.9420378
0.075,2.25,0.9477163
0.075,2.5,0.9528258
0.075,2.75,0.9532514
0.075,3,0.9577651
0.075,3.25,0.9596228
0.075,3.5,0.9602312
0.075,3.75,0.9600524
0.075,4,0.9600979
0.075,4.25,0.9616863
0.075,4.5,0.964331
0.075,4.75,0.9633524
0.075,5,0.9628662
0.075,5.25,0.9629342
0.075,5.5,0.962843
0.075,5.75,0.964167
0.075,6,0.9661969
0.08,1,0.000164241
0.08,1.25,0.8525014
0.08,1.5,0.9214802
0.08,1.75,0.9392541
0.08,2,0.9450217
0.08,2.25,0.9508535
0.08,2.5,0.9530258
0.08,2.75,0.9547403
0.08,3,0.955252
0.08,3.25,0.9574649
0.08,3.5,0.9584506
0.08,3.75,0.9598051
0.08,4,0.9607206
0.08,4.25,0.9637006
0.08,4.5,0.9618057
0.08,4.75,0.9626997
0.08,5,0.9650535
0.08,5.25,0.9655103
0.08,5.5,0.9643854
0.08,5.75,0.9641977
0.08,6,0.964622
0.085,1,0
0.085,1.25,0.8279109
0.085,1.5,0.9268207
0.085,1.75,0.9403812
0.085,2,0.9471948
0.085,2.25,0.9524858
0.085,2.5,0.95741
0.085,2.75,0.9564944
0.085,3,0.9582666
0.085,3.25,0.95738
0.085,3.5,0.9616374
0.085,3.75,0.9608484
0.085,4,0.9602564
0.085,4.25,0.964303
0.085,4.5,0.9637135
0.085,4.75,0.9636732
0.085,5,0.9631715
0.085,5.25,0.9660164
0.085,5.5,0.9647488
0.085,5.75,0.9658356
0.085,6,0.9662504
0.09,1,0
0.09,1.25,0.7923895
0.09,1.5,0.9267197
0.09,1.75,0.9429069
0.09,2,0.9497058
0.09,2.25,0.9523031
0.09,2.5,0.9559181
0.09,2.75,0.9594949
0.09,3,0.9611722
0.09,3.25,0.9604087
0.09,3.5,0.9616408
0.09,3.75,0.9638442
0.09,4,0.963916
0.09,4.25,0.9630904
0.09,4.5,0.9626261
0.09,4.75,0.9622853
0.09,5,0.9658895
0.09,5.25,0.9644943
0.09,5.5,0.9653907
0.09,5.75,0.9661333
0.09,6,0.9674983
0.095,1,0
0.095,1.25,0.48567326
0.095,1.5,0.9272467
0.095,1.75,0.9437425
