Migration Rate,Relative Center Density,1L2T - Persistance
0.075,3.25,0
0.075,3.5,0
0.075,3.75,0
0.075,4,0
0.075,4.25,0
0.075,4.5,0
0.075,4.75,0.1653785
0.075,5,0.2873886
0.075,5.25,0.8681303
0.075,5.5,0.8705933
0.075,5.75,0.9714792
0.075,6,0.9741784
0.08,1,0
0.08,1.25,0
0.08,1.5,0
0.08,1.75,0
0.08,2,0
0.08,2.25,0
0.08,2.5,0
0.08,2.75,0
0.08,3,0
0.08,3.25,0
0.08,3.5,0
0.08,3.75,0
0.08,4,0
0.08,4.25,0
0.08,4.5,0
0.08,4.75,0
0.08,5,0.0953113
0.08,5.25,0.6725441
0.08,5.5,0.867492
0.08,5.75,0.9686381
0.08,6,0.9708852
0.085,1,0
0.085,1.25,0
0.085,1.5,0
0.085,1.75,0
0.085,2,0
0.085,2.25,0
0.085,2.5,0
0.085,2.75,0
0.085,3,0
0.085,3.25,0
0.085,3.5,0
0.085,3.75,0
0.085,4,0
0.085,4.25,0
0.085,4.5,0
0.085,4.75,0
0.085,5,0
0.085,5.25,0.5727005
0.085,5.5,0.8648189
0.085,5.75,0.9648709
0.085,6,0.9688895
0.09,1,0
0.09,1.25,0
0.09,1.5,0
0.09,1.75,0
0.09,2,0
0.09,2.25,0
0.09,2.5,0
0.09,2.75,0
0.09,3,0
0.09,3.25,0
0.09,3.5,0
0.09,3.75,0
0.09,4,0
0.09,4.25,0
0.09,4.5,0
0.09,4.75,0
0.09,5,0
0.09,5.25,0.1893903
0.09,5.5,0.7641336
0.09,5.75,0.962053
0.09,6,0.9640828
0.095,1,0
0.095,1.25,0
0.095,1.5,0
0.095,1.75,0
0.095,2,0
0.095,2.25,0
0.095,2.5,0
0.095,2.75,0
0.095,3,0
0.095,3.25,0
0.095,3.5,0
0.095,3.75,0
0.095,4,0
0.095,4.25,0
0.095,4.5,0
0.095,4.75,0
0.095,5,0
0.095,5.25,0.0916646
0.095,5.5,0.7610095
0.095,5.75,0.8625911
0.095,6,0.9625517
0.1,1,0
0.1,1.25,0
0.1,1.5,0
0.1,1.75,0
0.1,2,0
0.1,2.25,0
0.1,2.5,0
0.1,2.75,0
0.1,3,0
0.1,3.25,0
0.1,3.5,0
0.1,3.75,0
0.1,4,0
0.1,4.25,0
0.1,4.5,0
0.1,4.75,0
0.1,5,0
0.1,5.25,0
0.1,5.5,0.0939422
0.1,5.75,0.8598599
0.1,6,0.9614855
