Migration Rate,Relative Center Density,1L2T - Persistance
0.02,1,0
0.02,1.25,0
0.02,1.5,0
0.02,1.75,0
0.02,2,0
0.02,2.25,0
0.02,2.5,0
0.02,2.75,0
0.02,3,0.000136907
0.02,3.25,0.002498366
0.02,3.5,0.001621484
0.02,3.75,0.004803098
0.02,4,0.018777911
0.02,4.25,0.03947366
0.02,4.5,0.053821145
0.02,4.75,0.17121415
0.02,5,0.2444733
0.02,5.25,0.31942356
0.02,5.5,0.167921568
0.02,5.75,0.4349138
0.02,6,0.3971339
0.025,1,0
0.025,1.25,0
0.025,1.5,0
0.025,1.75,0
0.025,2,0
0.025,2.25,0
0.025,2.5,0
0.025,2.75,0
0.025,3,0
0.025,3.25,0
0.025,3.5,0
0.025,3.75,0.000540464
0.025,4,0.006745833
0.025,4.25,0.010214829
0.025,4.5,0.117691842
0.025,4.75,0.112962958
0.025,5,0.335998627
0.025,5.25,0.49424409
0.025,5.5,0.42245305
0.025,5.75,0.6164979
0.025,6,0.751434
0.03,1,0
0.03,1.25,0
0.03,1.5,0
0.03,1.75,0
0.03,2,0
0.03,2.25,0
0.03,2.5,0
0.03,2.75,0
0.03,3,0
0.03,3.25,0
0.03,3.5,0
0.03,3.75,0
0.03,4,2.68E-05
0.03,4.25,0.023229003
0.03,4.5,0.14218876
0.03,4.75,0.073717163
0.03,5,0.364553413
0.03,5.25,0.49171088
0.03,5.5,0.8076233
0.03,5.75,0.9667067
0.03,6,0.9377847
0.035,1,0
0.035,1.25,0
0.035,1.5,0
0.035,1.75,0
0.035,2,0
0.035,2.25,0
0.035,2.5,0
0.035,2.75,0
0.035,3,0
0.035,3.25,0
0.035,3.5,0
0.035,3.75,0
0.035,4,0.000370625
0.035,4.25,0.009351449
0.035,4.5,0.075380625
0.035,4.75,0.137575393
0.035,5,0.5522376
0.035,5.25,0.7576164
0.035,5.5,0.9904687
0.035,5.75,0.9501259
0.035,6,0.8950297
0.04,1,0
0.04,1.25,0
0.04,1.5,0
0.04,1.75,0
0.04,2,0
0.04,2.25,0
0.04,2.5,0
0.04,2.75,0
0.04,3,0
0.04,3.25,0
0.04,3.5,0
0.04,3.75,0
0.04,4,0
0.04,4.25,0
0.04,4.5,0.1960953
0.04,4.75,0.28801921
0.04,5,0.371977187
0.04,5.25,0.8025181
0.04,5.5,0.9195167
0.04,5.75,0.9889193
0.04,6,0.963707
0.045,1,0
0.045,1.25,0
0.045,1.5,0
0.045,1.75,0
0.045,2,0
0.045,2.25,0
0.045,2.5,0
0.045,2.75,0
0.045,3,0
0.045,3.25,0
0.045,3.5,0
0.045,3.75,0
0.045,4,0
0.045,4.25,0
0.045,4.5,0.119840055
0.045,4.75,0.236329444
0.045,5,0.364083053
0.045,5.25,0.9014555
0.045,5.5,0.8668956
0.045,5.75,0.9868121
0.045,6,0.9881746
0.05,1,0
0.05,1.25,0
0.05,1.5,0
0.05,1.75,0
0.05,2,0
0.05,2.25,0
0.05,2.5,0
0.05,2.75,0
0.05,3,0
0.05,3.25,0
0.05,3.5,0
0.05,3.75,0
0.05,4,0
0.05,4.25,0
0.05,4.5,0
0.05,4.75,0.1403536
0.05,5,0.638131586
0.05,5.25,0.8855063
0.05,5.5,0.9840578
0.05,5.75,0.9849305
0.05,6,0.9862327
0.055,1,0
0.055,1.25,0
0.055,1.5,0
0.055,1.75,0
0.055,2,0
0.055,2.25,0
0.055,2.5,0
0.055,2.75,0
0.055,3,0
0.055,3.25,0
0.055,3.5,0
0.055,3.75,0
0.055,4,0
0.055,4.25,0
0.055,4.5,0.00716368
0.055,4.75,0.3940814
0.055,5,0.6426061
0.055,5.25,0.9797892
0.055,5.5,0.982117
0.055,5.75,0.9827268
0.055,6,0.9843768
0.06,1,0
0.06,1.25,0
0.06,1.5,0
0.06,1.75,0
0.06,2,0
0.06,2.25,0
0.06,2.5,0
0.06,2.75,0
0.06,3,0
0.06,3.25,0
0.06,3.5,0
0.06,3.75,0
0.06,4,0
0.06,4.25,0
0.06,4.5,0
0.06,4.75,0.2898931
0.06,5,0.5539813
0.06,5.25,0.78942703
0.06,5.5,0.9773037
0.06,5.75,0.979411
0.06,6,0.9826203
0.065,1,0
0.065,1.25,0
0.065,1.5,0
0.065,1.75,0
0.065,2,0
0.065,2.25,0
0.065,2.5,0
0.065,2.75,0
0.065,3,0
0.065,3.25,0
0.065,3.5,0
0.065,3.75,0
0.065,4,0
0.065,4.25,0
0.065,4.5,0
0.065,4.75,0.0117247
0.065,5,0.871746319
0.065,5.25,0.9724354
0.065,5.5,0.9743719
0.065,5.75,0.9767388
0.065,6,0.9783387
0.07,1,0
0.07,1.25,0
0.07,1.5,0
0.07,1.75,0
0.07,2,0
0.07,2.25,0
0.07,2.5,0
0.07,2.75,0
0.07,3,0
0.07,3.25,0
0.07,3.5,0
0.07,3.75,0
0.07,4,0
0.07,4.25,0
0.07,4.5,0
0.07,4.75,0
0.07,5,0.40585374
0.07,5.25,0.8721425
0.07,5.5,0.9702982
0.07,5.75,0.9747094
0.07,6,0.9768004
0.075,1,0
0.075,1.25,0
0.075,1.5,0
0.075,1.75,0
0.075,2,0
0.075,2.25,0
0.075,2.5,0
0.075,2.75,0
0.075,3,0
