Migration Rate,Relative Center Density,1L1T - Invasion
0.065,6,0.9362476
0.07,1,0
0.07,1.25,0
0.07,1.5,0
0.07,1.75,0.011662483
0.07,2,0.2489144
0.07,2.25,0.3366551
0.07,2.5,0.4183709
0.07,2.75,0.5274101
0.07,3,0.6184045
0.07,3.25,0.7210461
0.07,3.5,0.787288
0.07,3.75,0.828325
0.07,4,0.8827467
0.07,4.25,0.9121304
0.07,4.5,0.9317261
0.07,4.75,0.9582658
0.07,5,0.9717931
0.07,5.25,0.982933
0.07,5.5,0.9872261
0.07,5.75,0.9942331
0.07,6,0.997092
0.075,1,0
0.075,1.25,0
0.075,1.5,0
0.075,1.75,0
0.075,2,0.2355893
0.075,2.25,0.3676502
0.075,2.5,0.4837047
0.075,2.75,0.6235381
0.075,3,0.7596732
0.075,3.25,0.8596948
0.075,3.5,0.9040691
0.075,3.75,0.9389426
0.075,4,0.9748697
0.075,4.25,0.9909307
0.075,4.5,0.9966724
0.075,4.75,0.99892
0.075,5,0.9996197
0.075,5.25,0.9998624
0.075,5.5,0.999956
0.075,5.75,0.9999904
0.075,6,0.9999809
0.08,1,0
0.08,1.25,0
0.08,1.5,0
0.08,1.75,0
0.08,2,0.085836896
0.08,2.25,0.3863792
0.08,2.5,0.5894828
0.08,2.75,0.7579868
0.08,3,0.8863143
0.08,3.25,0.9585364
0.08,3.5,0.9868007
0.08,3.75,0.9980296
0.08,4,0.9991852
0.08,4.25,0.9999297
0.08,4.5,0.99999
0.08,4.75,1
0.08,5,1
0.08,5.25,0.9999951
0.08,5.5,0.9999952
0.08,5.75,1
0.08,6,1
0.085,1,0
0.085,1.25,0
0.085,1.5,0
0.085,1.75,0
0.085,2,0
0.085,2.25,0.3941208
0.085,2.5,0.6721947
0.085,2.75,0.8837
0.085,3,0.960086
0.085,3.25,0.9969931
0.085,3.5,0.9997553
0.085,3.75,0.9999847
0.085,4,0.9999949
0.085,4.25,0.999995
0.085,4.5,1
0.085,4.75,1
0.085,5,1
0.085,5.25,1
0.085,5.5,1
0.085,5.75,1
0.085,6,1
0.09,1,0
0.09,1.25,0
0.09,1.5,0
0.09,1.75,0
0.09,2,0
0.09,2.25,0.363655844
0.09,2.5,0.8026789
0.09,2.75,0.9562382
0.09,3,0.9986255
0.09,3.25,0.9999583
0.09,3.5,1
0.09,3.75,1
0.09,4,1
0.09,4.25,1
0.09,4.5,1
0.09,4.75,1
0.09,5,1
0.09,5.25,1
0.09,5.5,1
0.09,5.75,1
0.09,6,1
0.095,1,0
0.095,1.25,0
0.095,1.5,0
0.095,1.75,0
0.095,2,0
0.095,2.25,0.171000524
0.095,2.5,0.8421815
0.095,2.75,0.9951627
0.095,3,0.9998953
0.095,3.25,0.9999948
0.095,3.5,1
0.095,3.75,1
0.095,4,1
0.095,4.25,1
0.095,4.5,1
0.095,4.75,1
0.095,5,1
0.095,5.25,1
0.095,5.5,1
0.095,5.75,1
0.095,6,1
0.1,1,0
0.1,1.25,0
0.1,1.5,0
0.1,1.75,0
0.1,2,0
0.1,2.25,0
0.1,2.5,0.8302775
0.1,2.75,0.9996029
0.1,3,1
0.1,3.25,1
0.1,3.5,1
0.1,3.75,1
0.1,4,1
0.1,4.25,1
0.1,4.5,1
0.1,4.75,1
0.1,5,1
0.1,5.25,1
0.1,5.5,1
0.1,5.75,1
0.1,6,1
