Migration Rate,Relative Center Density,2L2T - Invasion
0.02,1,0.11210088
0.02,1.25,0.1444239
0.02,1.5,0.1788562
0.02,1.75,0.1886592
0.02,2,0.2089238
0.02,2.25,0.228417
0.02,2.5,0.2295965
0.02,2.75,0.2386305
0.02,3,0.2481647
0.02,3.25,0.2516264
0.02,3.5,0.2662174
0.02,3.75,0.2695172
0.02,4,0.2713752
0.02,4.25,0.2831875
0.02,4.5,0.2886925
0.02,4.75,0.2884286
0.02,5,0.3005686
0.02,5.25,0.3009252
0.02,5.5,0.306964
0.02,5.75,0.3076167
0.02,6,0.3153348
0.025,1,0.1317579
0.025,1.25,0.1787247
0.025,1.5,0.2246787
0.025,1.75,0.2459164
0.025,2,0.2695493
0.025,2.25,0.2765666
0.025,2.5,0.297689
0.025,2.75,0.3053142
0.025,3,0.3179874
0.025,3.25,0.3257401
0.025,3.5,0.3401681
0.025,3.75,0.3440737
0.025,4,0.3532164
0.025,4.25,0.3661665
0.025,4.5,0.3670994
0.025,4.75,0.3666561
0.025,5,0.3769432
0.025,5.25,0.3875181
0.025,5.5,0.3895283
0.025,5.75,0.3969907
0.025,6,0.4100589
0.03,1,0.1439092
0.03,1.25,0.2203378
0.03,1.5,0.2638751
0.03,1.75,0.2988184
0.03,2,0.3132108
0.03,2.25,0.3424842
0.03,2.5,0.3585276
0.03,2.75,0.3848691
0.03,3,0.3950279
0.03,3.25,0.4035005
0.03,3.5,0.4277144
0.03,3.75,0.4230702
0.03,4,0.4441277
0.03,4.25,0.4492176
0.03,4.5,0.457786
0.03,4.75,0.4701716
0.03,5,0.4949302
0.03,5.25,0.4877948
0.03,5.5,0.4924865
0.03,5.75,0.4956309
0.03,6,0.5075163
0.035,1,0.1550385
0.035,1.25,0.246769
0.035,1.5,0.3099496
0.035,1.75,0.352114
0.035,2,0.3835358
0.035,2.25,0.4082611
0.035,2.5,0.4395225
0.035,2.75,0.4565869
0.035,3,0.4860447
0.035,3.25,0.5061576
0.035,3.5,0.5299623
0.035,3.75,0.5401444
0.035,4,0.5603306
0.035,4.25,0.5730401
0.035,4.5,0.5780512
0.035,4.75,0.6096764
0.035,5,0.6111725
0.035,5.25,0.6295189
0.035,5.5,0.628881
0.035,5.75,0.6429487
0.035,6,0.6364383
0.04,1,0.1721676
0.04,1.25,0.2867826
0.04,1.5,0.3697038
0.04,1.75,0.4283588
0.04,2,0.481607
0.04,2.25,0.5213451
0.04,2.5,0.5606805
0.04,2.75,0.5886352
0.04,3,0.6115171
0.04,3.25,0.641928
0.04,3.5,0.6533977
0.04,3.75,0.6817414
0.04,4,0.7020263
0.04,4.25,0.7142208
0.04,4.5,0.7165422
0.04,4.75,0.7205288
0.04,5,0.7454853
0.04,5.25,0.7518896
0.04,5.5,0.7560272
0.04,5.75,0.7625651
0.04,6,0.7697016
0.045,1,0.1710585
0.045,1.25,0.3134219
0.045,1.5,0.4290641
0.045,1.75,0.5308661
0.045,2,0.5744371
0.045,2.25,0.6213113
0.045,2.5,0.6700174
0.045,2.75,0.7126193
0.045,3,0.7274502
0.045,3.25,0.7502209
0.045,3.5,0.7642807
0.045,3.75,0.7832321
0.045,4,0.8099681
0.045,4.25,0.8077896
0.045,4.5,0.8251305
0.045,4.75,0.8286873
0.045,5,0.8368427
0.045,5.25,0.8534966
0.045,5.5,0.8572988
0.045,5.75,0.8580131
0.045,6,0.8681467
0.05,1,0.1607987
0.05,1.25,0.3407736
0.05,1.5,0.5146976
0.05,1.75,0.6152422
0.05,2,0.6989363
0.05,2.25,0.7491462
0.05,2.5,0.7687325
0.05,2.75,0.8133293
0.05,3,0.8280248
0.05,3.25,0.8462662
0.05,3.5,0.8603858
0.05,3.75,0.8707301
0.05,4,0.8821112
0.05,4.25,0.8953248
0.05,4.5,0.8982118
0.05,4.75,0.9112601
0.05,5,0.9086105
0.05,5.25,0.9120706
0.05,5.5,0.9170117
0.05,5.75,0.923447
0.05,6,0.9274082
0.055,1,0.1369848
0.055,1.25,0.3961042
0.055,1.5,0.6046573
0.055,1.75,0.7245759
0.055,2,0.7869234
0.055,2.25,0.8352259
0.055,2.5,0.870676
0.055,2.75,0.8878063
0.055,3,0.9000985
0.055,3.25,0.9052461
0.055,3.5,0.9175361
0.055,3.75,0.9239309
0.055,4,0.9258392
0.055,4.25,0.9298531
0.055,4.5,0.9338491
0.055,4.75,0.9339187
0.055,5,0.9369154
0.055,5.25,0.9396653
0.055,5.5,0.9423782
0.055,5.75,0.9426223
0.055,6,0.9451455
0.06,1,0.11810976
0.06,1.25,0.4500529
0.06,1.5,0.7175413
0.06,1.75,0.815976
0.06,2,0.8601215
0.06,2.25,0.8952139
0.06,2.5,0.9081666
0.06,2.75,0.9199308
0.06,3,0.9264904
0.06,3.25,0.9319874
0.06,3.5,0.936043
0.06,3.75,0.938328
0.06,4,0.9422706
0.06,4.25,0.9447581
0.06,4.5,0.9460356
0.06,4.75,0.947268
0.06,5,0.9494128
0.06,5.25,0.9526848
0.06,5.5,0.9530972
0.06,5.75,0.9539302
0.06,6,0.9528947
0.065,1,0.08686437
0.065,1.25,0.5274523
0.065,1.5,0.7821398
0.065,1.75,0.8799323
0.065,2,0.9101738
0.065,2.25,0.9211595
0.065,2.5,0.9321966
0.065,2.75,0.9340229
0.065,3,0.9397474
0.065,3.25,0.9402289
0.065,3.5,0.9453302
0.065,3.75,0.9483803
0.065,4,0.9489898
0.065,4.25,0.9541726
0.065,4.5,0.9533912
0.065,4.75,0.9565532
0.065,5,0.9569169
0.065,5.25,0.9558061
0.065,5.5,0.9568565
0.065,5.75,0.9574645
0.065,6,0.9581301
0.07,1,0.039267811
0.07,1.25,0.5549359
0.07,1.5,0.8513547
0.07,1.75,0.9013616
0.07,2,0.9237037
0.07,2.25,0.9327468
0.07,2.5,0.9406314
0.07,2.75,0.9440065
0.07,3,0.946284
0.07,3.25,0.9509754
0.07,3.5,0.9515664
0.07,3.75,0.9531787
0.07,4,0.955919
0.07,4.25,0.9567918
0.07,4.5,0.9576716
0.07,4.75,0.9576593
0.07,5,0.9564592
0.07,5.25,0.9603299
0.07,5.5,0.9615378
0.07,5.75,0.9631386
0.07,6,0.9621966
0.075,1,0.003021302
0.075,1.25,0.6379353
0.075,1.5,0.8835161
0.075,1.75,0.9193592
0.075,2,0.9334818
0.075,2.25,0.9406731
0.075,2.5,0.9478004
0.075,2.75,0.9488971
0.075,3,0.9524665
0.075,3.25,0.9523253
0.075,3.5,0.9549082
0.075,3.75,0.957666
0.075,4,0.9575879
