Migration Rate,Relative Center Density,RCT - Invasion
0.07,1,0
0.07,1.25,0
0.07,1.5,0
0.07,1.75,1.12E-05
0.07,2,0.001129683
0.07,2.25,0.17209699
0.07,2.5,0.4102708
0.07,2.75,0.5596907
0.07,3,0.6885778
0.07,3.25,0.7852845
0.07,3.5,0.8593815
0.07,3.75,0.9002704
0.07,4,0.9328787
0.07,4.25,0.9510737
0.07,4.5,0.9661272
0.07,4.75,0.9776297
0.07,5,0.9829537
0.07,5.25,0.9888883
0.07,5.5,0.9943523
0.07,5.75,0.9959456
0.07,6,0.9981379
0.075,1,0
0.075,1.25,0
0.075,1.5,0
0.075,1.75,0
0.075,2,4.42E-05
0.075,2.25,0.007408469
0.075,2.5,0.4097433
0.075,2.75,0.6265892
0.075,3,0.8048048
0.075,3.25,0.8867579
0.075,3.5,0.9324335
0.075,3.75,0.9688213
0.075,4,0.9785129
0.075,4.25,0.9913727
0.075,4.5,0.9961271
0.075,4.75,0.997421
0.075,5,0.9987845
0.075,5.25,0.9992107
0.075,5.5,0.9994657
0.075,5.75,0.999648
0.075,6,0.9997604
0.08,1,0
0.08,1.25,0
0.08,1.5,0
0.08,1.75,5.60E-06
0.08,2,0
0.08,2.25,0.000438928
0.08,2.5,0.3759288
0.08,2.75,0.6691211
0.08,3,0.8703766
0.08,3.25,0.9449967
0.08,3.5,0.9802963
0.08,3.75,0.9916111
0.08,4,0.9977736
0.08,4.25,0.9988638
0.08,4.5,0.9994481
0.08,4.75,0.9996075
0.08,5,0.9998721
0.08,5.25,0.999922
0.08,5.5,0.9999036
0.08,5.75,0.999981
0.08,6,0.9999858
0.085,1,0
0.085,1.25,0
0.085,1.5,0
0.085,1.75,0
0.085,2,5.52E-06
0.085,2.25,1.65E-05
0.085,2.5,0.157095357
0.085,2.75,0.6845647
0.085,3,0.9279783
0.085,3.25,0.9881544
0.085,3.5,0.9949993
0.085,3.75,0.9991309
0.085,4,0.9996959
0.085,4.25,0.9998237
0.085,4.5,0.9999259
0.085,4.75,0.999931
0.085,5,0.9999659
0.085,5.25,0.9999903
0.085,5.5,0.9999712
0.085,5.75,0.9999953
0.085,6,1
0.09,1,0
0.09,1.25,0
0.09,1.5,0
0.09,1.75,0
0.09,2,0
0.09,2.25,5.52E-06
0.09,2.5,0.002912595
0.09,2.75,0.615364
0.09,3,0.9619438
0.09,3.25,0.9950496
0.09,3.5,0.9989958
0.09,3.75,0.9997957
0.09,4,0.9998892
0.09,4.25,0.9999351
0.09,4.5,0.9999951
0.09,4.75,0.9999951
0.09,5,0.9999903
0.09,5.25,0.9999952
0.09,5.5,1
0.09,5.75,1
0.09,6,1
0.095,1,0
0.095,1.25,0
0.095,1.5,0
0.095,1.75,0
0.095,2,0
0.095,2.25,0
0.095,2.5,7.51E-05
0.095,2.75,0.39419778
0.095,3,0.9845021
0.095,3.25,0.9979368
0.095,3.5,0.9997743
0.095,3.75,0.9999192
0.095,4,0.9999398
0.095,4.25,0.9999902
0.095,4.5,0.9999901
0.095,4.75,1
0.095,5,1
0.095,5.25,1
0.095,5.5,1
0.095,5.75,1
0.095,6,1
0.1,1,0
0.1,1.25,0
0.1,1.5,0
0.1,1.75,0
0.1,2,5.47E-06
0.1,2.25,0
0.1,2.5,2.14E-05
0.1,2.75,0.156046748
0.1,3,0.9641906
0.1,3.25,0.9993283
0.1,3.5,0.999852
0.1,3.75,0.9999701
0.1,4,1
0.1,4.25,0.9999852
0.1,4.5,1
0.1,4.75,1
0.1,5,1
0.1,5.25,1
0.1,5.5,1
0.1,5.75,1
0.1,6,1
