Fitness,Migration Rate,Normal Allele - Persistance
0.6,0.07,0
0.62,0.07,0
0.64,0.07,0
0.66,0.07,0
0.68,0.07,0
0.7,0.07,0
0.72,0.07,0
0.74,0.07,2.46E-05
0.76,0.07,0.000166499
0.78,0.07,0.000773106
0.8,0.07,0.001886968
0.82,0.07,0.002879631
0.84,0.07,0.009852159
0.86,0.07,0.02616481
0.88,0.07,0.06455144
0.9,0.07,0.1665492
0.92,0.07,0.3050274
0.94,0.07,0.4743627
0.96,0.07,0.6707405
0.98,0.07,0.8103183
1,0.07,0.8831282
0.6,0.075,0
0.62,0.075,0
0.64,0.075,0
0.66,0.075,0
0.68,0.075,0
0.7,0.075,0
0.72,0.075,0
0.74,0.075,0
0.76,0.075,9.14E-05
0.78,0.075,0.000323806
0.8,0.075,0.001602771
0.82,0.075,0.003661812
0.84,0.075,0.010443777
0.86,0.075,0.02265438
0.88,0.075,0.05862155
0.9,0.075,0.1308945
0.92,0.075,0.2805035
0.94,0.075,0.486262
0.96,0.075,0.6333589
0.98,0.075,0.7824331
1,0.075,0.872125
0.6,0.08,0
0.62,0.08,0
0.64,0.08,0
0.66,0.08,0
0.68,0.08,0
0.7,0.08,0
0.72,0.08,0
0.74,0.08,8.27E-06
0.76,0.08,0.000191173
0.78,0.08,0.000353965
0.8,0.08,0.000327101
0.82,0.08,0.002160272
0.84,0.08,0.007687911
0.86,0.08,0.02019468
0.88,0.08,0.06037762
0.9,0.08,0.12227036
0.92,0.08,0.2368591
0.94,0.08,0.4412986
0.96,0.08,0.6146294
0.98,0.08,0.7666314
1,0.08,0.8514497
0.6,0.085,0
0.62,0.085,0
0.64,0.085,0
0.66,0.085,0
0.68,0.085,0
0.7,0.085,0
0.72,0.085,3.35E-05
0.74,0.085,0
0.76,0.085,3.30E-05
0.78,0.085,0.000244555
0.8,0.085,0.000482485
0.82,0.085,0.001782554
0.84,0.085,0.005428536
0.86,0.085,0.018899658
0.88,0.085,0.04626448
0.9,0.085,0.10947868
0.92,0.085,0.2465219
0.94,0.085,0.3961548
0.96,0.085,0.6103392
0.98,0.085,0.7427681
1,0.085,0.8296718
0.6,0.09,0
0.62,0.09,0
0.64,0.09,0
0.66,0.09,0
0.68,0.09,0
0.7,0.09,0
0.72,0.09,0
0.74,0.09,1.66E-05
0.76,0.09,0.000199965
0.78,0.09,0.000374308
0.8,0.09,0.000679057
0.82,0.09,0.00144029
0.84,0.09,0.005400031
0.86,0.09,0.01613333
0.88,0.09,0.04002662
0.9,0.09,0.09744092
0.92,0.09,0.2003914
0.94,0.09,0.390162
0.96,0.09,0.5728143
0.98,0.09,0.7146981
1,0.09,0.8261901
0.6,0.095,0
0.62,0.095,0
0.64,0.095,0
0.66,0.095,0
0.68,0.095,0
0.7,0.095,0
0.72,0.095,4.97E-05
0.74,0.095,0
0.76,0.095,0
0.78,0.095,5.74E-05
0.8,0.095,0.000767214
0.82,0.095,0.001607985
0.84,0.095,0.005233959
0.86,0.095,0.014199826
0.88,0.095,0.0350784
