Fitness,Migration Rate,RCT - Persistance
1,0.065,0.9916793
0.6,0.07,0
0.62,0.07,0
0.64,0.07,0
0.66,0.07,0
0.68,0.07,0
0.7,0.07,0
0.72,0.07,9.10E-05
0.74,0.07,0.085726103
0.76,0.07,0.5982252
0.78,0.07,0.8235547
0.8,0.07,0.8926183
0.82,0.07,0.9182622
0.84,0.07,0.9325811
0.86,0.07,0.9413942
0.88,0.07,0.9521504
0.9,0.07,0.9577677
0.92,0.07,0.9662085
0.94,0.07,0.9703809
0.96,0.07,0.9763058
0.98,0.07,0.9816627
1,0.07,0.9884717
0.6,0.075,0
0.62,0.075,0
0.64,0.075,0
0.66,0.075,0
0.68,0.075,0
0.7,0.075,0
0.72,0.075,0.000633678
0.74,0.075,0.113207433
0.76,0.075,0.7044837
0.78,0.075,0.8686512
0.8,0.075,0.906616
0.82,0.075,0.9243755
0.84,0.075,0.9316624
0.86,0.075,0.942331
0.88,0.075,0.9521185
0.9,0.075,0.9626356
0.92,0.075,0.9655608
0.94,0.075,0.976338
0.96,0.075,0.9792083
0.98,0.075,0.9845548
1,0.075,0.9891343
0.6,0.08,0
0.62,0.08,0
0.64,0.08,0
0.66,0.08,0
0.68,0.08,0
0.7,0.08,0
0.72,0.08,8.33E-05
0.74,0.08,0.203055253
0.76,0.08,0.7038652
0.78,0.08,0.8776168
0.8,0.08,0.9178231
0.82,0.08,0.9312521
0.84,0.08,0.9367327
0.86,0.08,0.9482431
0.88,0.08,0.9562271
0.9,0.08,0.9600869
0.92,0.08,0.9704236
0.94,0.08,0.974373
0.96,0.08,0.9807392
0.98,0.08,0.9831079
1,0.08,0.9889854
0.6,0.085,0
0.62,0.085,0
0.64,0.085,0
0.66,0.085,0
0.68,0.085,0
0.7,0.085,0
0.72,0.085,0.000108045
0.74,0.085,0.21850991
0.76,0.085,0.8153889
0.78,0.085,0.8865798
0.8,0.085,0.9166759
0.82,0.085,0.9275458
0.84,0.085,0.9387085
0.86,0.085,0.951357
0.88,0.085,0.9573618
0.9,0.085,0.9621323
0.92,0.085,0.9733174
0.94,0.085,0.9756126
0.96,0.085,0.9787658
0.98,0.085,0.9830302
1,0.085,0.9884174
0.6,0.09,0
0.62,0.09,0
0.64,0.09,0
0.66,0.09,0
0.68,0.09,0
0.7,0.09,0
0.72,0.09,0.004838526
0.74,0.09,0.394089394
0.76,0.09,0.7985345
0.78,0.09,0.8939044
0.8,0.09,0.917231
0.82,0.09,0.9340594
0.84,0.09,0.9429254
0.86,0.09,0.9512941
0.88,0.09,0.9592862
0.9,0.09,0.9666389
0.92,0.09,0.9723565
0.94,0.09,0.9742887
0.96,0.09,0.9788961
0.98,0.09,0.9831234
1,0.09,0.9847082
0.6,0.095,0
0.62,0.095,0
0.64,0.095,0
0.66,0.095,0
0.68,0.095,0
0.7,0.095,0
0.72,0.095,0.011229184
0.74,0.095,0.402266055
0.76,0.095,0.8543668
0.78,0.095,0.9027176
0.8,0.095,0.9192436
0.82,0.095,0.9354583
0.84,0.095,0.9482601
0.86,0.095,0.9576884
0.88,0.095,0.9600309
0.9,0.095,0.9647262
0.92,0.095,0.9697519
0.94,0.095,0.9780712
0.96,0.095,0.9792892
0.98,0.095,0.9843061
1,0.095,0.9869971
0.6,0.1,0
0.62,0.1,0
0.64,0.1,0
0.66,0.1,0
0.68,0.1,0
0.7,0.1,0
0.72,0.1,0.03368441
0.74,0.1,0.55774311
0.76,0.1,0.8680811
0.78,0.1,0.9084098
0.8,0.1,0.9273782
0.82,0.1,0.9386791
0.84,0.1,0.9473723
0.86,0.1,0.9547402
0.88,0.1,0.9621392
0.9,0.1,0.9678966
0.92,0.1,0.9714258
0.94,0.1,0.9759495
0.96,0.1,0.9795806
0.98,0.1,0.9824194
1,0.1,0.9845533
