Fitness,Migration Rate,2L2T - Persistance
0.6,0.02,0.7592544
0.62,0.02,0.7865226
0.64,0.02,0.8147877
0.66,0.02,0.8440643
0.68,0.02,0.8765927
0.7,0.02,0.9044153
0.72,0.02,0.9222299
0.74,0.02,0.9322731
0.76,0.02,0.9607688
0.78,0.02,0.9737796
0.8,0.02,0.9718463
0.82,0.02,0.9878004
0.84,0.02,0.991277
0.86,0.02,0.9929355
0.88,0.02,0.9944273
0.9,0.02,0.9972424
0.92,0.02,0.9978949
0.94,0.02,0.9977851
0.96,0.02,0.9986474
0.98,0.02,0.9993581
1,0.02,0.9997213
0.6,0.025,0.6617232
0.62,0.025,0.734508
0.64,0.025,0.7606627
0.66,0.025,0.7857891
0.68,0.025,0.8042909
0.7,0.025,0.8367358
0.72,0.025,0.8624394
0.74,0.025,0.8939888
0.76,0.025,0.915389
0.78,0.025,0.9332591
0.8,0.025,0.9669405
0.82,0.025,0.9730198
0.84,0.025,0.9808154
0.86,0.025,0.9874689
0.88,0.025,0.9877602
0.9,0.025,0.9956858
0.92,0.025,0.9956566
0.94,0.025,0.9963231
0.96,0.025,0.9984012
0.98,0.025,0.998812
1,0.025,0.9994441
0.6,0.03,0.6397933
0.62,0.03,0.6830238
0.64,0.03,0.726082
0.66,0.03,0.7597629
0.68,0.03,0.7886626
0.7,0.03,0.8150185
0.72,0.03,0.8297238
0.74,0.03,0.8569543
0.76,0.03,0.8964744
0.78,0.03,0.9172406
0.8,0.03,0.9392667
0.82,0.03,0.9535428
0.84,0.03,0.9663541
0.86,0.03,0.9788556
0.88,0.03,0.9830652
0.9,0.03,0.9869951
0.92,0.03,0.992683
0.94,0.03,0.9957761
0.96,0.03,0.9967925
0.98,0.03,0.9980946
1,0.03,0.9981214
0.6,0.035,0.5446893
0.62,0.035,0.6803118
0.64,0.035,0.7307014
0.66,0.035,0.7528757
0.68,0.035,0.784678
0.7,0.035,0.7974452
0.72,0.035,0.8261265
0.74,0.035,0.8537762
0.76,0.035,0.8722766
0.78,0.035,0.902425
0.8,0.035,0.920946
0.82,0.035,0.9369654
0.84,0.035,0.9544289
0.86,0.035,0.9687324
0.88,0.035,0.9685045
0.9,0.035,0.9820556
0.92,0.035,0.9864167
0.94,0.035,0.9922599
0.96,0.035,0.9954052
0.98,0.035,0.9975327
1,0.035,0.997988
0.6,0.04,0.5643692
0.62,0.04,0.6756995
0.64,0.04,0.7258572
0.66,0.04,0.7533613
0.68,0.04,0.7785689
0.7,0.04,0.7947061
0.72,0.04,0.8169869
0.74,0.04,0.8423145
0.76,0.04,0.8701
0.78,0.04,0.884673
0.8,0.04,0.9148497
0.82,0.04,0.9270872
0.84,0.04,0.938831
0.86,0.04,0.9536654
0.88,0.04,0.9657928
0.9,0.04,0.9776527
0.92,0.04,0.9831984
0.94,0.04,0.9862346
0.96,0.04,0.9921199
0.98,0.04,0.9954435
1,0.04,0.9954699
0.6,0.045,0.5442194
0.62,0.045,0.6681747
0.64,0.045,0.73293
0.66,0.045,0.7671377
0.68,0.045,0.7810119
0.7,0.045,0.7997049
0.72,0.045,0.8157269
0.74,0.045,0.8456311
0.76,0.045,0.8661704
0.78,0.045,0.8890545
0.8,0.045,0.9062352
0.82,0.045,0.9228141
0.84,0.045,0.9360901
0.86,0.045,0.9467385
0.88,0.045,0.9579004
0.9,0.045,0.9688098
0.92,0.045,0.9770837
0.94,0.045,0.982674
0.96,0.045,0.9879881
0.98,0.045,0.9927442
1,0.045,0.9945835
0.6,0.05,0.5511569
0.62,0.05,0.6685991
0.64,0.05,0.7324942
0.66,0.05,0.7627555
