Fitness,Migration Rate,1L1T - Persistance
0.6,0,1
0.6,0.005,0.9826927
0.6,0.01,0.9609575
0.6,0.015,0.095811222
0.6,0.02,9.54E-05
0.6,0.025,0
0.6,0.03,0
0.6,0.035,0
0.6,0.04,0
0.6,0.045,0
0.6,0.05,0
0.6,0.055,0
0.6,0.06,0
0.6,0.065,0
0.6,0.07,0
0.6,0.075,0
0.6,0.08,0
0.6,0.085,0
0.6,0.09,0
0.6,0.095,0
0.6,0.1,0
0.62,0,1
0.62,0.005,0.9815269
0.62,0.01,0.9636797
0.62,0.015,0.9445746
0.62,0.02,0.188341289
0.62,0.025,0
0.62,0.03,0
0.62,0.035,0
0.62,0.04,0
0.62,0.045,0
0.62,0.05,0
0.62,0.055,0
0.62,0.06,0
0.62,0.065,0
0.62,0.07,0
0.62,0.075,0
0.62,0.08,0
0.62,0.085,0
0.62,0.09,0
0.62,0.095,0
0.62,0.1,0
0.64,0,1
0.64,0.005,0.9840673
0.64,0.01,0.9660162
0.64,0.015,0.9469906
0.64,0.02,0.9259865
0.64,0.025,0.426400341
0.64,0.03,5.00E-06
0.64,0.035,0
0.64,0.04,0
0.64,0.045,0
0.64,0.05,0
0.64,0.055,0
0.64,0.06,0
0.64,0.065,0
0.64,0.07,0
0.64,0.075,0
0.64,0.08,0
0.64,0.085,0
0.64,0.09,0
0.64,0.095,0
0.64,0.1,0
0.66,0,1
0.66,0.005,0.9843629
0.66,0.01,0.967186
0.66,0.015,0.9487225
0.66,0.02,0.9296388
0.66,0.025,0.9109511
0.66,0.03,0.534820427
0.66,0.035,5.01E-06
0.66,0.04,0
0.66,0.045,0
0.66,0.05,0
0.66,0.055,0
0.66,0.06,0
0.66,0.065,0
0.66,0.07,0
0.66,0.075,0
0.66,0.08,0
0.66,0.085,0
0.66,0.09,0
0.66,0.095,0
0.66,0.1,0
0.68,0,1
0.68,0.005,0.983177
0.68,0.01,0.9666392
0.68,0.015,0.9503642
0.68,0.02,0.9340483
0.68,0.025,0.9133823
0.68,0.03,0.8888796
0.68,0.035,0.42496016
0.68,0.04,5.01E-06
0.68,0.045,0
0.68,0.05,0
0.68,0.055,0
0.68,0.06,0
0.68,0.065,0
0.68,0.07,0
0.68,0.075,0
0.68,0.08,0
0.68,0.085,0
0.68,0.09,0
0.68,0.095,0
0.68,0.1,0
0.7,0,1
0.7,0.005,0.9841375
0.7,0.01,0.9686709
0.7,0.015,0.9513629
0.7,0.02,0.9362128
0.7,0.025,0.915713
0.7,0.03,0.8966888
0.7,0.035,0.8704635
0.7,0.04,0.340112006
0.7,0.045,2.00E-05
0.7,0.05,0
0.7,0.055,0
0.7,0.06,0
0.7,0.065,0
0.7,0.07,0
0.7,0.075,0
0.7,0.08,0
0.7,0.085,0
0.7,0.09,0
0.7,0.095,0
0.7,0.1,0
0.72,0,1
0.72,0.005,0.98466
0.72,0.01,0.9709909
0.72,0.015,0.9512407
0.72,0.02,0.936047
0.72,0.025,0.9192301
0.72,0.03,0.8994024
0.72,0.035,0.8796448
0.72,0.04,0.8520856
0.72,0.045,0.34687673
0.72,0.05,3.01E-05
0.72,0.055,0
0.72,0.06,0
0.72,0.065,0
0.72,0.07,0
0.72,0.075,0
0.72,0.08,0
0.72,0.085,0
0.72,0.09,0
0.72,0.095,0
0.72,0.1,0
0.74,0,1
0.74,0.005,0.9851708
0.74,0.01,0.9704734
0.74,0.015,0.9565863
0.74,0.02,0.939278
0.74,0.025,0.9204898
0.74,0.03,0.9034523
0.74,0.035,0.8844948
0.74,0.04,0.8642797
0.74,0.045,0.8232189
0.74,0.05,0.198397392
0.74,0.055,2.00E-05
0.74,0.06,0
0.74,0.065,0
0.74,0.07,0
0.74,0.075,0
0.74,0.08,0
0.74,0.085,0
0.74,0.09,0
0.74,0.095,0
0.74,0.1,0
0.76,0,1
0.76,0.005,0.9854803
0.76,0.01,0.9711181
0.76,0.015,0.9557635
0.76,0.02,0.9401024
