Fitness,Migration Rate,2L2T - Persistance
0.8,0.015,0.834105
0.8,0.02,0.817355
0.8,0.025,0.800035
0.8,0.03,0.78667
0.8,0.035,0.77113
0.8,0.04,0.759215
0.8,0.045,0.745975
0.8,0.05,0.73564
0.8,0.055,0.721635
0.8,0.06,0.718795
0.8,0.065,0.70821
0.8,0.07,0.69882
0.8,0.075,0.694595
0.8,0.08,0.69683
0.8,0.085,0.69274
0.8,0.09,0.69655
0.8,0.095,0.701595
0.8,0.1,0.71906
0.82,0,0.911235
0.82,0.005,0.88298
0.82,0.01,0.86169
0.82,0.015,0.836875
0.82,0.02,0.82296
0.82,0.025,0.80736
0.82,0.03,0.791605
0.82,0.035,0.779415
0.82,0.04,0.76542
0.82,0.045,0.754725
0.82,0.05,0.745
0.82,0.055,0.735325
0.82,0.06,0.7281
0.82,0.065,0.72328
0.82,0.07,0.726285
0.82,0.075,0.72804
0.82,0.08,0.73096
0.82,0.085,0.750425
0.82,0.09,0.763095
0.82,0.095,0.79077
0.82,0.1,0.80616
0.84,0,0.91664
0.84,0.005,0.88701
0.84,0.01,0.862825
0.84,0.015,0.84606
0.84,0.02,0.83052
0.84,0.025,0.81013
0.84,0.03,0.79862
0.84,0.035,0.785765
0.84,0.04,0.773345
0.84,0.045,0.763475
0.84,0.05,0.75586
0.84,0.055,0.748435
0.84,0.06,0.74691
0.84,0.065,0.742575
0.84,0.07,0.753925
0.84,0.075,0.76966
0.84,0.08,0.78769
0.84,0.085,0.80218
0.84,0.09,0.82433
0.84,0.095,0.833875
0.84,0.1,0.84488
0.86,0,0.92388
0.86,0.005,0.89131
0.86,0.01,0.86966
0.86,0.015,0.848545
0.86,0.02,0.832775
0.86,0.025,0.81721
0.86,0.03,0.805105
0.86,0.035,0.79166
0.86,0.04,0.781715
0.86,0.045,0.769985
0.86,0.05,0.764575
0.86,0.055,0.759835
0.86,0.06,0.763235
0.86,0.065,0.771255
0.86,0.07,0.781965
0.86,0.075,0.797735
0.86,0.08,0.8202
0.86,0.085,0.83925
0.86,0.09,0.853585
0.86,0.095,0.86551
0.86,0.1,0.8659
0.88,0,0.929335
0.88,0.005,0.898235
0.88,0.01,0.875685
0.88,0.015,0.855265
0.88,0.02,0.83662
0.88,0.025,0.82375
0.88,0.03,0.812055
0.88,0.035,0.799305
0.88,0.04,0.789875
0.88,0.045,0.78028
0.88,0.05,0.77307
0.88,0.055,0.77378
0.88,0.06,0.782655
0.88,0.065,0.79788
0.88,0.07,0.816005
0.88,0.075,0.83417
0.88,0.08,0.849055
0.88,0.085,0.86449
0.88,0.09,0.869315
0.88,0.095,0.875745
0.88,0.1,0.87949
0.9,0,0.932015
0.9,0.005,0.903705
0.9,0.01,0.878535
0.9,0.015,0.86047
0.9,0.02,0.84314
0.9,0.025,0.82835
0.9,0.03,0.81477
0.9,0.035,0.80354
0.9,0.04,0.79586
0.9,0.045,0.78867
0.9,0.05,0.786005
0.9,0.055,0.78811
0.9,0.06,0.804325
0.9,0.065,0.8229
0.9,0.07,0.84319
0.9,0.075,0.860335
0.9,0.08,0.871875
0.9,0.085,0.876585
0.9,0.09,0.883615
0.9,0.095,0.886035
0.9,0.1,0.893505
0.92,0,0.93922
0.92,0.005,0.910025
0.92,0.01,0.884655
0.92,0.015,0.86694
0.92,0.02,0.848015
0.92,0.025,0.833635
0.92,0.03,0.81869
0.92,0.035,0.810305
0.92,0.04,0.80142
0.92,0.045,0.79863
0.92,0.05,0.802725
0.92,0.055,0.814635
0.92,0.06,0.833655
0.92,0.065,0.849105
0.92,0.07,0.86376
0.92,0.075,0.876395
0.92,0.08,0.88559
0.92,0.085,0.888475
0.92,0.09,0.89519
0.92,0.095,0.897725
0.92,0.1,0.89853
0.94,0,0.944105
0.94,0.005,0.91453
0.94,0.01,0.888065
0.94,0.015,0.870485
0.94,0.02,0.85141
0.94,0.025,0.83803
0.94,0.03,0.826135
0.94,0.035,0.8171
0.94,0.04,0.811395
0.94,0.045,0.81181
0.94,0.05,0.819575
0.94,0.055,0.837585
0.94,0.06,0.859635
0.94,0.065,0.871555
0.94,0.07,0.880825
0.94,0.075,0.88838
0.94,0.08,0.89458
0.94,0.085,0.89899
0.94,0.09,0.903235
0.94,0.095,0.906885
0.94,0.1,0.908845
0.96,0,0.946605
0.96,0.005,0.915545
0.96,0.01,0.894315
0.96,0.015,0.873385
0.96,0.02,0.85809
0.96,0.025,0.84561
0.96,0.03,0.832745
0.96,0.035,0.82409
0.96,0.04,0.8201
0.96,0.045,0.825095
0.96,0.05,0.83658
0.96,0.055,0.859685
0.96,0.06,0.87868
0.96,0.065,0.88844
0.96,0.07,0.89446
0.96,0.075,0.89981
0.96,0.08,0.90303
0.96,0.085,0.90933
0.96,0.09,0.90937
0.96,0.095,0.911465
0.96,0.1,0.916555
0.98,0,0.953765
0.98,0.005,0.922475
0.98,0.01,0.897725
0.98,0.015,0.878265
0.98,0.02,0.86402
0.98,0.025,0.848525
0.98,0.03,0.837145
0.98,0.035,0.827455
0.98,0.04,0.83406
0.98,0.045,0.837825
0.98,0.05,0.85941
0.98,0.055,0.87897
0.98,0.06,0.89038
0.98,0.065,0.897155
0.98,0.07,0.90599
0.98,0.075,0.90977
0.98,0.08,0.91208
0.98,0.085,0.91459
0.98,0.09,0.918315
0.98,0.095,0.91931
0.98,0.1,0.92215
1,0,0.959235
1,0.005,0.927105
1,0.01,0.904425
1,0.015,0.8836
1,0.02,0.86744
1,0.025,0.853545
1,0.03,0.842995
1,0.035,0.840625
1,0.04,0.845335
1,0.045,0.858595
1,0.05,0.88077
1,0.055,0.892345
1,0.06,0.90317
1,0.065,0.907305
1,0.07,0.914105
1,0.075,0.916645
1,0.08,0.919205
1,0.085,0.922485
1,0.09,0.925235
1,0.095,0.924865
1,0.1,0.92696
