Fitness,Migration Rate,Normal Allele - Persistance
0.78,0.05,0.07628157
0.78,0.055,0.07112598
0.78,0.06,0.06927491
0.78,0.065,0.06695932
0.78,0.07,0.06264464
0.78,0.075,0.06304673
0.78,0.08,0.06040675
0.78,0.085,0.06090395
0.78,0.09,0.05966818
0.78,0.095,0.05924456
0.78,0.1,0.05707655
0.8,0,0.2714521
0.8,0.005,0.226982
0.8,0.01,0.2029252
0.8,0.015,0.1739068
0.8,0.02,0.1559051
0.8,0.025,0.1364426
0.8,0.03,0.1237586
0.8,0.035,0.1153429
0.8,0.04,0.10434865
0.8,0.045,0.10142423
0.8,0.05,0.09401127
0.8,0.055,0.08868628
0.8,0.06,0.08623583
0.8,0.065,0.08084339
0.8,0.07,0.07962576
0.8,0.075,0.07934203
0.8,0.08,0.07817523
0.8,0.085,0.07468229
0.8,0.09,0.07484878
0.8,0.095,0.07360888
0.8,0.1,0.0720534
0.82,0,0.3228556
0.82,0.005,0.2874588
0.82,0.01,0.2443117
0.82,0.015,0.2112482
0.82,0.02,0.185654
0.82,0.025,0.1681457
0.82,0.03,0.149484
0.82,0.035,0.1426754
0.82,0.04,0.1320739
0.82,0.045,0.1226846
0.82,0.05,0.1216545
0.82,0.055,0.11241454
0.82,0.06,0.1056236
0.82,0.065,0.10235299
0.82,0.07,0.09832584
0.82,0.075,0.10031049
0.82,0.08,0.09656509
0.82,0.085,0.09722852
0.82,0.09,0.09266343
0.82,0.095,0.0931884
0.82,0.1,0.09313907
0.84,0,0.3924635
0.84,0.005,0.3287795
0.84,0.01,0.2867244
0.84,0.015,0.252566
0.84,0.02,0.2251903
0.84,0.025,0.2046118
0.84,0.03,0.1845142
0.84,0.035,0.1724595
0.84,0.04,0.1559633
0.84,0.045,0.1538354
0.84,0.05,0.1409629
0.84,0.055,0.1365557
0.84,0.06,0.1336404
0.84,0.065,0.1280238
0.84,0.07,0.1238822
0.84,0.075,0.1228686
0.84,0.08,0.118504
0.84,0.085,0.1163979
0.84,0.09,0.1135796
0.84,0.095,0.117496
0.84,0.1,0.11217549
0.86,0,0.4529002
0.86,0.005,0.3853074
0.86,0.01,0.3360566
0.86,0.015,0.2966343
0.86,0.02,0.2646778
0.86,0.025,0.2382762
0.86,0.03,0.2171945
0.86,0.035,0.1976898
0.86,0.04,0.1934535
0.86,0.045,0.177421
0.86,0.05,0.1699465
0.86,0.055,0.166292
0.86,0.06,0.1549975
0.86,0.065,0.1562249
0.86,0.07,0.1461865
0.86,0.075,0.1465377
0.86,0.08,0.1471512
0.86,0.085,0.1378254
0.86,0.09,0.1417432
0.86,0.095,0.1375418
0.86,0.1,0.1338855
0.88,0,0.5155975
0.88,0.005,0.431458
0.88,0.01,0.3872318
0.88,0.015,0.3408509
0.88,0.02,0.3060749
0.88,0.025,0.2820101
0.88,0.03,0.2613503
0.88,0.035,0.2376374
0.88,0.04,0.2157018
0.88,0.045,0.2111076
0.88,0.05,0.1986189
0.88,0.055,0.1964336
0.88,0.06,0.18944
0.88,0.065,0.187513
0.88,0.07,0.1804619
0.88,0.075,0.1745697
0.88,0.08,0.1737409
0.88,0.085,0.1724393
0.88,0.09,0.1675257
0.88,0.095,0.1664752
0.88,0.1,0.1641153
0.9,0,0.5774633
0.9,0.005,0.4940457
0.9,0.01,0.4361079
0.9,0.015,0.399787
0.9,0.02,0.3476858
0.9,0.025,0.3202362
0.9,0.03,0.2911334
0.9,0.035,0.2752058
0.9,0.04,0.2640091
0.9,0.045,0.2510206
0.9,0.05,0.2355815
0.9,0.055,0.2325698
0.9,0.06,0.2265888
0.9,0.065,0.2212687
0.9,0.07,0.2143467
0.9,0.075,0.2031607
0.9,0.08,0.2060858
0.9,0.085,0.203743
0.9,0.09,0.199711
0.9,0.095,0.1959556
0.9,0.1,0.192954
0.92,0,0.6216675
0.92,0.005,0.5557873
0.92,0.01,0.4913283
0.92,0.015,0.4393829
0.92,0.02,0.4045751
0.92,0.025,0.3586076
0.92,0.03,0.3415353
0.92,0.035,0.3188656
0.92,0.04,0.3079449
0.92,0.045,0.2881928
0.92,0.05,0.2752047
0.92,0.055,0.2639209
0.92,0.06,0.260926
0.92,0.065,0.2542972
0.92,0.07,0.2492788
0.92,0.075,0.2521493
0.92,0.08,0.2400518
0.92,0.085,0.2406211
0.92,0.09,0.2379279
0.92,0.095,0.2338815
0.92,0.1,0.2295332
0.94,0,0.6726373
0.94,0.005,0.5943936
0.94,0.01,0.5413034
0.94,0.015,0.4805292
0.94,0.02,0.43851
0.94,0.025,0.4145946
0.94,0.03,0.3780166
0.94,0.035,0.3641915
0.94,0.04,0.3482889
0.94,0.045,0.3279877
0.94,0.05,0.312497
0.94,0.055,0.3134169
0.94,0.06,0.3068518
0.94,0.065,0.2971045
0.94,0.07,0.2864321
0.94,0.075,0.2800439
0.94,0.08,0.283447
0.94,0.085,0.2748722
0.94,0.09,0.2703037
0.94,0.095,0.2805549
0.94,0.1,0.2711262
0.96,0,0.7234089
0.96,0.005,0.6474248
0.96,0.01,0.5832115
0.96,0.015,0.5334354
0.96,0.02,0.4933513
0.96,0.025,0.4584892
0.96,0.03,0.4224859
0.96,0.035,0.4121475
0.96,0.04,0.384474
0.96,0.045,0.3713519
0.96,0.05,0.3603826
0.96,0.055,0.3508252
0.96,0.06,0.3399665
0.96,0.065,0.3388607
0.96,0.07,0.3284798
0.96,0.075,0.3270587
0.96,0.08,0.3289682
0.96,0.085,0.3228169
0.96,0.09,0.314589
0.96,0.095,0.3116681
0.96,0.1,0.3142928
0.98,0,0.7648749
0.98,0.005,0.687667
0.98,0.01,0.6294864
0.98,0.015,0.5754497
0.98,0.02,0.5310594
0.98,0.025,0.4954657
0.98,0.03,0.4649953
0.98,0.035,0.4516639
0.98,0.04,0.4334468
0.98,0.045,0.4187302
0.98,0.05,0.4106392
0.98,0.055,0.3925894
0.98,0.06,0.3874873
0.98,0.065,0.3808325
0.98,0.07,0.3704323
0.98,0.075,0.3701954
0.98,0.08,0.3735127
0.98,0.085,0.3595818
0.98,0.09,0.3626375
0.98,0.095,0.3622862
0.98,0.1,0.3546354
1,0,0.79846
1,0.005,0.726885
1,0.01,0.66727
1,0.015,0.616205
1,0.02,0.5752
1,0.025,0.54855
1,0.03,0.515875
1,0.035,0.499335
1,0.04,0.475755
1,0.045,0.45977
1,0.05,0.44398
1,0.055,0.437705
1,0.06,0.43308
1,0.065,0.421845
1,0.07,0.421055
1,0.075,0.41666
1,0.08,0.41341
1,0.085,0.40624
1,0.09,0.40485
1,0.095,0.404075
1,0.1,0.40853
