Fitness,Migration Rate,RCT - Invasion
0.8,0.04,0.0231
0.8,0.045,0.01189
0.8,0.05,0.00607
0.8,0.055,0.00243
0.8,0.06,0.00131
0.8,0.065,0.00061
0.8,0.07,0.00039
0.8,0.075,0.00021
0.8,0.08,0.00038
0.8,0.085,0.00013
0.8,0.09,6.00E-05
0.8,0.095,0.00013
0.8,0.1,2.00E-05
0.82,0,0
0.82,0.005,0.01248
0.82,0.01,0.02323
0.82,0.015,0.03493
0.82,0.02,0.04094
0.82,0.025,0.0486
0.82,0.03,0.05055
0.82,0.035,0.04742
0.82,0.04,0.03717
0.82,0.045,0.0209
0.82,0.05,0.00912
0.82,0.055,0.00513
0.82,0.06,0.0026
0.82,0.065,0.00147
0.82,0.07,0.00096
0.82,0.075,0.00039
0.82,0.08,0.00029
0.82,0.085,0.00024
0.82,0.09,0.00016
0.82,0.095,0.00014
0.82,0.1,7.00E-05
0.84,0,0
0.84,0.005,0.01198
0.84,0.01,0.02443
0.84,0.015,0.03374
0.84,0.02,0.04395
0.84,0.025,0.05044
0.84,0.03,0.05444
0.84,0.035,0.05604
0.84,0.04,0.04769
0.84,0.045,0.03161
0.84,0.05,0.02018
0.84,0.055,0.00973
0.84,0.06,0.00418
0.84,0.065,0.0026
0.84,0.07,0.00138
0.84,0.075,0.00116
0.84,0.08,0.00083
0.84,0.085,0.00046
0.84,0.09,0.00029
0.84,0.095,0.00017
0.84,0.1,0.00026
0.86,0,0
0.86,0.005,0.01204
0.86,0.01,0.02412
0.86,0.015,0.03751
0.86,0.02,0.04695
0.86,0.025,0.05498
0.86,0.03,0.06086
0.86,0.035,0.06262
0.86,0.04,0.05455
0.86,0.045,0.04507
0.86,0.05,0.03295
0.86,0.055,0.01867
0.86,0.06,0.00798
0.86,0.065,0.00466
0.86,0.07,0.00281
0.86,0.075,0.00148
0.86,0.08,0.00124
0.86,0.085,0.00065
0.86,0.09,0.00064
0.86,0.095,0.00051
0.86,0.1,0.00034
0.88,0,0
0.88,0.005,0.01248
0.88,0.01,0.02549
0.88,0.015,0.03823
0.88,0.02,0.05016
0.88,0.025,0.05829
0.88,0.03,0.06383
0.88,0.035,0.06842
0.88,0.04,0.06528
0.88,0.045,0.059
0.88,0.05,0.04943
0.88,0.055,0.03525
0.88,0.06,0.02403
0.88,0.065,0.01199
0.88,0.07,0.00537
0.88,0.075,0.00545
0.88,0.08,0.00279
0.88,0.085,0.00141
0.88,0.09,0.00104
0.88,0.095,0.00068
0.88,0.1,0.00049
0.9,0,0
0.9,0.005,0.01208
0.9,0.01,0.02711
0.9,0.015,0.0388
0.9,0.02,0.04953
0.9,0.025,0.06034
0.9,0.03,0.06878
0.9,0.035,0.07434
0.9,0.04,0.07796
0.9,0.045,0.07284
0.9,0.05,0.06494
0.9,0.055,0.05006
0.9,0.06,0.03774
0.9,0.065,0.02217
0.9,0.07,0.0155
0.9,0.075,0.00866
0.9,0.08,0.0067
0.9,0.085,0.00433
0.9,0.09,0.0027
0.9,0.095,0.00183
0.9,0.1,0.00153
0.92,0,0
0.92,0.005,0.01435
0.92,0.01,0.026
0.92,0.015,0.0404
0.92,0.02,0.05079
0.92,0.025,0.06318
0.92,0.03,0.07467
0.92,0.035,0.08309
0.92,0.04,0.08039
0.92,0.045,0.08496
0.92,0.05,0.08418
0.92,0.055,0.06874
0.92,0.06,0.06075
0.92,0.065,0.04065
