Fitness,Migration Rate,Normal Allele - Invasion
0.78,0.065,0.09380955
0.78,0.07,0.09602635
0.78,0.075,0.09878948
0.78,0.08,0.09476401
0.78,0.085,0.09415042
0.78,0.09,0.09097895
0.78,0.095,0.09176875
0.78,0.1,0.09042466
0.8,0,0
0.8,0.005,0.03120924
0.8,0.01,0.05608156
0.8,0.015,0.07511686
0.8,0.02,0.08628466
0.8,0.025,0.09595023
0.8,0.03,0.09666553
0.8,0.035,0.10356793
0.8,0.04,0.11029457
0.8,0.045,0.1127217
0.8,0.05,0.11773949
0.8,0.055,0.1183371
0.8,0.06,0.1219675
0.8,0.065,0.1146685
0.8,0.07,0.119746
0.8,0.075,0.1162963
0.8,0.08,0.1187564
0.8,0.085,0.1146618
0.8,0.09,0.1188314
0.8,0.095,0.1135845
0.8,0.1,0.1121361
0.82,0,0
0.82,0.005,0.03546198
0.82,0.01,0.06197838
0.82,0.015,0.08208634
0.82,0.02,0.09440117
0.82,0.025,0.11099391
0.82,0.03,0.1206642
0.82,0.035,0.1326773
0.82,0.04,0.1335436
0.82,0.045,0.1318813
0.82,0.05,0.1366026
0.82,0.055,0.1307883
0.82,0.06,0.137675
0.82,0.065,0.1418635
0.82,0.07,0.1492069
0.82,0.075,0.1357857
0.82,0.08,0.1448082
0.82,0.085,0.136179
0.82,0.09,0.1397191
0.82,0.095,0.1384064
0.82,0.1,0.1397554
0.84,0,0
0.84,0.005,0.04007119
0.84,0.01,0.0696015
0.84,0.015,0.09740767
0.84,0.02,0.1168507
0.84,0.025,0.1228404
0.84,0.03,0.1423994
0.84,0.035,0.1434572
0.84,0.04,0.1537372
0.84,0.045,0.1625889
0.84,0.05,0.1538834
0.84,0.055,0.1697868
0.84,0.06,0.1677344
0.84,0.065,0.1701611
0.84,0.07,0.16684
0.84,0.075,0.1678382
0.84,0.08,0.1703245
0.84,0.085,0.170064
0.84,0.09,0.1672681
0.84,0.095,0.1662406
0.84,0.1,0.1615578
0.86,0,0
0.86,0.005,0.0441546
0.86,0.01,0.07972472
0.86,0.015,0.10769843
0.86,0.02,0.1369442
0.86,0.025,0.1441399
0.86,0.03,0.158003
0.86,0.035,0.1667493
0.86,0.04,0.1818197
0.86,0.045,0.1804511
0.86,0.05,0.1870902
0.86,0.055,0.1929247
0.86,0.06,0.1960263
0.86,0.065,0.197464
0.86,0.07,0.1958161
0.86,0.075,0.1948912
0.86,0.08,0.2000237
0.86,0.085,0.2042059
0.86,0.09,0.1978945
0.86,0.095,0.1933248
0.86,0.1,0.1941036
0.88,0,0
0.88,0.005,0.04648742
0.88,0.01,0.08619071
0.88,0.015,0.1201661
0.88,0.02,0.1461306
0.88,0.025,0.1672771
0.88,0.03,0.1814754
0.88,0.035,0.1962532
0.88,0.04,0.2072451
0.88,0.045,0.2193033
0.88,0.05,0.2191083
0.88,0.055,0.2223266
0.88,0.06,0.2228192
0.88,0.065,0.2356678
0.88,0.07,0.2392799
0.88,0.075,0.229619
0.88,0.08,0.2314276
0.88,0.085,0.2336678
0.88,0.09,0.2332458
0.88,0.095,0.2355373
0.88,0.1,0.2348112
0.9,0,0
0.9,0.005,0.05514174
0.9,0.01,0.1017821
0.9,0.015,0.1359026
0.9,0.02,0.1656799
0.9,0.025,0.1829792
0.9,0.03,0.2101392
0.9,0.035,0.2241678
0.9,0.04,0.2415307
0.9,0.045,0.2417227
0.9,0.05,0.2593348
0.9,0.055,0.2543017
0.9,0.06,0.2546758
0.9,0.065,0.2643155
0.9,0.07,0.2712743
0.9,0.075,0.2742143
0.9,0.08,0.2703894
0.9,0.085,0.2734987
0.9,0.09,0.263464
0.9,0.095,0.2758669
0.9,0.1,0.2714299
0.92,0,0
0.92,0.005,0.06225196
0.92,0.01,0.10917364
0.92,0.015,0.1570053
0.92,0.02,0.1867906
0.92,0.025,0.2168397
0.92,0.03,0.2305787
0.92,0.035,0.2505306
0.92,0.04,0.2674884
0.92,0.045,0.2728226
0.92,0.05,0.2844881
0.92,0.055,0.2992514
0.92,0.06,0.2963349
0.92,0.065,0.3014094
0.92,0.07,0.3026578
0.92,0.075,0.3033092
0.92,0.08,0.3110904
0.92,0.085,0.3057666
0.92,0.09,0.3081512
0.92,0.095,0.3129282
0.92,0.1,0.308768
0.94,0,0
0.94,0.005,0.06585952
