Fitness,Migration Rate,2L2T - Invasion
0.6,0,0
0.6,0.005,0.00773
0.6,0.01,0.01522
0.6,0.015,0.0222
0.6,0.02,0.02829
0.6,0.025,0.03432
0.6,0.03,0.0391
0.6,0.035,0.04287
0.6,0.04,0.04723
0.6,0.045,0.04625
0.6,0.05,0.04283
0.6,0.055,0.03499
0.6,0.06,0.02284
0.6,0.065,0.01025
0.6,0.07,0.00355
0.6,0.075,0.00111
0.6,0.08,0.00055
0.6,0.085,0.00025
0.6,0.09,0.00014
0.6,0.095,0.00014
0.6,0.1,1.00E-04
0.62,0,0
0.62,0.005,0.00854
0.62,0.01,0.01557
0.62,0.015,0.02282
0.62,0.02,0.02838
0.62,0.025,0.03688
0.62,0.03,0.04101
0.62,0.035,0.04461
0.62,0.04,0.05
0.62,0.045,0.05345
0.62,0.05,0.05219
0.62,0.055,0.04515
0.62,0.06,0.04132
0.62,0.065,0.02638
0.62,0.07,0.01331
0.62,0.075,0.00645
0.62,0.08,0.00255
0.62,0.085,0.00079
0.62,0.09,0.00048
0.62,0.095,0.00017
0.62,0.1,0.0002
0.64,0,0
0.64,0.005,0.00846
0.64,0.01,0.01614
0.64,0.015,0.02363
0.64,0.02,0.031
0.64,0.025,0.0371
0.64,0.03,0.04098
0.64,0.035,0.04805
0.64,0.04,0.05121
0.64,0.045,0.05771
0.64,0.05,0.05882
0.64,0.055,0.05677
0.64,0.06,0.05446
0.64,0.065,0.04112
0.64,0.07,0.03169
0.64,0.075,0.01679
0.64,0.08,0.0076
0.64,0.085,0.00501
0.64,0.09,0.00166
0.64,0.095,0.00085
0.64,0.1,0.00047
0.66,0,0
0.66,0.005,0.00865
0.66,0.01,0.01706
0.66,0.015,0.02428
0.66,0.02,0.03221
0.66,0.025,0.03796
0.66,0.03,0.04569
0.66,0.035,0.05252
0.66,0.04,0.05534
0.66,0.045,0.06026
0.66,0.05,0.06217
0.66,0.055,0.06294
0.66,0.06,0.06327
0.66,0.065,0.05988
0.66,0.07,0.05644
0.66,0.075,0.04004
0.66,0.08,0.02645
0.66,0.085,0.01555
0.66,0.09,0.00836
0.66,0.095,0.00416
0.66,0.1,0.00249
0.68,0,0
0.68,0.005,0.0099
0.68,0.01,0.01803
0.68,0.015,0.02554
0.68,0.02,0.0328
0.68,0.025,0.03924
0.68,0.03,0.04426
0.68,0.035,0.05386
0.68,0.04,0.05855
0.68,0.045,0.06543
0.68,0.05,0.07178
0.68,0.055,0.07305
0.68,0.06,0.07254
0.68,0.065,0.0746
0.68,0.07,0.0706
0.68,0.075,0.06176
0.68,0.08,0.05594
0.68,0.085,0.04076
0.68,0.09,0.0287
0.68,0.095,0.01902
0.68,0.1,0.01284
0.7,0,0
0.7,0.005,0.00929
0.7,0.01,0.01826
0.7,0.015,0.02541
0.7,0.02,0.03311
0.7,0.025,0.04218
0.7,0.03,0.05078
0.7,0.035,0.05617
0.7,0.04,0.0611
0.7,0.045,0.0689
0.7,0.05,0.07417
0.7,0.055,0.07885
0.7,0.06,0.08126
0.7,0.065,0.08525
0.7,0.07,0.09168
0.7,0.075,0.08606
0.7,0.08,0.08851
0.7,0.085,0.08454
0.7,0.09,0.06735
0.7,0.095,0.05581
0.7,0.1,0.05073
0.72,0,0
0.72,0.005,0.01054
0.72,0.01,0.01843
0.72,0.015,0.02674
0.72,0.02,0.03565
0.72,0.025,0.04209
0.72,0.03,0.05105
0.72,0.035,0.06024
0.72,0.04,0.06718
0.72,0.045,0.0756
0.72,0.05,0.08073
0.72,0.055,0.08699
0.72,0.06,0.09334
0.72,0.065,0.09878
0.72,0.07,0.10029
0.72,0.075,0.11017
0.72,0.08,0.11521
0.72,0.085,0.1289
0.72,0.09,0.12619
0.72,0.095,0.15153
0.72,0.1,0.12239
0.74,0,0
0.74,0.005,0.00982
0.74,0.01,0.01877
0.74,0.015,0.02741
0.74,0.02,0.03576
0.74,0.025,0.04618
0.74,0.03,0.05211
0.74,0.035,0.0606
0.74,0.04,0.06963
0.74,0.045,0.07807
0.74,0.05,0.08651
0.74,0.055,0.09777
0.74,0.06,0.10333
0.74,0.065,0.11522
0.74,0.07,0.1261
0.74,0.075,0.13487
0.74,0.08,0.15058
0.74,0.085,0.17449
0.74,0.09,0.21625
0.74,0.095,0.30244
0.74,0.1,0.31419
0.76,0,0
0.76,0.005,0.00977
0.76,0.01,0.0196
0.76,0.015,0.02829
0.76,0.02,0.04081
0.76,0.025,0.04772
0.76,0.03,0.05524
0.76,0.035,0.06714
0.76,0.04,0.07488
0.76,0.045,0.08353
